season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Cedar Crest College,Kylah Demarest,Kylah,Demarest,,14795,Kylah Demarest,"DEMAREST,KYLAH",DEMARESTKYLAHCCC,17,17,,,Cedar Crest College,CCC,1303-705,0,6,0,0,0,3,23,3,8,0,0,0,0,20,6,0,0,0,0,0,0,0,0,35,48,42,19,1013:00,45,0,1.000,,92,114,12,77,21,56,.807,4.53,,,,,,,,,,,,,,,,,,,13.063573983210903,1,99
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,Sadie Fike,Sadie,Fike,,12973,Sadie Fike,"FIKE,SADIE",FIKESADIEWILSON,18,18,,,Wilson College,WILSON,1246-863,0,3,0,0,0,2,15,2,12,3,0,0,0,10,6,0,0,0,0,0,0,0,0,66,47,33,36,1078:00,48,0,1.000,,65,96,10,42,7,35,.677,2.33,,,,,,,,,,,,,,,,,,,9.66783142396272,2,99
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Gina Jaffurs,Gina,Jaffurs,,611,Gina Jaffurs,"JAFFURS,GINA",JAFFURSGINAST. MARY,18,18,,,St. Mary's (Md.),ST. MARY,659-4183,0,4,0,0,0,0,11,0,6,1,0,0,0,10,4,0,0,0,0,0,0,0,0,44,20,37,27,1070:00,94,0,1.000,,32,50,8,43,24,19,.640,2.39,,,,,,,,,,,,,,,,,,,8.620954626997491,3,99
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Katelin Scala,Katelin,Scala,,611,Katelin Scala,"SCALA,KATELIN",SCALAKATELINST. MARY,17,17,,,St. Mary's (Md.),ST. MARY,659-3022,0,4,0,0,0,1,11,0,4,1,0,0,0,5,2,0,0,0,0,0,0,0,0,16,86,27,8,1008:00,62,0,1.000,,45,55,6,59,27,32,.818,3.47,,,,,,,,,,,,,,,,,,,8.513938976617462,4,98
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Cedar Crest College,Kadee Schrader,Kadee,Schrader,,14795,Kadee Schrader,"SCHRADER,KADEE",SCHRADERKADEECCC,16,16,,,Cedar Crest College,CCC,1303-788,0,1,0,0,0,2,2,0,3,2,0,0,0,11,3,0,0,0,0,0,0,0,0,15,7,49,7,953:00,45,0,1.000,,30,49,3,56,34,22,.612,3.50,,,,,,,,,,,,,,,,,,,8.12336913945283,5,98
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Hope Harrison,Hope,Harrison,,611,Hope Harrison,"HARRISON,HOPE",HARRISONHOPEST. MARY,18,18,,,St. Mary's (Md.),ST. MARY,659-3843,0,6,0,0,0,1,27,1,2,2,0,0,0,11,3,0,0,0,0,0,0,0,0,21,25,22,11,1070:00,94,0,1.000,,60,74,10,52,14,38,.811,2.89,,,,,,,,,,,,,,,,,,,7.409664155714815,6,98
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Sarah Fitter,Sarah,Fitter,,611,Sarah Fitter,"FITTER,SARAH",FITTERSARAHST. MARY,17,14,,,St. Mary's (Md.),ST. MARY,659-4178,0,2,0,0,0,2,10,1,6,0,0,0,0,3,1,0,0,0,0,0,0,0,0,11,2,33,5,829:00,75,0,1.000,,51,71,4,56,22,34,.718,3.29,,,,,,,,,,,,,,,,,,,7.378185481456143,7,97
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Cedar Crest College,Ellie Terranova,Ellie,Terranova,,14795,Ellie Terranova,"TERRANOVA,ELLIE",TERRANOVAELLIECCC,17,17,,,Cedar Crest College,CCC,1303-701,0,0,0,0,0,0,12,0,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,37,56,41,22,1013:00,45,0,1.000,,46,59,4,38,13,25,.780,2.24,,,,,,,,,,,,,,,,,,,6.705107302213436,8,97
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,Ellisa Gamby-Mickey,Ellisa,Gamby-Mickey,,12973,Ellisa Gamby-Mickey,"GAMBY-MICKEY,ELLISA",GAMBY-MICKEYELLISAWILSON,17,17,,,Wilson College,WILSON,1246-867,0,4,0,0,0,1,9,0,4,1,0,0,0,23,12,0,0,0,0,0,0,0,0,40,44,51,30,967:00,21,0,1.000,,23,29,7,29,16,13,.793,1.71,,,,,,,,,,,,,,,,,,,6.090241349493516,9,97
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Sanne Elling,Sanne,Elling,,611,Sanne Elling,"ELLING,SANNE",ELLINGSANNEST. MARY,18,18,,,St. Mary's (Md.),ST. MARY,659-3742,0,3,0,0,0,0,22,0,5,2,0,0,0,11,3,0,0,0,0,0,0,0,0,11,50,34,10,1070:00,94,0,1.000,,79,98,10,49,5,44,.806,2.72,,,,,,,,,,,,,,,,,,,6.055130088128908,10,96
