season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Lehman, Marah",Marah,Lehman,,1305,"Lehman, Marah","LEHMAN, MARAH",Cairn University,Cairn,1236-2295,6,3,8,0,8,0,.215,79,11,28,2,0,17,0,3,3,28,0,0,33,1,32,1,0,1,0,31.5,0,4.67,0.33,5.33,0.17,0.50,5.25,,,,,,,11.482543818726667,1,99
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Worley, Brielle",Brielle,Worley,,245,"Worley, Brielle","WORLEY, BRIELLE",Gallaudet University,Gal,141-2218,11,3,14,0,14,0,.388,139,14,68,2,0,15,0,2,4,29,0,0,73,6,24,0,0,0,0,70,0,6.18,0.18,2.18,0.00,0.18,6.36,,,,,,,10.522029720678239,2,99
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Harrisburg,"Ondishin Ribon, Brianna",Brianna,Ondishin Ribon,,30081,"Ondishin Ribon, Brianna","ONDISHIN RIBON, BRIANNA",Penn State Harrisburg,PSH,1244-1871,19,18,5,0,5,0,.206,214,26,70,7,1,29,0,7,14,84,0,0,131,7,50,3,0,2,1,79,0,3.68,0.37,2.63,0.16,0.37,4.16,,,,,,,7.489335664152181,3,99
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Fletcher,Jessica",Jessica,Fletcher,,30085,"Fletcher,Jessica","FLETCHER,JESSICA",Lancaster Bible College,LBC,1391-2197,9,5,10,0,10,0,.320,75,9,33,3,0,3,0,0,7,22,0,0,54,7,22,3,0,3,0,34.5,0,3.67,0.33,2.44,0.33,0.00,3.83,,,,,,,7.346780503766808,4,98
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Brown, Kaliyah",Kaliyah,Brown,,8600,"Brown, Kaliyah","BROWN, KALIYAH",Notre Dame of Maryland,NDMU,48-831,9,3,1,0,1,0,.188,80,17,32,4,2,13,0,6,5,25,0,0,58,5,20,0,0,0,0,38,0,3.56,0.44,2.22,0.00,0.67,4.22,,,,,,,7.155217741233133,5,98
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Van Otten, Ellie",Ellie,Van Otten,,30114,"Van Otten, Ellie","VAN OTTEN, ELLIE",Penn State Abington,PSA,0,10,8,14,0,14,0,.125,56,9,16,1,1,13,0,4,5,39,0,0,0,0,10,9,0,7,2,25.5,0,1.60,0.10,1.00,0.90,0.40,2.55,,,,,,,6.376146110986054,6,98
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Zarembka, Jada",Jada,Zarembka,,245,"Zarembka, Jada","ZAREMBKA, JADA",Gallaudet University,Gal,141-2122,11,3,5,0,5,0,.258,89,11,34,1,1,10,0,2,10,49,0,0,34,9,28,2,0,0,2,38,0,3.09,0.09,2.55,0.18,0.18,3.45,,,,,,,6.112697354848794,7,97
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Manthe, Bella",Bella,Manthe,,1305,"Manthe, Bella","MANTHE, BELLA",Cairn University,Cairn,1236-2296,6,3,0,0,0,0,.100,50,4,9,21,0,75,0,5,2,23,0,0,0,0,17,2,0,2,0,15,0,1.50,3.50,2.83,0.33,0.83,2.50,,,,,,,6.013580719040572,8,97
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Brandywine,"Moore, Nia",Nia,Moore,,30189,"Moore, Nia","MOORE, NIA",Penn State Brandywine,F-30189,0,12,3,15,0,15,0,.244,45,7,18,1,0,6,0,0,1,1,0,0,2,0,1,14,1,12,2,26,0,1.50,0.08,0.08,1.17,0.00,2.17,,,,,,,5.9911605543011195,9,97
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Berks,"Gote, Delaney",Delaney,Gote,,30044,"Gote, Delaney","GOTE, DELANEY",Penn State Berks,PSB,1243-2216,11,4,25,0,25,0,.188,80,16,31,2,1,10,0,1,0,15,0,0,12,2,11,6,1,4,2,36,0,2.82,0.18,1.00,0.55,0.09,3.27,,,,,,,5.87326023882203,10,96
