season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,Northwest Conference,nwc,Linfield,Linfield University,Douglas Bailey,,Fourth Year,12368,34,ACTIVE,72.12,0.12,24,71.6440167514181,11,4,3,48.3433295154893,-8.7791035287883,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Whitman,Whitman College,Mason Remington,,Fourth Year,16460,53,ACTIVE,72.0,0.0,20,72.3371214086734,10,5,2,41.4592818720414,-9.03072185532978,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Willamette,Willamette University,AJ Papajohn,,Fourth Year,17560,58,ACTIVE,71.78,-0.22,23,72.0309111042392,11,5,0,40.9988700199813,-8.62601567900544,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Whitman,Whitman College,Grady Brown,,Third Year,37178,69,ACTIVE,71.85,-0.15,20,72.1871214086734,10,4,2,39.6188088865142,-9.03072185532978,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Willamette,Willamette University,Brock Olson,,,22023,81,ACTIVE,72.3,0.3,23,72.552650234674,11,3,1,37.9960890510741,-8.62601567900544,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Willamette,Willamette University,Michael Baldwin,,Second Year,7220,111,ACTIVE,72.48,0.48,23,72.7265632781523,11,1,0,34.9423082693908,-8.62601567900544,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Whitworth,Whitworth University,Matthew Durkin,,,24099,151,ACTIVE,73.23,1.23,22,73.5520256362251,11,2,2,31.0982877116581,-9.45078958871676,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Lewis & Clark,Lewis & Clark College,Charles Hageman,,Third Year,30698,154,ACTIVE,73.11,1.11,19,73.3288794341009,9,1,1,30.9368824446678,-9.18905876781779,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Pacific Lutheran,Pacific Lutheran University,Koen Solis,,,10186,174,ACTIVE,74.05,2.05,21,73.7575041269535,11,3,1,29.2380318567097,-9.44455613258829,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Lewis & Clark,Lewis & Clark College,Luke Blankinship,,,30697,177,ACTIVE,73.53,1.53,19,73.6876189484111,9,0,0,28.6560396152756,-9.04298225339802,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Linfield,Linfield University,Brody Landaker,,Second Year,7936,186,ACTIVE,74.1,2.1,20,73.8559882292368,10,1,1,28.2762088699011,-9.27639942254344,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Whitman,Whitman College,Ben Sweet,,,24784,190,ACTIVE,73.45,1.45,20,73.7871214086734,10,2,0,28.1241340766857,-9.03072185532978,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Linfield,Linfield University,Kellen Hudson,,,34921,211,ACTIVE,74.8,2.8,20,74.5559882292368,10,2,1,26.9774942082181,-9.27639942254344,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,Willamette,Willamette University,Oliver Smith,,,21812,212,ACTIVE,73.65,1.65,23,73.9004763216305,11,0,0,26.88828356142,-8.62601567900544,Region VII - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Northwest Conference,nwc,George Fox,George Fox University,Eli Harrell,,Third Year,5130,215,ACTIVE,74.25,2.25,20,73.9467745804431,10,2,0,26.8319129926246,-9.56179584501131,Region VII - (M) DIII,clippd_scoreboard
