season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,global_rank,rating
2026-27,softball,Northwest Conference (NWC),nwc,Linfield,Aven Ashlyn,Aven,Ashlyn,,1179,Aven Ashlyn,0,0LINFIELD,53,53,,,170,50,69,91,17,0,26,25,3,2,4,2,5,0,1,7,0,0,0,0,0,0,0,0.471,164,205,5,1.000,.406,.965,275,11,6,6,2,18,6,0,0,292,.979,24,.750,,10,6,23,72,"25,64",0.39,25,64,"52,111",0.47,52,111,"43,90",0.48,43,90,"10,24",0.42,10,24,0,0,0,0,"8,27","21,23","83,124",47,0,0,0,"0,1",0,0,1,22,41,0,,Linfield,LINFIELD,1262-11079,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.148873717492137,1,99
2026-27,softball,Northwest Conference (NWC),nwc,Linfield,Sain Meara,Sain,Meara,,1179,Sain Meara,0,0LINFIELD,53,53,,,185,65,93,80,35,1,7,19,1,3,8,3,13,3,0,2,0,0,0,0,0,0,0,0.550,151,209,16,.813,.503,.816,91,4,0,0,0,0,0,0,0,95,1.000,0,.000,,4,7,26,55,"28,49",0.57,28,49,"67,116",0.58,67,116,"41,78",0.53,41,78,"13,30",0.43,13,30,0,0,0,0,"7,21","22,27","92,125",118,0,0,0,0,0,0,0,15,16,0,,Linfield,LINFIELD,1262-11278,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.801356084606546,2,99
2026-27,softball,Northwest Conference (NWC),nwc,George Fox,Scarlett Olivas,Scarlett,Olivas,,1094,Scarlett Olivas,0,0GFU,3,0,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,2,1,0,.000,1.000,2.000,1,0,0,1,0,0,0,0,0,1,1.000,0,.000,,0,0,0,0,0,0,0,0,"1,1",1.00,1,1,"1,1",1.00,1,1,0,0,0,0,0,0,0,0,0,"1,1","1,1",0,0,0,0,22,0,0,0,0,0,0,,George Fox ,GFU,1260-2856,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.76885134885594,3,99
2026-27,softball,Northwest Conference (NWC),nwc,Linfield,Hess Cydney,Hess,Cydney,,1179,Hess Cydney,0,0LINFIELD,53,53,,,168,47,63,68,20,1,16,26,0,0,14,4,7,0,0,3,0,0,0,0,0,0,0,0.452,133,197,7,1.000,.375,.792,33,22,11,0,0,0,0,1,0,66,.833,0,.000,,5,7,28,59,"23,64",0.36,23,64,"34,107",0.32,34,107,"29,86",0.34,29,86,"9,24",0.38,9,24,0,0,0,0,"12,26","17,24","60,116",103,0,0,0,52,0,0,0,20,45,0,,Linfield,LINFIELD,1262-11078,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.636279523876558,4,98
2026-27,softball,Northwest Conference (NWC),nwc,Pacific Lutheran,Paola Garcia,Paola,Garcia,,1297,Paola Garcia,0,0PLU,47,47,,,164,45,72,64,10,2,13,14,0,1,18,0,7,3,1,2,0,0,0,0,0,0,0,0.481,125,182,10,.700,.439,.762,95,2,4,0,0,0,0,3,0,101,.960,0,.000,,5,6,31,43,"20,43",0.47,20,43,"55,104",0.53,55,104,"30,58",0.52,30,58,"7,16",0.44,7,16,0,0,0,0,"8,24","11,17","78,117",236,0,0,0,0,0,0,0,12,27,0,,Pacific Lutheran ,PLU,1266-2986,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.923186243112733,5,98
2026-27,softball,Northwest Conference (NWC),nwc,Linfield,Bartek Breanna,Bartek,Breanna,,1179,Bartek Breanna,0,0LINFIELD,53,53,,,193,71,81,14,5,1,0,20,0,1,23,2,38,1,2,0,0,0,0,0,0,0,0,0.477,88,216,39,.974,.420,.456,76,7,4,0,0,0,0,1,0,87,.954,0,.000,,7,9,59,24,"21,45",0.47,21,45,"31,81",0.38,31,81,"24,60",0.40,24,60,"11,28",0.39,11,28,0,0,0,0,"41,80","4,20","45,88",41,0,0,0,0,0,0,0,10,25,0,,Linfield,LINFIELD,1262-11499,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.994841743770861,6,98
2026-27,softball,Northwest Conference (NWC),nwc,Linfield,Young Kaia,Young,Kaia,,1179,Young Kaia,0,0LINFIELD,49,49,,,132,36,51,28,5,3,5,11,0,11,19,6,28,1,6,0,0,0,0,0,0,1,0,0.474,77,160,29,.966,.386,.583,77,1,1,0,0,0,0,0,0,79,.987,0,.000,,5,3,22,41,"16,48",0.33,16,48,"32,78",0.41,32,78,"22,52",0.42,22,52,"7,20",0.35,7,20,0,0,0,0,"12,28","8,13","51,93",67,0,0,0,0,0,0,0,11,30,0,,Linfield,LINFIELD,1262-11497,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.763289885742031,7,97
2026-27,softball,Northwest Conference (NWC),nwc,Pacific Lutheran,Zoe Smithson,Zoe,Smithson,,1297,Zoe Smithson,0,0PLU,46,46,,,138,35,46,31,8,0,10,18,0,3,16,5,14,2,0,3,0,0,0,0,0,1,0,0.414,84,162,16,.875,.333,.609,216,6,0,8,0,39,6,1,0,222,1.000,45,.867,,6,1,16,57,"14,47",0.30,14,47,"24,77",0.31,24,77,"16,59",0.27,16,59,"6,10",0.60,6,10,0,0,0,0,"18,34","10,21","36,84",45,0,0,0,0,0,0,0,10,42,0,,Pacific Lutheran ,PLU,1266-2985,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.345141745720907,8,97
2026-27,softball,Northwest Conference (NWC),nwc,Linfield,Parmelee Mckenna,Parmelee,Mckenna,,1179,Parmelee Mckenna,0,0LINFIELD,53,53,,,170,27,63,54,16,2,8,14,0,2,10,3,5,1,0,2,0,0,0,0,0,1,0,0.420,107,188,6,.833,.371,.629,153,6,2,0,0,0,0,3,0,161,.988,0,.000,,6,5,34,57,"25,62",0.40,25,62,"37,92",0.40,37,92,"27,71",0.38,27,71,"11,26",0.42,11,26,0,0,0,0,"18,36","15,21","55,98",35,0,0,0,25,0,0,0,12,44,0,,Linfield,LINFIELD,1262-11777,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.181157989922813,9,97
2026-27,softball,Northwest Conference (NWC),nwc,Lewis & Clark,Harper Campanella,Harper,Campanella,,22235,Harper Campanella,0,0LC,41,37,,,115,15,39,37,7,0,10,9,0,0,15,2,0,0,0,3,0,0,0,1,0,2,0,0.378,76,127,0,.000,.339,.661,2,3,0,0,0,0,0,0,0,5,1.000,0,.000,,5,1,18,41,"10,38",0.26,10,38,"23,71",0.32,23,71,"15,45",0.33,15,45,"7,22",0.32,7,22,0,0,0,0,"12,24","8,15","36,74",11,0,0,0,99,0,0,0,10,26,0,,Lewis & Clark,LC,1261-2451,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.293621217792447,10,96
