season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2025-26,wlax,Northwest Conference (NWC),nwc,Whitman,Sarah Hawkins,Sarah,Hawkins,,780,Sarah Hawkins,"HAWKINS,SARAH",HAWKINSSARAHWTMN,18,18,,,Whitman,WTMN,0,0,8,0,0,0,4,43,0,7,3,0,0,0,8,1,0,0,0,0,0,0,0,0,36,24,52,18,1062:00,122,0,1.000,,94,119,25,103,46,57,.790,5.72,,,,,,,,,,,,,,,,,,,14.053943570114182,1,99
2025-26,wlax,Northwest Conference (NWC),nwc,Willamette,Lily Bachiochi,Lily,Bachiochi,,785,Lily Bachiochi,"BACHIOCHI,LILY",BACHIOCHILILYWIL,16,16,,,Willamette,WIL,0,0,10,0,0,0,0,40,4,6,4,0,0,0,1,3,0,0,0,0,0,0,0,0,19,2,46,8,954:00,68,0,1.000,,86,114,16,102,46,56,.754,6.38,,,,,,,,,,,,,,,,,,,12.415361945654553,2,99
2025-26,wlax,Northwest Conference (NWC),nwc,George Fox,Lana Davis,Lana,Davis,,1094,Lana Davis,"DAVIS,LANA",DAVISLANAGFULAX~1,17,17,,,George Fox ,GFULAX~1,0,0,12,0,0,0,1,39,0,2,2,0,0,0,9,7,0,0,0,0,0,0,0,0,33,77,61,30,848:00,416,0,1.000,,81,105,19,81,28,53,.771,4.76,,,,,,,,,,,,,,,,,,,11.195139389828658,3,99
2025-26,wlax,Northwest Conference (NWC),nwc,Linfield,Gabby Crist,Gabby,Crist,,1179,Gabby Crist,"CRIST,GABBY",CRISTGABBYLIN,15,14,,,Linfield,LIN,0,0,11,0,0,0,4,44,1,3,4,0,0,0,7,2,1,0,0,0,0,0,0,0,35,48,36,34,869:00,86,0,1.000,,92,110,20,82,19,63,.836,5.47,,,,,,,,,,,,,,,,,,,11.193561378107246,4,98
2025-26,wlax,Northwest Conference (NWC),nwc,Lewis & Clark,Aviana Gonzales,Aviana,Gonzales,,22235,Aviana Gonzales,"GONZALES,AVIANA",GONZALESAVIANALEWIS &,17,17,,,Lewis & Clark,LEWIS &,0,0,10,0,0,0,0,34,2,2,2,0,0,0,9,4,0,0,0,0,0,0,0,0,24,9,45,22,1012:00,112,0,1.000,,83,100,17,82,28,54,.830,4.82,,,,,,,,,,,,,,,,,,,10.315692779713917,5,98
2025-26,wlax,Northwest Conference (NWC),nwc,George Fox,Ava Bluhm,Ava,Bluhm,,1094,Ava Bluhm,"BLUHM,AVA",BLUHMAVAGFULAX~1,18,18,,,George Fox ,GFULAX~1,0,0,11,0,0,0,2,23,3,6,7,0,0,0,3,1,0,0,0,0,0,0,0,0,39,55,35,22,901:00,496,0,1.000,,96,115,29,74,21,53,.835,4.11,,,,,,,,,,,,,,,,,,,9.718494875134281,6,98
2025-26,wlax,Northwest Conference (NWC),nwc,Linfield,Savannah Irwin,Savannah,Irwin,,1179,Savannah Irwin,"IRWIN,SAVANNAH",IRWINSAVANNAHLIN,15,14,,,Linfield,LIN,0,0,6,0,0,0,1,15,0,1,0,0,0,0,7,4,0,0,0,0,0,0,0,0,41,18,47,27,958:00,36,0,1.000,,56,68,15,64,34,30,.824,4.27,,,,,,,,,,,,,,,,,,,9.716269032756639,7,97
2025-26,wlax,Northwest Conference (NWC),nwc,Lewis & Clark,Sage Swegle,Sage,Swegle,,22235,Sage Swegle,"SWEGLE,SAGE",SWEGLESAGELEWIS &,17,17,,,Lewis & Clark,LEWIS &,0,0,14,0,0,0,4,47,0,3,2,0,0,0,10,2,0,0,0,0,0,0,0,0,22,29,52,21,1007:00,176,0,1.000,,109,143,24,81,10,71,.762,4.76,,,,,,,,,,,,,,,,,,,9.040416375905856,8,97
2025-26,wlax,Northwest Conference (NWC),nwc,Whitworth,Campbell Vincent,Campbell,Vincent,,1454,Campbell Vincent,"VINCENT,CAMPBELL",VINCENTCAMPBELLWHTW25~1,14,14,,,Whitworth,WHTW25~1,0,0,14,0,0,0,3,40,1,4,2,0,0,0,6,2,0,0,0,0,0,0,0,0,24,6,35,9,788:00,191,0,1.000,,89,104,24,83,18,65,.856,5.93,,,,,,,,,,,,,,,,,,,8.96649437775361,9,97
2025-26,wlax,Northwest Conference (NWC),nwc,Lewis & Clark,Mack Searle,Mack,Searle,,22235,Mack Searle,"SEARLE,MACK",SEARLEMACKLEWIS &,17,17,,,Lewis & Clark,LEWIS &,0,0,15,0,0,0,2,31,0,3,5,0,0,0,7,0,0,0,0,0,0,0,0,0,46,81,44,26,1005:00,140,0,1.000,,67,79,20,63,14,49,.848,3.71,,,,,,,,,,,,,,,,,,,8.66769228220086,10,96
