season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Short, Lindsey",Lindsey,Short,,1454,"Short, Lindsey","SHORT, LINDSEY",Whitworth,Whitw,1270-2282,11,8,5,0,5,0,.316,76,7,31,2,2,14,0,3,1,11,0,0,3,0,15,4,2,0,4,38,0,2.82,0.18,1.36,0.36,0.27,3.45,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Kremer, Lauren",Lauren,Kremer,,1454,"Kremer, Lauren","KREMER, LAUREN",Whitworth,Whitw,1270-2284,11,8,13,0,13,0,.535,43,0,23,3,1,13,0,1,2,23,0,0,0,0,5,6,0,1,5,29.5,0,2.09,0.27,0.45,0.55,0.09,2.68,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Paul, Olivia",Olivia,Paul,,1454,"Paul, Olivia","PAUL, OLIVIA",Whitworth,Whitw,1270-3115,11,0,3,0,3,0,.000,9,1,1,18,0,55,0,6,5,45,0,0,37,0,39,0,0,0,0,7,0,0.09,1.64,3.55,0.00,0.55,0.64,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Baird, Alyssa",Alyssa,Baird,,1454,"Baird, Alyssa","BAIRD, ALYSSA",Whitworth,Whitw,1270-3573,9,8,7,0,7,0,.309,81,8,33,0,3,19,0,1,3,12,0,0,40,0,13,1,1,1,0,34.5,0,3.67,0.00,1.44,0.11,0.11,3.83,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Dodson, Bryanna",Bryanna,Dodson,,1454,"Dodson, Bryanna","DODSON, BRYANNA",Whitworth,Whitw,1270-3576,11,8,12,0,12,0,.104,67,9,16,7,0,19,0,1,1,51,0,0,61,1,31,0,0,0,0,17,0,1.45,0.64,2.82,0.00,0.09,1.55,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"McKenzie, Paige",Paige,McKenzie,,1454,"McKenzie, Paige","MCKENZIE, PAIGE",Whitworth,Whitw,1270-3578,4,0,18,0,18,0,.111,9,2,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.75,0.25,0.25,0.00,0.00,0.75,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Size, Peyton",Peyton,Size,,1454,"Size, Peyton","SIZE, PEYTON",Whitworth,Whitw,1270-3575,1,0,1,0,1,0,.000,1,0,0,2,0,6,0,0,0,4,0,0,0,0,1,0,0,0,0,0.0,0,0.00,2.00,1.00,0.00,0.00,0.00,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Steel, Haylie",Haylie,Steel,,1454,"Steel, Haylie","STEEL, HAYLIE",Whitworth,Whitw,1270-3574,7,0,2,0,2,0,.500,2,0,1,1,1,6,0,4,2,18,0,0,5,0,8,0,0,0,0,5,0,0.14,0.14,1.14,0.00,0.57,0.71,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Adams, McKenna",McKenna,Adams,,1454,"Adams, McKenna","ADAMS, MCKENNA",Whitworth,Whitw,1270-3835,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Biegler, Hailee",Hailee,Biegler,,1454,"Biegler, Hailee","BIEGLER, HAILEE",Whitworth,Whitw,1270-3836,8,0,21,0,21,0,-.333,3,1,0,2,1,15,0,3,3,25,0,0,1,0,8,0,0,0,0,3,0,0.00,0.25,1.00,0.00,0.38,0.38,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Boswell, Avery",Avery,Boswell,,1454,"Boswell, Avery","BOSWELL, AVERY",Whitworth,Whitw,1270-3837,2,0,10,0,10,0,.000,8,3,3,1,0,2,0,0,0,2,0,0,6,0,3,0,0,0,0,3.0,0,1.50,0.50,1.50,0.00,0.00,1.50,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Fox, Sofie",Sofie,Fox,,1454,"Fox, Sofie","FOX, SOFIE",Whitworth,Whitw,1270-3838,1,0,23,0,23,0,.000,1,0,0,4,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,1.0,0,0.00,4.00,0.00,0.00,1.00,1.00,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Kettle, Paige",Paige,Kettle,,1454,"Kettle, Paige","KETTLE, PAIGE",Whitworth,Whitw,1270-3839,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Krumland, Keyala",Keyala,Krumland,,1454,"Krumland, Keyala","KRUMLAND, KEYALA",Whitworth,Whitw,1270-3840,1,0,16,0,16,0,.333,3,0,1,0,0,0,0,2,2,7,0,0,4,0,3,0,0,0,0,3.0,0,1.00,0.00,3.00,0.00,2.00,3.00,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Pridon, Madison",Madison,Pridon,,1454,"Pridon, Madison","PRIDON, MADISON",Whitworth,Whitw,1270-3841,11,8,22,0,22,0,.074,27,3,5,77,1,211,0,7,5,50,0,0,2,0,29,0,0,0,0,12,0,0.45,7.00,2.64,0.00,0.64,1.09,,,,,,
