season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats,fielding_stats,composite_score,global_rank,rating,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip,pitching_stats_strike_percentage
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Sean Kolenich,Sean,Kolenich,,46,Sean Kolenich,0,0BW,21,21,,,88,39,40,31,13,3,4,16,1,5,6,2,12,2,0,2,0,0,0,1,0,1,0,0.550,71,111,14,.857,.455,.807,16,34,3,0,0,0,0,4,0,53,.943,0,.000,,3,2,15,25,"15,26",0.58,15,26,"24,48",0.50,24,48,"21,41",0.51,21,41,"2,8",0.25,2,8,0,0,0,0,"25,38","7,13","35,50",10,0,0,0,0,0,0,0,16,13,0,,Baldwin Wallace,BW,1273-306,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.864849054395345,1,99,batting,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Bryce Kyees,Bryce,Kyees,,117,Bryce Kyees,0,0CAPITAL,19,19,,,70,27,31,23,5,0,4,20,0,3,6,3,5,1,0,1,0,0,0,3,0,3,0,0.574,48,94,6,.833,.443,.686,126,6,1,0,0,0,0,11,0,133,.992,0,.000,,0,0,10,24,"9,21",0.43,9,21,"20,47",0.43,20,47,"14,30",0.47,14,30,"3,9",0.33,3,9,0,0,0,0,"12,14","4,9","36,58",0,0,0,0,0,0,0,0,8,10,0,,Capital,CAPITAL,1275-3118,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01569762923151,2,99,batting,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Marietta,Michael Ciavolella,Michael,Ciavolella,,385,Michael Ciavolella,0,0MAR,14,13,,,54,15,22,21,6,2,5,6,0,0,11,1,2,2,0,0,0,0,0,0,1,0,0,0.467,47,60,4,.500,.407,.870,15,0,0,0,0,0,0,0,0,15,1.000,0,.000,,0,1,3,18,"6,13",0.46,6,13,"11,25",0.44,11,25,"9,17",0.53,9,17,"3,4",0.75,3,4,0,0,0,0,"5,11","3,3","17,27",49,0,0,0,6,0,0,0,3,3,0,,Marietta,MAR,1278-4165,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.60019338070061,3,99,batting,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Robby Harrison,Robby,Harrison,,117,Robby Harrison,0,0CAPITAL,18,18,,,76,15,32,27,6,2,4,6,0,1,22,2,1,0,0,1,0,0,0,0,0,1,0,0.464,54,84,1,1.000,.421,.711,78,12,1,3,0,15,8,0,0,91,.989,23,.652,,4,0,6,15,"15,30",0.50,15,30,"25,55",0.45,25,55,"20,43",0.47,20,43,"5,10",0.50,5,10,0,0,0,0,"3,8","5,15","32,58",8,0,0,0,0,0,0,0,5,16,0,,Capital,CAPITAL,1275-2733,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79763097568096,4,98,batting,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Ohio Northern,Kyler Lapp,Kyler,Lapp,,517,Kyler Lapp,0,0OHIO NOR,18,18,,,58,22,23,19,8,0,3,12,0,11,6,2,1,0,0,1,0,0,0,0,0,0,0,0.561,40,82,1,1.000,.397,.690,10,33,4,0,0,0,0,1,0,47,.915,0,.000,,2,3,11,18,"9,19",0.47,9,19,"15,34",0.44,15,34,"11,22",0.50,11,22,"2,4",0.50,2,4,0,0,0,0,"10,15","5,11","29,42",12,0,0,0,0,0,0,0,4,7,0,,Ohio Northern,OHIO NOR,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.010007457281235,5,98,batting,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Mount Union,"Denham, Drew",Drew,Denham,,452,"Denham, Drew",0,0UMU,20,20,,,79,24,35,20,13,1,2,10,1,5,10,1,4,1,0,1,0,0,0,1,0,1,0,0.526,56,95,5,.800,.443,.709,14,29,8,0,0,0,0,2,0,51,.843,0,.000,,2,0,12,21,"5,14",0.36,5,14,"17,43",0.40,17,43,"14,33",0.42,14,33,"4,11",0.36,4,11,"12,28",0.43,12,28,"13,19","9,16","25,49",100,0,0,0,0,0,0,0,40,11,0,,Mount Union,UMU,1279-5873,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.913901849722551,6,98,batting,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Dennis Ritlinger-nir,Dennis,Ritlinger-nir,,46,Dennis Ritlinger-nir,0,0BW,19,17,,,73,25,29,24,10,2,2,15,1,3,5,0,4,2,0,2,0,0,0,1,0,1,0,0.505,49,93,6,.667,.397,.671,34,1,2,0,0,0,0,0,0,37,.946,0,.000,,1,4,18,21,"7,21",0.33,7,21,"18,50",0.36,18,50,"13,36",0.36,13,36,"1,12",0.08,1,12,0,0,0,0,"6,11","7,13","31,57",11,0,0,0,11,0,0,0,8,15,0,,Baldwin Wallace,BW,1273-331,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.144119089292589,7,97,batting,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Mount Union,"Tsouras, Chris",Chris,Tsouras,,452,"Tsouras, Chris",0,0UMU,20,20,,,80,21,24,29,8,1,6,14,0,2,22,1,2,1,0,1,0,0,0,2,0,3,0,0.412,52,97,3,.667,.300,.650,44,1,1,0,0,0,0,0,0,46,.978,0,.000,,2,0,25,8,"4,22",0.18,4,22,"18,54",0.33,18,54,"11,42",0.26,11,42,"4,10",0.40,4,10,"8,30",0.27,8,30,"7,19","6,22","29,60",40,0,0,0,0,0,0,0,35,22,0,,Mount Union,UMU,1279-5527,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1208083903639,8,97,batting,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Mount Union,"Curry, Derek",Derek,Curry,,452,"Curry, Derek",0,0UMU,16,10,,,41,11,18,12,3,1,1,10,0,1,12,1,8,1,0,0,0,0,0,1,0,1,0,0.558,26,52,9,.889,.439,.634,10,0,0,0,0,0,0,0,0,10,1.000,0,.000,,2,1,4,4,"6,16",0.38,6,16,"14,29",0.48,14,29,"12,23",0.52,12,23,"2,5",0.40,2,5,"8,19",0.42,8,19,"3,6","3,9","19,34",4,0,0,0,24,0,0,0,16,9,0,,Mount Union,UMU,1279-5506,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.074835271180425,9,97,batting,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Muskingum,Sam Palmieri,Sam,Palmieri,,455,Sam Palmieri,0,0MUSKINGU,17,16,,,58,9,18,20,6,0,5,7,1,8,9,3,4,0,0,2,0,0,0,0,1,2,0,0.440,39,75,4,1.000,.310,.672,41,24,2,0,0,0,0,6,0,67,.970,0,.000,,2,1,14,17,"3,14",0.21,3,14,"8,26",0.31,8,26,"7,17",0.41,7,17,"3,7",0.43,3,7,0,0,0,0,"5,12","6,6","20,32",1,0,0,0,0,0,0,0,8,11,0,,Muskingum,MUSKINGU,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.044972290048305,10,96,batting,,,
