season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats,fielding_stats
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Charlie Colson,Charlie,Colson,,117,Charlie Colson,0,0CAPITAL,19,19,,,63,27,19,12,2,0,1,25,0,8,15,4,20,4,1,1,0,0,0,0,0,0,0,0.536,24,98,24,.833,.302,.381,30,0,0,0,0,0,0,0,0,30,1.000,0,.000,,1,1,17,13,"4,17",0.24,4,17,"9,23",0.39,9,23,"7,20",0.35,7,20,"2,8",0.25,2,8,0,0,0,0,"23,35","4,4","19,31",28,0,0,0,0,0,0,0,4,16,0,,Capital,CAPITAL,1275-3113,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Kielan Lamarr,Kielan,Lamarr,,117,Kielan Lamarr,0,0CAPITAL,19,19,,,75,28,24,11,2,0,2,12,0,9,9,3,6,0,0,1,0,0,0,0,0,0,0,0.464,32,97,6,1.000,.320,.427,38,40,5,0,0,0,0,11,0,83,.940,0,.000,,3,2,12,29,"6,23",0.26,6,23,"13,42",0.31,13,42,"5,26",0.19,5,26,"4,11",0.36,4,11,0,0,0,0,"9,13","1,3","30,51",25,0,0,0,0,0,0,0,8,14,0,,Capital,CAPITAL,1275-2734,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Bryce Kyees,Bryce,Kyees,,117,Bryce Kyees,0,0CAPITAL,19,19,,,70,27,31,23,5,0,4,20,0,3,6,3,5,1,0,1,0,0,0,3,0,3,0,0.574,48,94,6,.833,.443,.686,126,6,1,0,0,0,0,11,0,133,.992,0,.000,,0,0,10,24,"9,21",0.43,9,21,"20,47",0.43,20,47,"14,30",0.47,14,30,"3,9",0.33,3,9,0,0,0,0,"12,14","4,9","36,58",0,0,0,0,0,0,0,0,8,10,0,,Capital,CAPITAL,1275-3118,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Robby Harrison,Robby,Harrison,,117,Robby Harrison,0,0CAPITAL,18,18,,,76,15,32,27,6,2,4,6,0,1,22,2,1,0,0,1,0,0,0,0,0,1,0,0.464,54,84,1,1.000,.421,.711,78,12,1,3,0,15,8,0,0,91,.989,23,.652,,4,0,6,15,"15,30",0.50,15,30,"25,55",0.45,25,55,"20,43",0.47,20,43,"5,10",0.50,5,10,0,0,0,0,"3,8","5,15","32,58",8,0,0,0,0,0,0,0,5,16,0,,Capital,CAPITAL,1275-2733,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Ty Clifton,Ty,Clifton,,117,Ty Clifton,0,0CAPITAL,19,19,,,81,16,28,25,6,0,4,7,0,2,5,0,1,0,0,2,0,0,0,4,0,4,0,0.402,46,92,1,1.000,.346,.568,15,23,4,0,0,0,0,1,0,42,.905,0,.000,,2,2,18,30,"9,25",0.36,9,25,"21,56",0.38,21,56,"12,36",0.33,12,36,"6,12",0.50,6,12,0,0,0,0,"6,15","8,12","34,63",12,0,0,0,0,0,0,0,9,19,0,,Capital,CAPITAL,1275-2729,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Justin Weaver,Justin,Weaver,,117,Justin Weaver,0,0CAPITAL,8,7,,,23,4,1,0,1,0,0,5,0,1,15,5,1,0,0,0,0,0,0,1,0,1,0,0.241,2,29,1,1.000,.043,.087,13,0,2,0,0,0,0,0,0,15,.867,0,.000,,0,1,4,2,"0,5",0,0,5,"0,14",0,0,14,"0,13",0,0,13,"0,2",0,0,2,0,0,0,0,"2,5","0,4","2,14",2,0,0,0,0,0,0,0,1,7,0,,Capital,CAPITAL,1275-3350,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Gio Mastrorosa,Gio,Mastrorosa,,117,Gio Mastrorosa,0,0CAPITAL,19,19,,,67,13,20,18,6,0,3,13,0,7,10,3,0,1,0,2,0,0,0,2,0,2,0,0.449,35,89,1,.000,.299,.522,60,7,1,3,1,8,5,0,0,68,.985,13,.615,,5,0,5,29,"7,24",0.29,7,24,"12,42",0.29,12,42,"7,22",0.32,7,22,"3,10",0.30,3,10,0,0,0,0,"10,17","6,10","27,52",58,0,0,0,0,0,0,0,5,16,0,,Capital,CAPITAL,1275-2929,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Trent Clark,Trent,Clark,,117,Trent Clark,0,0CAPITAL,10,3,,,19,5,4,6,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.250,9,20,0,.000,.211,.474,3,0,0,0,0,0,0,0,0,3,1.000,0,.000,,0,0,2,11,"2,10",0.20,2,10,"4,13",0.31,4,13,"4,13",0.31,4,13,"3,6",0.50,3,6,0,0,0,0,"0,1","2,2","5,14",2,0,0,0,42,0,0,0,0,11,0,,Capital,CAPITAL,1275-3112,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Hutch Crociata,Hutch,Crociata,,117,Hutch Crociata,0,0CAPITAL,15,10,,,28,5,7,8,0,0,2,9,0,3,7,2,0,0,1,1,0,0,0,0,0,0,0,0.463,13,42,0,.000,.250,.464,22,1,0,0,0,0,0,0,0,23,1.000,0,.000,,1,0,4,12,"4,11",0.36,4,11,"6,16",0.38,6,16,"5,11",0.45,5,11,"0,2",0,0,2,0,0,0,0,"6,11","1,4","13,23",23,0,0,0,0,0,0,0,2,10,0,,Capital,CAPITAL,1275-3353,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Grayson Gulley,Grayson,Gulley,,117,Grayson Gulley,0,0CAPITAL,18,18,,,64,9,14,10,2,0,3,8,0,0,31,7,8,1,2,1,0,0,0,1,2,1,0,0.301,25,75,9,.889,.219,.391,29,50,9,0,0,0,0,8,0,88,.898,0,.000,,1,2,8,14,"5,26",0.19,5,26,"7,36",0.19,7,36,"3,25",0.12,3,25,"3,8",0.38,3,8,0,0,0,0,"6,15","2,7","12,40",32,0,0,0,0,0,0,0,3,24,0,,Capital,CAPITAL,1275-2724,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
