conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
oac,Ohio Athletic Conference (OAC),2025-26,Wilmington,"Pressley,QuiRaun",QuiRaun,Pressley,0,G,5,24.0,4.8,8.0,1.6,1.0,0.2,2.0,0.4,2.0,0.4,0.0,0.0,2.0,0.4,2.0,10.0,0.2,0.0,2.0,0.0,4.0,6.0,0.67
oac,Ohio Athletic Conference (OAC),2025-26,Wilmington,"DeBrosse,Matt",Matt,DeBrosse,0,G,26,496.0,19.076923076923077,210.0,8.08,58.0,2.23,33.0,1.27,28.0,1.08,1.0,0.04,32.0,1.2307692307692308,75.0,183.0,0.41,24.0,80.0,0.3,36.0,49.0,0.73
oac,Ohio Athletic Conference (OAC),2025-26,Wilmington,"Baltazar,Kellen",Kellen,Baltazar,0,G,26,205.0,7.884615384615385,52.0,2.0,15.0,0.58,13.0,0.5,8.0,0.31,0.0,0.0,6.0,0.2307692307692307,19.0,58.0,0.33,9.0,35.0,0.26,5.0,7.0,0.71
oac,Ohio Athletic Conference (OAC),2025-26,Wilmington,"Green,Gabe",Gabe,Green,0,G,26,521.0,20.03846153846154,187.0,7.19,66.0,2.54,20.0,0.77,22.0,0.85,2.0,0.08,26.0,1.0,70.0,131.0,0.53,21.0,49.0,0.43,26.0,39.0,0.67
oac,Ohio Athletic Conference (OAC),2025-26,Wilmington,"Miles,Carson",Carson,Miles,0,G,26,564.0,21.692307692307693,159.0,6.12,70.0,2.69,40.0,1.54,33.0,1.27,9.0,0.35,19.0,0.7307692307692307,58.0,163.0,0.36,17.0,55.0,0.31,26.0,34.0,0.76
oac,Ohio Athletic Conference (OAC),2025-26,Wilmington,"Trout,Jerry",Jerry,Trout,0,G,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oac,Ohio Athletic Conference (OAC),2025-26,Wilmington,"Farley,Domenic",Domenic,Farley,0,G,25,646.0,25.84,406.0,16.24,80.0,3.2,57.0,2.28,27.0,1.08,3.0,0.12,38.0,1.52,146.0,300.0,0.49,36.0,110.0,0.33,78.0,96.0,0.81
oac,Ohio Athletic Conference (OAC),2025-26,Wilmington,"Kahler,Benjamin",Benjamin,Kahler,0,F,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oac,Ohio Athletic Conference (OAC),2025-26,Wilmington,"Friend,Larkin",Larkin,Friend,0,,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
oac,Ohio Athletic Conference (OAC),2025-26,Wilmington,"Golan,Ben",Ben,Golan,0,F,24,549.0,22.875,255.0,10.63,96.0,4.0,30.0,1.25,15.0,0.63,28.0,1.17,32.0,1.3333333333333333,101.0,185.0,0.55,10.0,32.0,0.31,43.0,59.0,0.73
