season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats,goal_stats,penalty_stats,misc_stats,shot_stats
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Samuel LoPiccolo,Samuel,LoPiccolo,,46,Samuel LoPiccolo,"LOPICCOLO,SAMUEL",LOPICCOLOSAMUELBALDWIN,17,17,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,0,18,11,1019:00,47,0,1.000,17,824:27,153,148,0,11,5,0,2,0,0,521,11.13,.492,1,1,0,1,1,0,1.000,0.06,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Carson Grizovic,Carson,Grizovic,,46,Carson Grizovic,"GRIZOVIC,CARSON",GRIZOVICCARSONBALDWIN,7,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,7,2,00:00,0,0,1.000,,,,,,,,,,,,,,,11,19,0,15,7,8,.579,2.14,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Dillon Dlugosielski,Dillon,Dlugosielski,,46,Dillon Dlugosielski,"DLUGOSIELSKI,DILLON",DLUGOSIELSKIDILLONBALDWIN,4,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,,,,,,,,,,,,,,,5,8,0,3,1,2,.625,0.75,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Owen Makar,Owen,Makar,,46,Owen Makar,"MAKAR,OWEN",MAKAROWENBALDWIN,4,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,2,00:00,0,0,1.000,,,,,,,,,,,,,,,8,17,0,6,0,6,.471,1.50,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Noah Dodgion,Noah,Dodgion,,46,Noah Dodgion,"DODGION,NOAH",DODGIONNOAHBALDWIN,18,18,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,2,22,0,5,3,0,0,0,0,0,0,0,1,3,0,0,0,0,39,0,22,2,1079:00,47,0,1.000,,,,,,,,,,,,,,,90,136,0,71,15,56,.662,3.94,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Keyan Moser,Keyan,Moser,,46,Keyan Moser,"MOSER,KEYAN",MOSERKEYANBALDWIN,18,15,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,899:00,47,0,1.000,,,,,,,,,,,,,,,18,38,0,21,11,10,.474,1.17,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Bennet Trout,Bennet,Trout,,46,Bennet Trout,"TROUT,BENNET",TROUTBENNETBALDWIN,18,18,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,1,36,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,52,0,35,15,1035:00,62,0,1.000,,,,,,,,,,,,,,,84,135,0,96,43,53,.622,5.33,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Justin Diniz,Justin,Diniz,,46,Justin Diniz,"DINIZ,JUSTIN",DINIZJUSTINBALDWIN,14,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,5,0,41:00,6,0,1.000,,,,,,,,,,,,,,,11,21,0,8,4,4,.524,0.57,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Carter Oschman,Carter,Oschman,,46,Carter Oschman,"OSCHMAN,CARTER",OSCHMANCARTERBALDWIN,7,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,1,00:00,0,0,1.000,,,,,,,,,,,,,,,8,14,0,7,0,7,.571,1.00,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Gavin Flak,Gavin,Flak,,46,Gavin Flak,"FLAK,GAVIN",FLAKGAVINBALDWIN,18,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,4,16,0,10,9,43:00,45,18,1.000,,,,,,,,,,,,,,,1,7,0,3,2,1,.143,0.17,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Owen Tafe,Owen,Tafe,,46,Owen Tafe,"TAFE,OWEN",TAFEOWENBALDWIN,15,1,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,15,0,2,4,60:00,0,0,1.000,,,,,,,,,,,,,,,1,2,0,2,2,0,.500,0.13,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Nate Hoover,Nate,Hoover,,46,Nate Hoover,"HOOVER,NATE",HOOVERNATEBALDWIN,15,3,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,4,0,180:00,0,0,1.000,,,,,,,,,,,,,,,21,33,0,15,2,13,.636,1.00,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Tommy Orsini,Tommy,Orsini,,46,Tommy Orsini,"ORSINI,TOMMY",ORSINITOMMYBALDWIN,5,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,00:00,0,0,1.000,,,,,,,,,,,,,,,1,1,0,0,0,0,1.000,0.00,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Micah Moser,Micah,Moser,,46,Micah Moser,"MOSER,MICAH",MOSERMICAHBALDWIN,3,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000,0.00,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Edyn Haueter,Edyn,Haueter,,46,Edyn Haueter,"HAUETER,EDYN",HAUETEREDYNBALDWIN,6,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,00:00,0,0,1.000,,,,,,,,,,,,,,,2,2,0,1,0,1,1.000,0.17,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Mitchell Gregory,Mitchell,Gregory,,46,Mitchell Gregory,"GREGORY,MITCHELL",GREGORYMITCHELLBALDWIN,11,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,3,3,00:00,0,0,1.000,,,,,,,,,,,,,,,1,3,0,2,2,0,.333,0.18,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Ryan Frankovic,Ryan,Frankovic,,46,Ryan Frankovic,"FRANKOVIC,RYAN",FRANKOVICRYANBALDWIN,15,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,22,0,9,5,00:00,0,0,1.000,,,,,,,,,,,,,,,3,3,0,4,2,2,1.000,0.27,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Logan Lafler,Logan,Lafler,,46,Logan Lafler,"LAFLER,LOGAN",LAFLERLOGANBALDWIN,10,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,00:00,0,0,1.000,,,,,,,,,,,,,,,0,2,0,0,0,0,.000,0.00,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Elden Korber,Elden,Korber,,46,Elden Korber,"KORBER,ELDEN",KORBERELDENBALDWIN,17,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,3,7,00:00,0,0,1.000,,,,,,,,,,,,,,,1,1,0,0,0,0,1.000,0.00,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Louden Peters,Louden,Peters,,46,Louden Peters,"PETERS,LOUDEN",PETERSLOUDENBALDWIN,15,15,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,4,17,899:00,47,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000,0.00,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Paxton Allison,Paxton,Allison,,46,Paxton Allison,"ALLISON,PAXTON",ALLISONPAXTONBALDWIN,17,17,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,2,15,0,1,1,0,0,0,0,0,0,0,3,6,0,0,0,0,35,0,16,12,1019:00,47,0,1.000,,,,,,,,,,,,,,,62,110,0,59,25,34,.564,3.47,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Zach Zoul,Zach,Zoul,,46,Zach Zoul,"ZOUL,ZACH",ZOULZACHBALDWIN,18,1,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75,65,37,0,3,3,60:00,0,140,1.000,,,,,,,,,,,,,,,3,5,0,5,3,2,.600,0.28,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Ryan Yanssens,Ryan,Yanssens,,46,Ryan Yanssens,"YANSSENS,RYAN",YANSSENSRYANBALDWIN,7,1,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,60:00,0,0,1.000,,,,,,,,,,,,,,,8,11,0,6,1,5,.727,0.86,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Benjamin Glover,Benjamin,Glover,,46,Benjamin Glover,"GLOVER,BENJAMIN",GLOVERBENJAMINBALDWIN,11,6,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,5,7,359:00,47,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000,0.00,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Ian Shealy,Ian,Shealy,,46,Ian Shealy,"SHEALY,IAN",SHEALYIANBALDWIN,18,2,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,8,4,160:00,48,0,1.000,,,,,,,,,,,,,,,38,78,0,32,13,19,.487,1.78,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Ethan Hingson,Ethan,Hingson,,46,Ethan Hingson,"HINGSON,ETHAN",HINGSONETHANBALDWIN,17,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,6,16,00:00,0,0,1.000,,,,,,,,,,,,,,,2,3,0,2,0,2,.667,0.12,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Gavin Pate,Gavin,Pate,,46,Gavin Pate,"PATE,GAVIN",PATEGAVINBALDWIN,18,18,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,52,0,14,28,1079:00,47,0,1.000,,,,,,,,,,,,,,,2,2,0,0,0,0,1.000,0.00,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Nathan Prosowski,Nathan,Prosowski,,46,Nathan Prosowski,"PROSOWSKI,NATHAN",PROSOWSKINATHANBALDWIN,13,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,4,8,00:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000,0.00,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Eli Armstrong,Eli,Armstrong,,46,Eli Armstrong,"ARMSTRONG,ELI",ARMSTRONGELIBALDWIN,7,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,00:00,0,0,1.000,,,,,,,,,,,,,,,5,16,0,5,2,3,.313,0.71,,,,,
2025-26,mlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Evan Vetter,Evan,Vetter,,46,Evan Vetter,"VETTER,EVAN",VETTEREVANBALDWIN,18,0,,,Baldwin Wallace,BALDWIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,157,105,0,14,1,00:00,0,390,1.000,,,,,,,,,,,,,,,3,8,0,7,6,1,.375,0.39,,,,,
