conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,rank,rating
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Marietta,"Bolin, Parker",0,,9.0,19,19,0,0,41,64,40,2,19,3,2,3.37,2.16,2.11,1.0,0.105,22,6,2,0,2,5,3,0.158,23,0,2,0,1.21,0.11,0.0,0.0,0,,1494:00,0,0.0,0.0,,,,,,,,,,,,,,,,,7.929808825445208,0.7967919743477699,6.644062710382348,6.292863205930715,1.0609329242661725,-0.17931631503020817,14.30956633331459,1,99
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Wilmington,"Burke, Parker",0,,11.0,20,19,0,0,37,78,32,4,14,0,0,3.9,1.85,1.6,0.7,0.2,23,1,1,0,2,2,4,0.2,16,0,2,0,0.8,0.1,0.0,0.0,0,,1356:00,0,0.0,0.0,,,,,,,,,,,,,,,,,5.730889826682327,2.088560781244912,5.218907929204445,5.627237012964652,1.0609329242661725,-0.17931631503020817,11.884151913961965,2,96
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Mount Union,"Depperschmidt, Alex",0,,4.0,19,18,0,0,24,37,31,5,13,0,0,1.95,1.26,1.63,0.684,0.263,11,4,0,0,4,3,2,0.105,15,0,1,0,0.79,0.05,0.0,0.0,0,,1336:00,0,0.0,0.0,,,,,,,,,,,,,,,,,5.291106026929751,2.7344451846934827,5.040763581557206,3.4639518858249474,0.192158769446169,-0.17931631503020817,11.46944525106538,3,94
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Otterbein,"Wallace, Lincoln",0,,12.0,20,20,0,0,29,58,30,4,13,0,0,2.9,1.45,1.5,0.65,0.2,16,4,0,0,3,4,4,0.2,48,0,4,0,2.4,0.2,0.0,0.0,0,,1518:00,0,0.0,0.0,,,,,,,,,,,,,,,,,5.291106026929751,2.088560781244912,4.862619233909968,4.295984627032526,2.798481233906179,-0.17931631503020817,10.66808330387083,4,93
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Wilmington,"Domoe, Jordan",0,,33.0,19,17,0,0,17,30,23,7,8,0,0,1.58,0.89,1.21,0.421,0.368,9,1,0,0,1,3,1,0.053,16,0,1,0,0.84,0.05,0.0,0.0,0,,1040:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.0921870281668684,4.026213991590625,3.615608800379302,2.299106048134337,0.192158769446169,-0.17931631503020817,8.944186902767841,5,92
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Mount Union,"Kustura, Dom",0,,10.0,20,18,0,0,18,30,22,8,7,2,2,1.5,0.9,1.1,0.35,0.4,11,1,0,0,0,3,2,0.1,8,0,1,0,0.4,0.05,0.0,0.0,0,,1086:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.652403228414292,4.672098395039196,3.4374644527320637,2.4655125963758526,0.192158769446169,-0.17931631503020817,8.865102451724502,6,92
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Otterbein,"Isaac, Nick",0,,7.0,19,19,0,0,21,51,22,8,7,2,2,2.68,1.11,1.16,0.368,0.421,14,2,0,0,3,5,1,0.053,19,0,4,0,1.0,0.21,0.0,0.0,0,,1511:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.652403228414292,4.672098395039196,3.4374644527320637,2.9647322411004002,2.798481233906179,-0.17931631503020817,8.573998011000409,7,91
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Muskingum,Hunter Keivens,0,,26.0,19,18,0,0,22,47,21,9,6,0,0,2.47,1.16,1.11,0.316,0.474,16,0,0,0,0,4,2,0.105,8,0,4,0,0.42,0.21,0.0,0.0,0,,1384:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.212619428661716,5.317982798487767,3.259320105084826,3.131138789341916,2.798481233906179,-0.17931631503020817,8.494913559957071,8,90
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Ohio Northern,"Gottron, Colin",0,,27.0,19,19,0,0,35,71,19,5,7,0,0,3.74,1.84,1.0,0.368,0.263,28,0,0,0,4,1,4,0.211,31,0,2,0,1.63,0.11,0.0,0.0,0,,1493:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.652403228414292,2.7344451846934827,2.9030314097903496,5.2944239164816205,1.0609329242661725,-0.17931631503020817,7.570108215221457,9,90
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Muskingum,Evan Laraba,0,,23.0,19,18,0,0,15,30,20,4,8,0,0,1.58,0.79,1.05,0.421,0.211,7,2,0,0,0,2,1,0.053,6,0,1,0,0.32,0.05,0.0,0.0,0,,1008:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.0921870281668684,2.088560781244912,3.0811757574375878,1.9662929516513057,0.192158769446169,-0.17931631503020817,7.147163906170038,10,89
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Muskingum,Jacob Gulu,0,,22.0,19,19,0,0,18,40,19,3,8,0,0,2.11,0.95,1.0,0.421,0.158,10,2,0,0,2,3,2,0.105,10,0,2,0,0.53,0.11,0.0,0.0,0,,1306:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.0921870281668684,1.442676377796341,2.9030314097903496,2.4655125963758526,1.0609329242661725,-0.17931631503020817,6.539871586124881,11,89
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Ohio Northern,"Armstrong, Miles",0,,9.0,18,15,0,0,17,51,17,5,6,0,0,2.83,0.94,0.94,0.333,0.278,11,0,0,0,4,0,2,0.111,9,0,1,0,0.5,0.06,0.0,0.0,0,,1144:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.212619428661716,2.7344451846934827,2.5467427144958736,2.299106048134337,0.192158769446169,-0.17931631503020817,6.412174878316292,12,88
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Ohio Northern,"Foster, Gage",0,,28.0,19,18,0,0,19,57,14,8,3,0,0,3.0,1.0,0.74,0.158,0.421,16,2,0,0,0,2,1,0.053,9,0,1,0,0.47,0.05,0.0,0.0,0,,1432:00,0,0.0,0.0,,,,,,,,,,,,,,,,,0.8932680294039868,4.672098395039196,2.0123096715541595,2.6319191446173686,0.192158769446169,-0.17931631503020817,6.141640215537969,13,88
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Wilmington,"Young, Kaden",0,,7.0,21,21,0,0,23,49,15,7,4,1,1,2.33,1.1,0.71,0.19,0.333,19,2,0,0,1,3,0,0.0,10,0,3,0,0.48,0.14,0.0,0.0,0,,1499:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.3330518291565632,4.026213991590625,2.1904540192013977,3.2975453375834314,1.929707079086176,-0.17931631503020817,6.126498968376823,14,87
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Capital,"Harris, Derrick",0,,10.0,12,9,0,0,14,24,16,2,7,2,2,2.0,1.17,1.33,0.583,0.167,7,0,0,0,3,2,1,0.083,11,0,0,0,0.92,0.0,0.0,0.0,0,,671:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.652403228414292,0.7967919743477699,2.3685983668486355,1.79988640340979,-0.6766153853738344,-0.17931631503020817,5.401372581751893,15,87
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Mount Union,"Spratt, Amir",0,,18.0,20,18,0,0,25,49,21,5,8,0,0,2.45,1.25,1.05,0.4,0.25,17,0,1,0,4,2,3,0.15,25,1,4,0,1.25,0.2,0.05,0.0,0,,1066:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.0921870281668684,2.7344451846934827,3.259320105084826,3.630358434066463,2.798481233906179,5.576737397439474,5.363427273763259,16,86
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Otterbein,"Stocks, Xavier",0,,9.0,20,2,0,0,8,15,14,4,5,0,0,0.75,0.4,0.7,0.25,0.2,3,0,0,0,0,1,0,0.0,9,0,1,0,0.45,0.05,0.0,0.0,0,,734:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,1.0,0.0,0.0,0.0,0.0,1.7728356289091396,2.088560781244912,2.0123096715541595,0.8014471139606956,0.192158769446169,-0.17931631503020817,4.846637079255787,17,86
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Capital,"Monzalvo, Christian",0,,14.0,17,6,0,0,7,14,15,1,7,0,0,0.82,0.41,0.88,0.412,0.059,0,2,0,0,1,2,2,0.118,8,0,0,0,0.47,0.0,0.0,0.0,0,,795:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.652403228414292,0.15090757089919885,2.1904540192013977,0.6350405657191799,-0.6766153853738344,-0.17931631503020817,4.591583288446704,18,85
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Ohio Northern,"Robinson, Chase",0,,19.0,19,17,0,0,15,42,13,3,5,0,0,2.21,0.79,0.68,0.263,0.158,10,0,0,0,2,1,2,0.105,21,0,1,0,1.11,0.05,0.0,0.0,0,,1148:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.7728356289091396,1.442676377796341,1.8341653239069213,1.9662929516513057,0.192158769446169,-0.17931631503020817,4.502786121026843,19,85
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Capital,"Metatla, Wassim",0,,7.0,14,12,0,0,14,25,12,6,3,0,0,1.79,1.0,0.86,0.214,0.429,11,1,0,0,1,0,1,0.071,16,0,4,0,1.14,0.29,0.0,0.0,0,,880:00,0,0.0,0.0,,,,,,,,,,,,,,,,,0.8932680294039868,3.380329588142054,1.6560209762596834,1.79988640340979,2.798481233906179,-0.17931631503020817,4.430645046093318,20,85
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Otterbein,"Boettcher, Drew",0,,10.0,20,20,0,0,14,39,12,4,4,0,0,1.95,0.7,0.6,0.2,0.2,10,0,0,0,1,3,3,0.15,24,0,3,0,1.2,0.15,0.0,0.0,0,,1728:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.3330518291565632,2.088560781244912,1.6560209762596834,1.79988640340979,1.929707079086176,-0.17931631503020817,4.096506804240895,21,84
oac,Ohio Athletic Conference (OAC),2025-26,msoc,Baldwin Wallace,Mathew Skladany,0,,10.0,21,21,0,0,18,41,11,3,4,1,1,1.95,0.86,0.52,0.19,0.143,14,1,1,0,1,3,1,0.048,8,0,0,0,0.38,0.0,0.0,0.0,0,,1557:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.3330518291565632,1.442676377796341,1.4778766286124454,2.4655125963758526,-0.6766153853738344,-0.17931631503020817,4.043760286736043,22,84
