season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Annette Doren,Annette,Doren,,46,Annette Doren,"DOREN,ANNETTE",DORENANNETTEBWU,15,15,,,Baldwin Wallace,BWU,1273-4171,0,8,0,0,0,1,13,1,4,1,0,0,0,7,3,0,0,0,0,0,0,0,0,31,48,17,15,900:00,0,0,1.000,,43,61,12,35,9,26,.705,2.33,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Morgan Massey,Morgan,Massey,,46,Morgan Massey,"MASSEY,MORGAN",MASSEYMORGANBWU,16,16,,,Baldwin Wallace,BWU,1273-3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,7,8,960:00,0,0,1.000,,2,2,1,0,0,0,1.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Clare Alic,Clare,Alic,,46,Clare Alic,"ALIC,CLARE",ALICCLAREBWU,16,16,,,Baldwin Wallace,BWU,1273-4169,0,12,0,0,0,2,46,2,7,2,0,0,0,5,0,0,0,0,0,0,0,0,0,23,66,27,15,960:00,0,0,1.000,,83,122,28,65,9,56,.680,4.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Ella Szalay,Ella,Szalay,,46,Ella Szalay,"SZALAY,ELLA",SZALAYELLABWU,16,9,,,Baldwin Wallace,BWU,1273-4602,0,1,0,0,0,1,8,1,5,3,0,0,0,6,3,0,0,0,0,0,0,0,0,17,33,16,11,540:00,0,0,1.000,,49,69,6,33,6,27,.710,2.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Ella Steen,Ella,Steen,,46,Ella Steen,"STEEN,ELLA",STEENELLABWU,15,13,,,Baldwin Wallace,BWU,1273-4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,10,2,780:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Sarah Zoul,Sarah,Zoul,,46,Sarah Zoul,"ZOUL,SARAH",ZOULSARAHBWU,16,16,,,Baldwin Wallace,BWU,1273-4177,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,21,3,6,14,960:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Addie Henderson,Addie,Henderson,,46,Addie Henderson,"HENDERSON,ADDIE",HENDERSONADDIEBWU,2,0,,,Baldwin Wallace,BWU,1273-4172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,00:00,0,0,1.000,,0,1,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Hope Knobloch,Hope,Knobloch,,46,Hope Knobloch,"KNOBLOCH,HOPE",KNOBLOCHHOPEBWU,0,0,,,Baldwin Wallace,BWU,1273-5062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Mia Macron,Mia,Macron,,46,Mia Macron,"MACRON,MIA",MACRONMIABWU,7,5,,,Baldwin Wallace,BWU,1273-4599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,2,2,300:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Hailey Crozier,Hailey,Crozier,,46,Hailey Crozier,"CROZIER,HAILEY",CROZIERHAILEYBWU,5,1,,,Baldwin Wallace,BWU,1273-5060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,60:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Hayley Huston,Hayley,Huston,,46,Hayley Huston,"HUSTON,HAYLEY",HUSTONHAYLEYBWU,16,16,,,Baldwin Wallace,BWU,1273-5061,0,13,0,0,0,1,23,1,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,17,3,23,7,960:00,0,0,1.000,,51,71,22,38,11,27,.718,2.38,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Kaitlyn Byerly,Kaitlyn,Byerly,,46,Kaitlyn Byerly,"BYERLY,KAITLYN",BYERLYKAITLYNBWU,4,0,,,Baldwin Wallace,BWU,1273-4598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Kaidyn Watson,Kaidyn,Watson,,46,Kaidyn Watson,"WATSON,KAIDYN",WATSONKAIDYNBWU,4,0,,,Baldwin Wallace,BWU,1273-4610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,00:00,0,0,1.000,,0,0,0,1,1,0,.000,0.25,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Madie Tomei,Madie,Tomei,,46,Madie Tomei,"TOMEI,MADIE",TOMEIMADIEBWU,16,16,,,Baldwin Wallace,BWU,1273-4176,0,3,0,0,0,0,8,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,7,0,13,2,960:00,0,0,1.000,,23,30,9,15,3,12,.767,0.94,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Izzy Medrick,Izzy,Medrick,,46,Izzy Medrick,"MEDRICK,IZZY",MEDRICKIZZYBWU,9,2,,,Baldwin Wallace,BWU,1273-4601,0,0,0,0,0,1,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,6,14,10,4,120:00,0,0,1.000,,8,10,2,5,1,4,.800,0.56,,,,,,,,,,,,,,,,,,
