conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
oac,Ohio Athletic Conference (OAC),2025-26,wsoc,Wilmington,"Elliott, Brooke",0,,00,2,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,32:00,0,.00,.00,6,0,0,0,0,1.000,0.00,1,0,32:41,0,2,.00,1.000,.000,.50
oac,Ohio Athletic Conference (OAC),2025-26,wsoc,Wilmington,"Tobias, Lauren",0,,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
oac,Ohio Athletic Conference (OAC),2025-26,wsoc,Wilmington,"Storck, Emma",0,,1,22,22,0,0,0,1,0,0,0,0,0,.05,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.05,.00,.00,.00,0,,1962:00,0,.00,.00,310,4,6,12,4,.769,1.52,110,33,1960:24,22,22,1.50,0.769,.182,5.00
oac,Ohio Athletic Conference (OAC),2025-26,wsoc,Wilmington,"Perkins, Gabby",0,,2,2,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,.50,.00,.00,0,,78:00,0,.00,.00,,,,,,,,,,,,,,,,
oac,Ohio Athletic Conference (OAC),2025-26,wsoc,Wilmington,"Waggoner, Elyse",0,,3,18,0,0,0,2,4,0,0,0,0,0,.22,.11,.00,.000,.000,2,0,0,0,0,0,0,.000,9,0,1,0,.50,.06,.00,.00,0,,452:00,0,.00,.00,,,,,,,,,,,,,,,,
oac,Ohio Athletic Conference (OAC),2025-26,wsoc,Wilmington,"Little, MJ",0,,4,22,20,0,0,30,61,16,4,6,0,0,2.77,1.36,.73,.273,.182,24,1,0,0,2,2,1,.045,24,0,3,0,1.09,.14,.00,.00,0,,1483:00,0,.00,.00,,,,,,,,,,,,,,,,
oac,Ohio Athletic Conference (OAC),2025-26,wsoc,Wilmington,"Snyder, Jordan",0,,5,21,21,0,0,28,54,25,5,10,1,1,2.57,1.33,1.19,.476,.238,18,2,0,0,3,5,3,.143,33,0,1,0,1.57,.05,.00,.00,0,,1535:00,0,.00,.00,,,,,,,,,,,,,,,,
oac,Ohio Athletic Conference (OAC),2025-26,wsoc,Wilmington,"Bauer, Lindsey",0,,6,22,22,0,0,1,1,0,0,0,0,0,.05,.05,.00,.000,.000,1,0,0,0,0,0,0,.000,11,0,2,0,.50,.09,.00,.00,0,,1970:00,0,.00,.00,,,,,,,,,,,,,,,,
oac,Ohio Athletic Conference (OAC),2025-26,wsoc,Wilmington,"King, Gracie",0,,7,22,21,0,0,9,22,2,2,0,0,0,1.00,.41,.09,.000,.091,9,0,0,0,0,0,0,.000,12,0,0,0,.55,.00,.00,.00,0,,1922:00,0,.00,.00,,,,,,,,,,,,,,,,
oac,Ohio Athletic Conference (OAC),2025-26,wsoc,Wilmington,"Roye, Olivia",0,,8,22,21,0,0,7,16,4,2,1,0,0,.73,.32,.18,.045,.091,6,0,0,1,0,1,1,.045,12,0,0,0,.55,.00,.00,.00,0,,1691:00,0,.00,.00,,,,,,,,,,,,,,,,
