conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
oac,Ohio Athletic Conference (OAC),2025-26,wvball,Otterbein,"Baum, Emerson",0,,26,101,32,0.325,864.0,77.0,358.0,14.0,2.0,64.0,0.0,36.0,36.0,348.0,0.0,0.0,7.0,0.0,63.0,100.0,6.0,83.0,17.0,452.5,3.0,3.54,0.14,0.62,0.99,0.36,4.48,3.3262459690726676,2.938732863885894,-0.3043416457889435,3.0028731033299327,1.8351871390683552,-0.41151784595367014,1.3571603468705067,1.9666043145709895,7.159166717680707,1,99
oac,Ohio Athletic Conference (OAC),2025-26,wvball,Marietta,"Fellers, Jillian",0,,14,90,85,0.245,938.0,89.0,319.0,19.0,5.0,138.0,0.0,32.0,15.0,381.0,0.0,0.0,442.0,26.0,306.0,36.0,2.0,30.0,6.0,372.0,0.0,3.54,0.21,3.4,0.4,0.36,4.13,2.991426162607221,2.938732863885894,-0.26236566436207487,0.7947912739872928,1.8351871390683552,1.8678836455808154,1.6816619491110263,0.37575958998040576,6.409526110294638,2,95
oac,Ohio Athletic Conference (OAC),2025-26,wvball,Muskingum,"Krous, Mackenzie",0,,10,112,34,0.2,1214.0,133.0,376.0,30.0,6.0,170.0,0.0,18.0,31.0,355.0,0.0,0.0,889.0,59.0,448.0,33.0,1.0,24.0,9.0,415.0,5.0,3.36,0.27,4.0,0.29,0.16,3.71,2.5896423948486857,2.7470544415933023,-0.22638625171047308,0.38311500072002075,0.35770596778450997,2.3598408020271076,2.871501157326265,1.587831761097041,4.842970877502679,3,93
oac,Ohio Athletic Conference (OAC),2025-26,wvball,Otterbein,"Vitaz, Olivia",0,,25,102,33,0.22,314.0,38.0,107.0,795.0,24.0,2220.0,0.0,20.0,38.0,277.0,0.0,0.0,2.0,0.0,243.0,63.0,6.0,50.0,13.0,165.0,3.0,1.05,7.79,2.38,0.62,0.2,1.62,0.5902898362407356,0.2871813555050411,4.283033467290278,1.6181438205218364,0.6532022020412791,1.0315564796221193,0.3025301395888178,2.118113335960569,4.445779550488075,4,92
oac,Ohio Athletic Conference (OAC),2025-26,wvball,Baldwin Wallace,"Blazetic, Katarina",0,,6,110,45,0.129,280.0,27.0,63.0,1020.0,29.0,2787.0,0.0,52.0,39.0,471.0,0.0,0.0,35.0,9.0,333.0,25.0,3.0,21.0,4.0,129.5,4.0,0.57,9.27,3.03,0.23,0.47,1.18,0.16937350811274599,-0.2239611039418704,5.1705256460297875,0.15856430621059986,2.64780178327447,1.5645100657722688,0.00507033753500812,2.1938678466553587,4.40164954326274,5,90
oac,Ohio Athletic Conference (OAC),2025-26,wvball,Heidelberg,"Simon, Sophia",0,,8,122,30,0.287,746.0,81.0,295.0,8.0,3.0,57.0,0.0,28.0,40.0,339.0,0.0,0.0,9.0,1.0,69.0,112.0,2.0,90.0,22.0,390.0,0.0,2.42,0.07,0.57,0.92,0.23,3.2,2.101762105427607,1.746067125176434,-0.34631762721581216,2.7408972930689415,0.8748243777338559,-0.45251427565752783,1.4653275476173466,2.269622357350148,4.378047312694414,6,89
oac,Ohio Athletic Conference (OAC),2025-26,wvball,Marietta,"Spitler, Emory",0,,11,90,85,0.127,197.0,15.0,40.0,947.0,23.0,2687.0,0.0,24.0,18.0,381.0,0.0,0.0,2.0,0.0,279.0,22.0,2.0,21.0,1.0,75.5,1.0,0.44,10.52,3.1,0.24,0.27,0.84,-0.15588001816797312,-0.36239552004207554,5.920096742938157,0.19598942196216995,1.170320611990625,1.6219050673576696,-0.31943126470551153,0.6030231220647749,4.0814447749126375,7,88
oac,Ohio Athletic Conference (OAC),2025-26,wvball,Heidelberg,"Uffman, Kaitlyn",0,,23,122,30,0.242,814.0,93.0,290.0,5.0,2.0,53.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,2.0,29.0,115.0,4.0,100.0,15.0,355.0,0.0,2.38,0.04,0.24,0.94,0.0,2.91,1.8243399800705231,1.7034719202225246,-0.36430733354161304,2.8157475245720818,-0.8242789692425664,-0.7230907117029883,1.7898291498578662,-0.7605580704414397,3.5840125898594133,8,88
oac,Ohio Athletic Conference (OAC),2025-26,wvball,Mount Union,"Bolen, Ava",0,,1,59,23,0.341,208.0,15.0,86.0,1.0,0.0,23.0,0.0,15.0,11.0,175.0,0.0,0.0,6.0,0.0,39.0,60.0,0.0,48.0,12.0,137.0,0.0,1.46,0.02,0.66,1.02,0.25,2.32,1.2599294491716277,0.7237822062826111,-0.376300471092147,3.1151484505846434,1.0225724948622403,-0.37872070219058396,-0.31943126470551153,0.07274154720124698,3.5417100774529784,9,87
oac,Ohio Athletic Conference (OAC),2025-26,wvball,Baldwin Wallace,"Smith, Lexi",0,,10,98,42,0.23,836.0,106.0,298.0,9.0,4.0,67.0,0.0,2.0,4.0,32.0,0.0,0.0,102.0,7.0,67.0,34.0,8.0,27.0,7.0,320.5,1.0,3.04,0.09,0.68,0.35,0.02,3.27,2.168726066720696,2.406292801962028,-0.33432448966527833,0.6076656952294418,-0.6765308521141818,-0.3623221303090409,2.141372552285096,-0.4575400276622809,3.4532850809921474,10,86
