conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,z_hitting_stats_hits,z_hitting_stats_runs,z_hitting_stats_runs_batted_in,z_hitting_stats_home_runs,z_hitting_stats_stolen_bases,z_hitting_stats_strikeouts,composite_score,rank,rating
odac,Old Dominion Athletic Conference (ODAC),2025-26,baseball,Shenandoah,Noah Cornwell,,,,45,44,175,46,53,60,15,2,17,23,4,10,39,12,5,1,1,1,0,0,0,0,0,1,0,0.411,123,210,6,0.833,0.303,0.703,360,18,2,0,0,0,0,30,0,380,0.995,0,0.0,6,9,36,39,"12,51",0.24,12,51,"41,117",0.35,41,117,"25,82",0.3,25,82,"6,28",0.21,6,28,0,0,0,0,"10,29","12,22","69,127",69,0.0,0,0,3,0.0,0,0,12,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.439774476196755,2.995682130001691,4.5847697119107576,8.959794978638632,0.9205416261010503,3.5725209351135523,11.24651415071983,1,99
odac,Old Dominion Athletic Conference (ODAC),2025-26,baseball,Bridgewater College,Zack Chadwell,,,,44,44,143,40,56,59,10,0,16,44,3,7,36,10,0,0,1,4,0,0,0,2,0,2,0,0.54,114,199,0,0.0,0.392,0.797,43,2,1,0,0,0,0,2,0,46,0.978,0,0.0,1,0,16,39,"17,45",0.38,17,45,"36,85",0.42,36,85,"26,57",0.46,26,57,"9,27",0.33,9,27,0,0,0,0,"17,34","9,14","66,109",64,0.0,0,0,0,0.0,0,0,15,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6118247934452685,2.5279862062692686,4.498897355138541,8.412697917916795,-0.41213791756811735,3.2456894955344295,10.39373703982243,2,96
odac,Old Dominion Athletic Conference (ODAC),2025-26,baseball,Lynchburg,Benton Jones,,,,50,50,166,57,62,47,12,6,3,60,1,10,15,3,23,2,0,5,0,0,0,0,1,1,0,0.548,95,241,25,0.92,0.373,0.572,73,153,6,0,0,0,0,38,0,232,0.974,0,0.0,1,2,26,67,"20,67",0.3,20,67,"36,95",0.38,36,95,"25,68",0.37,25,68,"9,36",0.25,9,36,0,0,0,0,"20,35","12,18","72,123",271,0.0,0,0,0,0.0,0,0,17,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.955925427942296,3.853124656844466,3.4684290738719428,1.3004361285329398,5.718187983310054,0.9578694184805732,7.83005036509629,3,95
odac,Old Dominion Athletic Conference (ODAC),2025-26,baseball,Shenandoah,Jaime Padilla,,,,44,44,170,52,71,42,20,2,5,30,1,8,22,8,14,2,0,5,0,0,0,1,1,4,0,0.512,110,213,16,0.875,0.418,0.647,104,3,4,0,0,0,0,0,0,111,0.964,0,0.0,5,3,31,45,"18,47",0.38,18,47,"37,81",0.46,37,81,"27,56",0.48,27,56,"17,31",0.55,17,31,0,0,0,0,"38,77","14,14","62,99",135,0.0,0,0,0,0.0,0,0,10,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4720763796878367,3.4633780537341137,3.03906729001086,2.3946302499766103,3.319364804705552,1.7204761108318587,7.619992817541785,4,94
odac,Old Dominion Athletic Conference (ODAC),2025-26,baseball,Lynchburg,Joe Munitz,,,,50,50,172,60,62,48,9,3,2,51,0,10,20,7,23,4,3,3,0,0,0,0,0,2,0,0.521,83,239,27,0.852,0.36,0.483,98,2,3,0,0,0,0,1,0,103,0.971,0,0.0,6,5,49,43,"21,50",0.42,21,50,"44,90",0.49,44,90,"31,64",0.48,31,64,"8,31",0.26,8,31,0,0,0,0,"20,39","11,13","84,118",234,0.0,0,0,0,0.0,0,0,16,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.955925427942296,4.086972618710678,3.554301430644159,0.7533390678111047,5.718187983310054,1.502588484445777,7.4832012082077775,5,93
odac,Old Dominion Athletic Conference (ODAC),2025-26,baseball,Averett University,Kevin Zischke,,,,37,37,155,46,58,25,9,2,9,19,0,6,27,2,13,3,0,2,0,0,0,3,1,3,0,0.456,98,182,16,0.813,0.374,0.632,118,6,3,0,0,0,0,0,0,127,0.976,0,0.0,4,6,35,32,"16,42",0.38,16,42,"20,61",0.33,20,61,"10,32",0.31,10,32,"7,22",0.32,7,22,0,0,0,0,"31,68","7,13","39,74",45,0.0,0,0,0,0.0,0,0,7,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7265250049442775,2.995682130001691,1.5792372248831785,4.58301849286395,3.052828895971719,2.2651951767970626,7.452652768334017,6,93
odac,Old Dominion Athletic Conference (ODAC),2025-26,baseball,Randolph-Macon College,Chaz Harvey,,,,47,47,195,40,65,45,17,1,9,19,3,5,43,8,2,0,1,4,0,0,0,3,0,3,0,0.399,111,224,2,1.0,0.333,0.569,233,18,2,2,0,35,5,0,0,253,0.992,40,0.875,7,3,33,55,"23,81",0.28,23,81,"34,117",0.29,34,117,"20,69",0.29,20,69,"11,35",0.31,11,35,0,0,0,0,"18,31","13,20","58,130",90,0.0,0,0,0,0.0,0,0,17,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1279757451908092,2.5279862062692686,3.2966843603275096,4.58301849286395,0.12093389989954972,4.0082961878857155,7.308724423216185,7,92
odac,Old Dominion Athletic Conference (ODAC),2025-26,baseball,Eastern Mennonite University,Nick Arnold,,,,36,36,138,42,41,44,5,1,7,28,1,2,24,9,12,2,0,3,0,0,0,1,1,2,0,0.415,69,171,14,0.857,0.297,0.5,31,56,8,0,0,0,0,6,0,95,0.916,0,0.0,4,7,25,46,"9,28",0.32,9,28,"28,72",0.39,28,72,"21,49",0.43,21,49,"8,19",0.42,8,19,0,0,0,0,"11,44","15,21","49,84",52,0.0,0,0,0,0.0,0,0,9,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7515732072027006,2.6838848475134096,3.210812003555293,3.4888243714202805,2.786292987237885,1.9383637372179403,6.941377274182133,8,92
odac,Old Dominion Athletic Conference (ODAC),2025-26,baseball,Bridgewater College,Ashton Smith,,,,44,42,172,37,59,51,16,1,7,21,0,4,32,3,0,1,1,1,0,0,0,2,1,2,0,0.424,98,199,1,0.0,0.343,0.57,41,125,12,0,0,0,0,8,0,178,0.933,0,0.0,3,6,23,55,"16,50",0.32,16,50,"35,99",0.35,35,99,"23,62",0.37,23,62,"8,26",0.31,8,26,0,0,0,0,"18,45","15,22","50,108",218,0.0,0,0,0,0.0,0,0,6,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7838751106937822,2.294138244403057,3.8119185009608088,3.4888243714202805,-0.41213791756811735,2.8099142427622663,6.631684300925285,9,91
odac,Old Dominion Athletic Conference (ODAC),2025-26,baseball,Roanoke College,Parker Stallard,,,,38,36,142,36,47,33,10,3,6,28,0,9,36,14,23,4,1,3,0,0,0,1,1,4,0,0.462,81,183,27,0.852,0.331,0.57,100,2,4,0,0,0,0,1,0,106,0.962,0,0.0,4,5,22,38,"18,51",0.35,18,51,"23,76",0.3,23,76,"18,53",0.34,18,53,"6,17",0.35,6,17,0,0,0,0,"21,46","10,14","42,89",70,0.0,0,0,2,0.0,0,0,13,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.095673841699728,2.2161889237809866,2.2662160790609107,2.9417273106984454,5.718187983310054,3.2456894955344295,6.62913713534382,10,91
