season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Washington and Lee,Washington and Lee University,Jonathan McEwen,,Fourth Year,19519,1,ACTIVE,70.36,-1.64,28,68.3357619183679,9,6,3,100.570162729864,-6.39325672034107,Region IV - (M) DIII,clippd_scoreboard,1,99,100.570162729864
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Washington and Lee,Washington and Lee University,Tim Kaufman,,Third Year,30906,8,ACTIVE,72.07,0.07,28,70.0500476326536,9,2,1,66.5914978473055,-6.39325672034107,Region IV - (M) DIII,clippd_scoreboard,23,95,55.9102660497317
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Lynchburg,University of Lynchburg,Alan Van Asch,,,19072,28,ACTIVE,73.29,1.29,31,71.2896764009441,11,2,1,53.7834075849631,-6.80436211826162,Region IV - (M) DIII,clippd_scoreboard,83,94,37.831558760491
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Averett,Averett University,Chase Myers,,,4977,63,ACTIVE,73.46,1.46,24,72.0881830621423,9,1,1,40.447538260843,-7.98540671291893,Region IV - (M) DIII,clippd_scoreboard,96,93,36.6675561977493
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Bridgewater,Bridgewater College,Brandon Washburn,,,22275,82,ACTIVE,73.76,1.76,21,72.1646387208311,10,4,0,37.8540299280251,-10.3523520349035,Region IV - (M) DIII,clippd_scoreboard,125,93,33.7876726540674
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Randolph-Macon,Randolph-Macon College,Charlie Wilkerson,,Third Year,31761,108,ACTIVE,74.25,2.25,20,72.7734709387857,8,1,0,35.2703084473236,-7.86013140144266,Region IV - (M) DIII,clippd_scoreboard,188,92,28.2308171755386
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Shenandoah,Shenandoah University,Conor McCarthy,,Second Year,3714,196,ACTIVE,74.36,2.36,22,73.671513937133,8,1,0,27.9859418682493,-8.97423626202787,Region IV - (M) DIII,clippd_scoreboard,210,91,27.0500851343185
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Bridgewater,Bridgewater College,Walker Gillespie,,Third Year,33279,107,ACTIVE,74.43,2.43,21,72.8313053874978,10,3,1,35.5108260717512,-10.3523520349035,Region IV - (M) DIII,clippd_scoreboard,219,91,26.5072720583979
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Shenandoah,Shenandoah University,Braden Hermansky,,Second Year,3706,183,ACTIVE,74.54,2.54,26,73.6438186541311,10,0,0,28.310923737936,-8.93786840111774,Region IV - (M) DIII,clippd_scoreboard,237,91,25.4541555631647
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Washington and Lee,Washington and Lee University,Charlie Krasnewich,,Third Year,30908,93,ACTIVE,74.63,2.63,27,72.648830409386,9,0,0,36.9093091894259,-6.39276878348085,Region IV - (M) DIII,clippd_scoreboard,248,91,24.9010815670472
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Bridgewater,Bridgewater College,Jayden Hendricks,,Fourth Year,5720,171,ACTIVE,74.86,2.86,21,73.2598768160692,10,1,1,29.6990339172997,-10.3523520349035,Region IV - (M) DIII,clippd_scoreboard,286,90,23.4716202148649
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Averett,Averett University,Benjamin Afzelius,,Third Year,31418,191,ACTIVE,74.88,2.88,24,73.504849728809,9,1,0,28.1127667685256,-7.98540671291893,Region IV - (M) DIII,clippd_scoreboard,288,90,23.2625089552592
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Lynchburg,University of Lynchburg,Cooper Mizelle,,Third Year,36987,126,ACTIVE,74.89,2.89,28,72.7447932783984,10,0,0,33.7495307877261,-6.50069415570129,Region IV - (M) DIII,clippd_scoreboard,290,90,23.2319327635034
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Guilford,Guilford College,Andrew Perry,,,37732,124,ACTIVE,74.93,2.93,29,72.8558870179294,10,0,0,33.8133695719801,-6.44351096353494,Region IV - (M) DIII,clippd_scoreboard,297,90,23.1083215722185
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Hampden-Sydney,Hampden-Sydney College,Luke Combs,,Third Year,32699,156,ACTIVE,74.97,2.97,30,73.1414459245708,10,0,0,30.908821135113,-6.6508741127116,Region IV - (M) DIII,clippd_scoreboard,301,90,22.8930058302088
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Shenandoah,Shenandoah University,Dan Ailor,,Fourth Year,23059,179,ACTIVE,75.04,3.04,25,74.0992562816912,10,2,1,28.454791009491,-8.91092627095381,Region IV - (M) DIII,clippd_scoreboard,307,89,22.671176498188
2025-26,mgolf,Men,Old Dominion Athletic Conference,odac,Hampden-Sydney,Hampden-Sydney College,Sean Acree,,Third Year,32700,140,ACTIVE,75.06,3.06,16,73.7232214376164,6,0,0,31.9626167846564,-8.1576884919926,Region IV - (M) DIII,clippd_scoreboard,312,89,22.4698768924546
