season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Eastern Mennonite University,"Mills, Andre",Andre,Mills,,203,"Mills, Andre","MILLS, ANDRE",Eastern Mennonite University,EMU,0,108,44,8,0,8,0,.190,1051,170,370,15,5,101,0,35,55,328,0,0,8,3,163,79,2,71,8,448.5,2,3.43,0.14,1.51,0.73,0.32,4.15,,,,,,,7.988447048506402,1,99
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon College,"Wagenhauser, Ian",Ian,Wagenhauser,,565,"Wagenhauser, Ian","WAGENHAUSER, IAN",Randolph-Macon College,RMC,0,97,47,12,0,12,0,.226,721,162,325,21,0,63,0,51,84,375,0,0,459,23,128,35,5,31,4,395.5,0,3.35,0.22,1.32,0.36,0.53,4.08,,,,,,,7.6158698873621375,2,99
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Virginia Wesleyan,"Sheppard, Matthew",Matthew,Sheppard,,745,"Sheppard, Matthew","SHEPPARD, MATTHEW",Virginia Wesleyan,VWU,0,81,36,6,0,6,0,.137,510,116,186,19,3,67,0,16,48,256,0,0,3,0,143,81,6,75,6,245.5,0,2.30,0.23,1.77,1.00,0.20,3.03,,,,,,,6.390957364330522,3,99
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Virginia Wesleyan,"Wills, JaMarhe",JaMarhe,Wills,,745,"Wills, JaMarhe","WILLS, JAMARHE",Virginia Wesleyan,VWU,0,91,42,2,0,2,0,.207,690,136,279,23,1,97,0,20,50,340,0,0,294,19,168,42,5,35,7,323.5,1,3.07,0.25,1.85,0.46,0.22,3.55,,,,,,,6.186372347702043,4,98
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon College,"Clark, Brennan",Brennan,Clark,,565,"Clark, Brennan","CLARK, BRENNAN",Randolph-Macon College,RMC,0,3,0,1,0,1,0,.385,13,3,8,0,0,1,0,1,2,9,0,0,0,0,4,1,1,1,0,9.5,0,2.67,0.00,1.33,0.33,0.33,3.17,,,,,,,5.88316506373062,5,98
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Lynchburg,"Redding, Nick",Nick,Redding,,374,"Redding, Nick","REDDING, NICK",Lynchburg,Lyn,0,84,40,18,0,18,0,.192,639,150,273,15,3,48,0,17,72,259,0,0,1,1,112,39,8,33,6,312.5,0,3.25,0.18,1.33,0.46,0.20,3.72,,,,,,,5.712889986321568,6,98
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph College,"Beentjes, Mats",Mats,Beentjes,,566,"Beentjes, Mats","BEENTJES, MATS",Randolph College,Rand,0,99,48,17,0,17,0,.216,716,111,266,11,4,81,0,24,35,354,0,0,504,21,209,34,2,25,9,311.5,0,2.69,0.11,2.11,0.34,0.24,3.15,,,,,,,5.5164476469292545,7,97
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon College,"Rogan, Kody",Kody,Rogan,,565,"Rogan, Kody","ROGAN, KODY",Randolph-Macon College,RMC,0,101,48,2,0,2,0,.268,257,44,113,912,21,2212,0,49,105,422,0,0,7,3,208,61,2,48,13,199,1,1.12,9.03,2.06,0.60,0.49,1.97,,,,,,,5.455935712149731,8,97
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Lynchburg,"Jackson, Bryce",Bryce,Jackson,,374,"Jackson, Bryce","JACKSON, BRYCE",Lynchburg,Lyn,0,73,33,22,0,22,0,.293,229,41,108,10,3,45,0,27,56,230,0,0,39,1,50,71,6,59,12,176.5,0,1.48,0.14,0.68,0.97,0.37,2.42,,,,,,,5.338000119871296,9,97
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon College,"Luck, Davis",Davis,Luck,,565,"Luck, Davis","LUCK, DAVIS",Randolph-Macon College,RMC,0,21,8,4,0,4,0,.158,146,29,52,2,1,9,0,9,15,68,0,0,1,0,34,6,1,4,2,65,0,2.48,0.10,1.62,0.29,0.43,3.10,,,,,,,5.2480095892764025,10,96
