conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Washington and Lee,"Schleusner,Mary",0,F,50,27,27,231,462,7,35,147,112,581,59,53,61,774,151,307,458,50,0,78,0,0,0.5,0.2,0.76,21.52,16.96,2.26,1.96,2.19,2.888888888888889,3.881655197748018,5.8862061597554405,1.6077004801504589,1.7719324455719605,1.237301667161193,1.9095793138883905,5.4013894778453455,16.36329408984882,1,99
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Shenandoah,"Banks,Addisyn",0,F,12,27,26,177,430,41,120,144,98,493,19,63,99,899,38,174,212,51,0,93,1,0,0.41,0.34,0.68,18.26,7.85,3.67,2.33,0.7,3.4444444444444446,3.1400765549463228,2.149250386887934,3.2101095049299624,2.3810954414298395,0.6469369726755857,2.463881258266852,1.3076084173005407,11.364804127343762,2,95
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Virginia Wesleyan,"Long,Brianna",0,F,30,26,26,162,271,0,2,180,118,442,12,48,12,831,132,196,328,76,0,79,2,0,0.6,0.0,0.66,17.0,12.62,0.46,1.85,0.46,3.0384615384615383,2.8534541347223543,4.105922070376188,-0.43792806212124735,1.935937867533697,1.8932624388118673,1.7447868439380372,0.6482074411054043,10.30281970333685,3,93
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Shenandoah,"Williams,Emily",0,G,1,27,27,159,267,9,26,71,50,377,11,59,94,879,94,154,248,74,0,65,3,0,0.6,0.35,0.7,13.96,9.19,3.48,2.19,0.41,2.4074074074074074,2.161920676404209,2.698923354576458,2.994182047690171,1.2439911824951329,1.8932624388118673,2.2541453874209476,0.5108322377314175,10.207452722767187,4,92
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Guilford College,"Giannopoulou,Anna",0,F,4,26,26,155,353,18,58,111,82,410,61,53,54,734,52,185,237,61,0,97,0,0,0.44,0.31,0.74,15.77,9.12,2.08,2.04,2.35,3.730769230769231,2.5736560578370518,2.670209095070341,1.4031376259232884,2.695048677756592,0.8437252041707882,2.029428382943193,5.840990128642105,10.120549948317924,5,90
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Bridgewater College,"Corcoran,Riley",0,G,5,27,27,165,372,19,67,186,138,487,10,62,42,903,51,74,125,43,0,53,0,0,0.44,0.28,0.74,18.04,4.63,1.56,2.3,0.37,1.962962962962963,3.090031370462772,0.8283944496065545,0.8121782692670177,0.7566607858088301,0.8437252041707882,2.4189378573713007,0.4009320750322281,9.706988901879837,6,89
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Randolph-Macon College,"Matheny,McKenzie",0,F,33,28,28,161,331,1,3,105,68,391,23,29,65,798,105,176,281,59,0,55,2,0,0.49,0.33,0.65,13.96,10.04,2.32,1.04,0.82,1.9642857142857142,2.161920676404209,3.0475965057221637,1.6758880982261823,0.7581111738942059,1.1717055899961253,0.5313150197581621,1.637308905398109,9.269925677878168,7,88
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Guilford College,"Scott,Briahna",0,G,23,26,26,126,342,19,77,123,93,364,22,70,64,705,49,57,106,63,0,54,1,0,0.37,0.25,0.76,14.0,4.08,2.46,2.69,0.85,2.076923076923077,2.1710198008557633,0.6027824106299214,1.8349925404028709,0.8816172977796771,0.38455266401531607,3.003202069013463,1.719734027422501,8.094852898172265,8,88
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Lynchburg,"Petty,Audra",0,G,23,25,20,140,327,43,131,104,83,406,4,14,29,667,21,121,142,32,0,44,0,0,0.43,0.33,0.8,16.24,5.68,1.16,0.56,0.16,1.76,2.6805707701428174,1.2591083421983087,0.3575941487621939,0.5341132379887519,0.7781291270057208,-0.1877793945706528,-0.17604377913851624,7.756222141978427,9,87
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Bridgewater College,"Garcia,Jay",0,F,22,27,27,116,297,18,61,121,91,341,28,27,62,853,42,216,258,43,0,70,0,0,0.39,0.3,0.75,12.63,9.56,2.3,1.0,1.04,2.5925925925925926,1.859374788390021,2.850698726251648,1.6531588922009413,1.4470455144477588,0.515744818345451,0.47139048523076077,2.2417598002436505,7.750893135067519,10,86
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Randolph-Macon College,"Smith,Sam",0,G,1,28,28,106,314,42,128,112,70,324,10,60,123,958,24,116,140,62,0,73,0,0,0.34,0.33,0.63,11.57,5.0,4.39,2.14,0.36,2.607142857142857,1.618247990423825,0.9801698212817441,4.028360921838645,1.4629997833868937,0.18776443252011393,2.1792397192616964,0.3734570343574307,7.2209359106188415,11,85
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Bridgewater College,"Polston,Jaiden",0,G,11,27,27,117,210,0,0,86,47,281,28,49,58,805,76,121,197,62,1,57,1,0,0.56,0.0,0.55,10.41,7.3,2.15,1.81,1.04,2.111111111111111,1.3543733813287433,1.9236383479113008,1.4826898470116325,0.919104251370931,1.630878130151598,1.6848623094106359,2.2417598002436505,7.036212477674623,12,85
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Hollins University,"Russell,Jacorra",0,F,2,26,26,134,275,2,18,87,42,312,34,49,34,672,68,112,180,48,0,66,0,0,0.49,0.11,0.48,12.0,6.92,1.31,1.88,1.31,2.5384615384615383,1.7160635782780362,1.767760939163809,0.5280631939515029,1.3876911712616065,1.1717055899961253,1.789730244833588,2.983585898463179,6.969969672029307,13,84
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Averett University,"Giggetts,DaiShaundria",0,F,5,24,20,120,326,10,44,115,84,334,12,63,17,568,63,82,145,83,0,70,5,0,0.37,0.23,0.73,13.92,6.04,0.71,2.63,0.5,2.9166666666666665,2.1528215519526546,1.406781676801196,-0.15381298680573263,1.8023905953648542,0.38455266401531607,2.913315267222361,0.7581076038045936,6.594542480826756,14,83
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Hollins University,"Holden,Zaria",0,G,1,26,26,124,322,22,75,123,80,350,8,30,74,749,22,111,133,71,0,100,2,0,0.39,0.29,0.65,13.46,5.12,2.85,1.15,0.31,3.8461538461538463,2.0481816207597774,1.0293942661493733,2.278212057895074,2.821567146127074,0.515744818345451,0.6961074897085153,0.236081830983444,6.0755474735813735,15,83
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Washington and Lee,"Zimmerman,Sarah",0,F,5,21,14,71,151,3,9,81,57,202,31,28,43,488,40,67,107,31,0,31,1,0,0.47,0.33,0.7,9.62,5.1,2.05,1.33,1.48,1.4761904761904763,1.1746656734105407,1.0211901920047681,1.3690438168854264,0.22291797039049868,1.0405134356659904,0.9657678950818211,3.4506615899347337,6.060113704421962,16,82
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Roanoke College,"Fowler,Ashley",0,G,14,26,26,107,291,61,178,49,38,313,6,30,41,840,32,121,153,59,0,43,1,0,0.37,0.34,0.78,12.04,5.88,1.58,1.15,0.23,1.6538461538461537,1.7251627027295906,1.3411490836443571,0.834907475292259,0.4177162470879079,0.38455266401531607,0.6961074897085153,0.016281505585065227,5.942010182099543,17,82
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Lynchburg,"Littlejohn,Kate",0,G,4,20,18,88,197,18,57,90,63,257,23,22,35,578,14,62,76,36,0,64,0,0,0.45,0.32,0.7,12.85,3.8,1.75,1.1,1.15,3.2,1.9094199728735706,0.4879253726054536,1.028105726506809,2.1130637232523726,0.9093212813358558,0.621201821549264,2.5439852476664213,5.772200485087182,18,81
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Randolph-Macon College,"Porter,Erin",0,G,15,28,28,133,327,55,169,60,45,366,15,40,32,835,29,52,81,59,0,55,2,0,0.41,0.33,0.75,13.07,2.89,1.14,1.43,0.54,1.9642857142857142,1.9594651573571202,0.11463999902593343,0.3348649427369527,0.7581111738942059,0.6469369726755857,1.1155792314003241,0.8680077665037832,5.655886312970455,19,81
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbball,Lynchburg,"Spainhour,Bree",0,F,25,22,20,80,178,0,6,94,72,232,10,22,55,571,28,100,128,62,0,63,2,0,0.45,0.0,0.77,10.55,5.82,2.5,1.0,0.45,2.8636363636363638,1.3862203169091842,1.3165368612105428,1.8804509524533533,1.7442432184875116,0.9093212813358558,0.47139048523076077,0.620732400430607,5.243681646106192,20,80
