season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats
2026-27,wsoc,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Gabriel, Chrysi",Chrysi,Gabriel,,752,"Gabriel, Chrysi","GABRIEL,CHRYSI",Washington and Lee,WLU,1299-9366,1,0,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,37:00,0,.00,.00,2,0,0,0,0,1.000,0.00,1,0,37:42,0,1,.00,1.000,.000,1.00,
2026-27,wsoc,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"McEnroe, Kate",Kate,McEnroe,,752,"McEnroe, Kate","MCENROE,KATE",Washington and Lee,WLU,1299-9207,2,2,28,0,28,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,138:00,0,.00,.00,6,0,0,2,0,.750,0.66,3,1,137:04,2,2,.50,0.750,.000,1.50,
2026-27,wsoc,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Andrews, Calla",Calla,Andrews,,752,"Andrews, Calla","ANDREWS,CALLA",Washington and Lee,WLU,1299-8965,1,0,32,0,32,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,05:00,0,.00,.00,0,0,0,0,0,0.0,0.00,0,0,05:14,0,1,.00,0.000,.000,.00,
2026-27,wsoc,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Dunbar, Aubrey",Aubrey,Dunbar,,752,"Dunbar, Aubrey","DUNBAR,AUBREY",Washington and Lee,WLU,1299-9204,2,2,2,0,2,0,0,0,1,1,1,0,0,0,.50,.00,.50,.000,.500,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,52:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Carr, Margot",Margot,Carr,,752,"Carr, Margot","CARR,MARGOT",Washington and Lee,WLU,1299-8967,0,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Jorgensen, Gracie",Gracie,Jorgensen,,752,"Jorgensen, Gracie","JORGENSEN,GRACIE",Washington and Lee,WLU,1299-9076,1,0,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,18:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Burke, Emily",Emily,Burke,,752,"Burke, Emily","BURKE,EMILY",Washington and Lee,WLU,1299-8966,2,2,5,0,5,0,0,4,7,2,0,1,0,0,3.50,2.00,1.00,.500,.000,3,0,0,0,1,0,1,.500,0,0,0,0,.00,.00,.00,.00,0,,119:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Zimmerman, Megan",Megan,Zimmerman,,752,"Zimmerman, Megan","ZIMMERMAN,MEGAN",Washington and Lee,WLU,1299-9212,2,2,6,0,6,0,0,6,9,8,0,4,0,0,4.50,3.00,4.00,2.000,.000,2,0,0,0,1,0,1,.500,0,0,0,0,.00,.00,.00,.00,0,,134:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Espinosa, Julia",Julia,Espinosa,,752,"Espinosa, Julia","ESPINOSA,JULIA",Washington and Lee,WLU,1299-9365,1,0,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,11:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Zimmerman, Elizabeth",Elizabeth,Zimmerman,,752,"Zimmerman, Elizabeth","ZIMMERMAN,ELIZABETH",Washington and Lee,WLU,1299-9211,2,2,8,0,8,0,0,4,6,4,2,1,0,0,3.00,2.00,2.00,.500,1.000,3,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,121:00,0,.00,.00,,,,,,,,,,,,,,,,,
