conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
odac,Old Dominion Athletic Conference (ODAC),2025-26,wvball,Virginia Wesleyan,"Smith, Hannah",0,,6,121,37,0.267,1151.0,169.0,476.0,17.0,5.0,149.0,0.0,81.0,58.0,540.0,0.0,0.0,521.0,33.0,460.0,48.0,6.0,45.0,3.0,582.5,1.0,3.93,0.14,3.8,0.4,0.67,4.81,3.4784345256984674,3.384040364768931,-0.3532969842372525,0.8136316385128783,2.1256753300931908,2.452570074898995,3.658890727083193,3.281887779931991,6.783950173579887,1,99
odac,Old Dominion Athletic Conference (ODAC),2025-26,wvball,Washington and Lee,"Mitchener, Grace",0,,14,96,29,0.223,1235.0,106.0,382.0,29.0,2.0,228.0,0.0,34.0,13.0,363.0,0.0,0.0,472.0,25.0,390.0,31.0,5.0,25.0,6.0,434.5,2.0,3.98,0.3,4.06,0.32,0.35,4.53,3.2169235257995443,3.4381397719240243,-0.2574207592973183,0.49614871894864,0.7600729369335202,2.6868261671361613,2.030823721573856,0.1700131413417106,6.6136269053431995,2,95
odac,Old Dominion Athletic Conference (ODAC),2025-26,wvball,Randolph-Macon College,"Lach, Allison",0,,18,34,9,0.164,353.0,64.0,122.0,9.0,1.0,55.0,0.0,16.0,16.0,145.0,0.0,0.0,110.0,13.0,108.0,12.0,1.0,11.0,1.0,144.5,1.0,3.59,0.26,3.18,0.35,0.47,4.25,2.9554125259006208,3.016164396114296,-0.28138981553230186,0.6152048137852293,1.2721738343683964,1.8939593934103678,0.945445717900965,0.3774714505810627,6.262635653826941,3,94
odac,Old Dominion Athletic Conference (ODAC),2025-26,wvball,Bridgewater College,"Stoop, Reagan",0,,18,87,32,0.262,898.0,80.0,315.0,47.0,3.0,149.0,0.0,29.0,12.0,340.0,0.0,0.0,546.0,21.0,288.0,25.0,2.0,20.0,5.0,359.0,0.0,3.62,0.54,3.31,0.29,0.33,4.13,2.8433363830867964,3.0486240404073524,-0.11360642188741693,0.37709262411205047,0.674722787361041,2.011087439528951,1.358923052633495,0.10086037159525994,5.893408401476683,4,92
odac,Old Dominion Athletic Conference (ODAC),2025-26,wvball,Guilford College,"Moore, Natalie",0,,22,97,27,0.202,984.0,107.0,306.0,19.0,2.0,100.0,0.0,48.0,43.0,359.0,0.0,0.0,427.0,23.0,256.0,37.0,2.0,34.0,3.0,374.0,0.0,3.15,0.2,2.64,0.38,0.49,3.86,2.591165061755691,2.5400896131494743,-0.3173433998847771,0.7342609086218187,1.357523983940876,1.4074275095331756,2.0566660549946394,2.2445962337352308,5.059034803242507,5,91
odac,Old Dominion Athletic Conference (ODAC),2025-26,wvball,Lynchburg,"Hardie, Kate",0,,22,113,31,0.258,829.0,136.0,350.0,17.0,3.0,83.0,0.0,57.0,73.0,332.0,0.0,0.0,60.0,4.0,138.0,51.0,6.0,47.0,4.0,434.5,0.0,3.1,0.15,1.22,0.45,0.5,3.85,2.581825383187873,2.4859902059943813,-0.3473047201785066,1.0120584632405274,1.4001990587271156,0.128028851930189,2.80609372419735,4.319179326128751,4.467214106517587,6,91
odac,Old Dominion Athletic Conference (ODAC),2025-26,wvball,Shenandoah,"Hylton, Hannah",0,,20,92,24,0.135,908.0,180.0,303.0,30.0,1.0,153.0,0.0,34.0,25.0,367.0,0.0,0.0,479.0,24.0,309.0,11.0,1.0,7.0,4.0,344.5,2.0,3.29,0.33,3.36,0.12,0.37,3.74,2.4790889189418674,2.691567953183736,-0.2394439671210806,-0.29755857996195595,0.8454230865059996,2.0561366880360983,3.9431563947118073,0.9998463782991187,4.30348510107438,7,90
odac,Old Dominion Athletic Conference (ODAC),2025-26,wvball,Hollins University,"Maurer, Sophia",0,,18,87,27,0.254,433.0,43.0,153.0,56.0,2.0,184.0,0.0,62.0,32.0,316.0,0.0,0.0,331.0,34.0,129.0,56.0,0.0,40.0,16.0,251.0,0.0,1.76,0.64,1.48,0.64,0.71,2.89,1.6852162406772782,1.036126094237879,-0.05368378129995805,1.7660803972055934,2.296375629238149,0.3622849441673555,0.4027567160645195,1.4839157665242735,4.145125613762171,8,89
odac,Old Dominion Athletic Conference (ODAC),2025-26,wvball,Guilford College,"Duvall, Madison",0,,10,94,26,0.263,524.0,76.0,214.0,14.0,2.0,58.0,0.0,35.0,36.0,266.0,0.0,0.0,0.0,0.0,68.0,80.0,15.0,66.0,14.0,296.0,0.0,2.28,0.15,0.72,0.85,0.37,3.15,1.9280478834405637,1.5987599286508496,-0.3473047201785066,2.599473061061719,0.8454230865059996,-0.3224636331412851,1.2555537189503625,1.7605268455100762,4.128799422760998,9,88
odac,Old Dominion Athletic Conference (ODAC),2025-26,wvball,Washington and Lee,"Debiec, Riley",0,,21,111,20,0.27,915.0,93.0,340.0,14.0,1.0,81.0,0.0,17.0,13.0,138.0,0.0,0.0,38.0,7.0,91.0,52.0,3.0,41.0,11.0,388.5,1.0,3.06,0.13,0.82,0.47,0.15,3.5,2.2549366333142187,2.4427106802703067,-0.3592892482959984,1.0914291931315867,-0.09342855879127367,-0.2323651361269903,1.6948733871036756,0.1700131413417106,4.087807526015496,10,88
