season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Lynchburg,"Hardie, Kate",Kate,Hardie,,374,"Hardie, Kate","HARDIE, KATE",Lynchburg,Lyn,1293-2980,12,6,22,0,22,0,.286,105,16,46,3,0,14,0,5,12,34,0,0,1,0,35,10,4,9,1,56.5,1,3.83,0.25,2.92,0.83,0.42,4.71,,,,,,,11.261915267950513,1,99
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Batten,"Smith, Hannah",Hannah,Smith,,745,"Smith, Hannah","SMITH, HANNAH",Batten,VWU,1298-5630,9,3,6,0,6,0,.365,85,9,40,3,0,11,0,7,2,33,0,0,38,2,32,1,0,1,0,47.5,0,4.44,0.33,3.56,0.11,0.78,5.28,,,,,,,10.781923273165576,2,99
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Mitchener, Grace",Grace,Mitchener,,752,"Mitchener, Grace","MITCHENER, GRACE",Washington and Lee,WLU,1299-9000,12,6,14,0,14,0,.290,131,6,44,6,2,34,0,2,2,40,0,0,86,6,57,5,0,1,4,50.5,0,3.67,0.50,4.75,0.42,0.17,4.21,,,,,,,9.778890375327677,3,99
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Bridgewater,"Stoop, Reagan",Reagan,Stoop,,75,"Stoop, Reagan","STOOP, REAGAN",Bridgewater,BC,1287-3488,16,9,18,0,18,0,.270,141,17,55,5,0,24,0,15,2,79,0,0,101,4,43,3,0,3,0,71.5,0,3.44,0.31,2.69,0.19,0.94,4.47,,,,,,,8.955413540069998,4,98
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Randolph,Destanie Ambers,Destanie,Ambers,,566,Destanie Ambers,"AMBERS,DESTANIE",Randolph,RANDOLPH,1295-3721,17,16,24,0,24,0,.269,156,12,54,1,0,13,0,12,3,65,0,0,72,6,70,2,1,1,1,67.5,0,3.18,0.06,4.12,0.12,0.71,3.97,,,,,,,8.591202988733944,5,98
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Averett,"Villines, Tahani",Tahani,Villines,,44,"Villines, Tahani","VILLINES, TAHANI",Averett,AUW,1169-4385,12,7,10,0,10,0,.282,85,9,33,6,0,22,0,12,6,55,0,0,84,4,34,2,0,2,0,46,0,2.75,0.50,2.83,0.17,1.00,3.83,,,,,,,8.033254355472808,6,98
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Bridgewater,"Frizzelle, Maecy Ann",Maecy Ann,Frizzelle,,75,"Frizzelle, Maecy Ann","FRIZZELLE, MAECY ANN",Bridgewater,BC,1287-4186,12,7,13,0,13,0,.345,58,8,28,3,1,12,0,10,4,44,0,0,43,2,36,4,0,3,1,40.5,0,2.33,0.25,3.00,0.33,0.83,3.38,,,,,,,7.937377515930628,7,97
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Randolph,Makayla Waiters,Makayla,Waiters,,566,Makayla Waiters,"WAITERS,MAKAYLA",Randolph,RANDOLPH,1295-3730,17,16,8,0,8,0,.391,69,9,36,2,3,11,0,9,12,41,0,0,0,0,10,16,3,8,8,57,1,2.12,0.12,0.59,0.94,0.53,3.35,,,,,,,7.936107843920463,8,97
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon,"Lach, Allison",Allison,Lach,,565,"Lach, Allison","LACH, ALLISON",Randolph-Macon,RMC,1294-5772,11,3,18,0,18,0,.170,88,16,31,1,2,5,0,10,7,60,0,0,73,9,20,3,0,2,1,43,0,2.82,0.09,1.82,0.27,0.91,3.91,,,,,,,7.209190344619029,9,97
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon,"Leonard, Olivia",Olivia,Leonard,,565,"Leonard, Olivia","LEONARD, OLIVIA",Randolph-Macon,RMC,1294-6367,11,3,6,0,6,0,.313,83,9,35,1,1,6,0,0,3,19,0,0,1,0,15,6,0,6,0,38,0,3.18,0.09,1.36,0.55,0.00,3.45,,,,,,,6.7182531431313155,10,96
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Shenandoah,"Hylton, Hannah",Hannah,Hylton,,637,"Hylton, Hannah","HYLTON, HANNAH",Shenandoah,SU,1184-3570,11,3,20,0,20,0,.170,94,17,33,6,1,22,0,6,3,52,0,0,42,0,29,1,0,1,0,39.5,0,3.00,0.55,2.64,0.09,0.55,3.59,,,,,,,6.278369990180933,11,96
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Shenandoah,"Spence, Ashlynn",Ashlynn,Spence,,637,"Spence, Ashlynn","SPENCE, ASHLYNN",Shenandoah,SU,1184-3567,11,3,4,0,4,0,.236,55,9,22,2,1,10,0,2,4,37,0,0,8,1,4,10,0,10,0,29,1,2.00,0.18,0.36,0.91,0.18,2.64,,,,,,,5.886063060534526,12,96
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Randolph,Alyssa Thompson,Alyssa,Thompson,,566,Alyssa Thompson,"THOMPSON,ALYSSA",Randolph,RANDOLPH,1295-3728,16,16,5,0,5,0,.219,128,22,50,1,0,4,0,0,0,0,0,0,25,0,17,8,1,1,7,57.5,0,3.13,0.06,1.06,0.50,0.00,3.59,,,,,,,5.847553050979381,13,95
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Washington and Lee,"Mulvaney, Emma",Emma,Mulvaney,,752,"Mulvaney, Emma","MULVANEY, EMMA",Washington and Lee,WLU,1299-9511,12,6,12,0,12,0,.241,87,12,33,3,1,23,0,0,5,39,0,0,61,2,33,4,0,2,2,36,0,2.75,0.25,2.75,0.33,0.00,3.00,,,,,,,5.748396376853838,14,95
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon,"Goode, Mia",Mia,Goode,,565,"Goode, Mia","GOODE, MIA",Randolph-Macon,RMC,1294-6080,11,3,1,0,1,0,.188,64,15,27,2,1,13,0,2,6,38,0,0,59,2,37,3,0,3,0,30.5,1,2.45,0.18,3.36,0.27,0.18,2.77,,,,,,,5.728269987358537,15,95
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Lynchburg,"DiNardo, Leah",Leah,DiNardo,,374,"DiNardo, Leah","DINARDO, LEAH",Lynchburg,Lyn,1293-2755,12,6,19,0,19,0,.500,38,4,23,1,0,2,0,0,0,0,0,0,0,0,2,10,0,8,2,29,0,1.92,0.08,0.17,0.83,0.00,2.42,,,,,,,5.722184112645472,16,94
2026-27,wvball,Old Dominion Athletic Conference (ODAC),odac,Roanoke,"Morrison, Kaci",Kaci,Morrison,,578,"Morrison, Kaci","MORRISON, KACI",Roanoke,RC,1296-3660,13,3,18,0,18,0,.269,104,12,40,4,0,8,0,0,0,0,0,0,2,0,11,6,0,6,0,43,0,3.08,0.31,0.85,0.46,0.00,3.31,,,,,,,5.616469573804142,17,94
