season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip,pitching_stats_strike_percentage
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Grove City,"Marinpetro, Colin",Colin,Marinpetro,,265,"Marinpetro, Colin",0,0GROV,17,17,,,71,24,35,22,8,0,3,13,4,4,5,1,0,1,0,0,0,0,0,0,0,1,0,0.591,52,88,1,.000,.493,.732,112,10,1,0,0,0,0,8,0,123,.992,0,.000,,2,4,16,11,"10,23",0.43,10,23,"22,47",0.47,22,47,"11,20",0.55,11,20,"9,11",0.82,9,11,"1,4",0.25,1,4,"5,11","1,5","34,53",13,0,0,0,"0,0",0,0,0,7,18,0,,Grove City,GROV,1314-4665,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.968539504133009,1,99,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Bethany,Gian Degenova,Gian,Degenova,,59,Gian Degenova,0,0BETHANY,18,18,,,52,13,18,22,6,0,3,13,0,7,7,1,3,0,0,4,0,0,0,0,0,0,0,0.500,33,76,3,1.000,.346,.635,69,15,3,0,0,0,0,6,0,87,.966,0,.000,,1,2,14,14,"11,20",0.55,11,20,"14,27",0.52,14,27,"12,21",0.57,12,21,"2,6",0.33,2,6,0,0,0,0,"4,17","7,9","29,37",22,0,0,0,0,0,0,0,9,5,0,,Bethany,BETHANY,1313-2160,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.289674738341898,2,99,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Westminster,Ian Temple,Ian,Temple,,1451,Ian Temple,0,0WESTMINS,16,15,,,58,14,19,21,6,1,3,5,0,5,9,0,1,0,0,2,0,0,0,1,0,1,0,0.414,36,70,1,1.000,.328,.621,56,5,0,1,0,5,2,0,0,61,1.000,7,.714,,1,2,13,18,"7,18",0.39,7,18,"13,36",0.36,13,36,"10,26",0.38,10,26,"0,7",0,0,7,0,0,0,0,"6,10","6,11","24,42",69,0,0,0,"1,1",1.00,1,1,5,12,0,,Westminster,WESTMINS,1320-5366,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.306378374820575,3,99,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Grove City,"Remish, Nick",Nick,Remish,,265,"Remish, Nick",0,0GROV,14,14,,,58,15,19,20,4,0,3,10,0,3,8,4,1,0,0,2,0,0,0,1,1,1,0,0.438,32,73,1,1.000,.328,.552,15,18,4,0,0,0,0,2,0,37,.892,0,.000,,4,1,15,12,"6,19",0.32,6,19,"14,34",0.41,14,34,"14,27",0.52,14,27,"3,8",0.38,3,8,"0,2",0,0,2,"5,12","5,8","25,41",2,0,0,0,"0,0",0,0,0,7,21,0,,Grove City,GROV,1314-4884,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82462126559371,4,98,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Allegheny,Ryan Cochran,Ryan,Cochran,,19,Ryan Cochran,0,0AC,17,17,,,56,18,21,13,8,0,2,8,1,7,12,1,5,0,2,0,0,0,0,0,0,0,0,0.507,35,73,5,1.000,.375,.625,19,1,0,0,0,0,0,1,0,20,1.000,0,.000,,4,2,9,12,"4,18",0.22,4,18,"9,28",0.32,9,28,"8,18",0.44,8,18,"1,1",1.00,1,1,0,0,0,0,"10,16","4,6","19,33",12,0,0,0,3,0,0,0,5,9,0,,Allegheny,AC,1213-3728,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7706800874046635,5,98,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Thiel,C. Cackowski,C.,Cackowski,,707,C. Cackowski,0,0THIEL,16,16,,,50,11,15,17,4,0,3,6,0,11,16,0,0,0,0,1,0,0,0,1,0,1,0,0.471,28,68,0,.000,.300,.560,63,9,0,3,0,32,5,0,0,72,1.000,37,.865,,0,3,10,10,"6,19",0.32,6,19,"8,28",0.29,8,28,"8,22",0.36,8,22,"3,6",0.50,3,6,0,0,0,0,"7,11","5,12","18,35",22,0,0,0,0,0,0,0,4,11,0,,Thiel,THIEL,1316-5284,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2997876802154105,6,98,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Franciscan,Matteo Lindia,Matteo,Lindia,,30069,Matteo Lindia,0,0FRN,12,12,,,37,8,18,8,3,1,0,3,0,3,9,1,1,0,1,2,0,0,0,0,1,2,0,0.533,23,46,1,1.000,.486,.622,47,2,2,0,0,0,0,3,0,51,.961,0,.000,,0,0,5,9,"4,10",0.40,4,10,"9,21",0.43,9,21,"4,12",0.33,4,12,"0,4",0,0,4,0,0,0,0,"4,8","3,6","14,26",23,0,0,0,0,0,0,0,5,7,0,,Franciscan,FRN,2047-3110,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.805643335849422,7,97,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Hiram,Tyler Fernandez,Tyler,Fernandez,,281,Tyler Fernandez,0,0HIRAM,15,15,,,57,10,21,10,1,1,3,8,0,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0.455,33,66,1,1.000,.368,.579,35,1,0,0,0,0,0,2,0,36,1.000,0,.000,,1,0,8,20,"4,15",0.27,4,15,"11,24",0.46,11,24,"4,13",0.31,4,13,"5,12",0.42,5,12,0,0,0,0,"5,15","2,4","16,28",2,0,0,0,0,0,0,0,1,5,0,,Hiram,HIRAM,1217-2180,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.769276398757542,8,97,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Grove City,"Luko, Dan",Dan,Luko,,265,"Luko, Dan",0,0GROV,9,9,,,37,12,16,10,2,0,1,3,0,2,10,4,2,1,0,0,0,0,0,0,0,0,0,0.500,21,42,3,.667,.432,.568,8,0,2,0,0,0,0,0,0,10,.800,0,.000,,1,2,5,5,"4,10",0.40,4,10,"10,23",0.43,10,23,"6,14",0.43,6,14,"5,7",0.71,5,7,"2,3",0.67,2,3,"5,8","2,3","14,25","0,0",0,0,0,"0,0",0,0,0,4,5,0,,Grove City,GROV,1314-4662,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.378048347937966,9,97,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Grove City,"Backos, Caleb",Caleb,Backos,,265,"Backos, Caleb",0,0GROV,15,14,,,60,13,25,13,5,2,0,10,0,2,8,2,2,0,0,1,0,0,0,0,0,0,0,0.507,34,73,2,1.000,.417,.567,25,2,2,0,0,0,0,0,0,29,.931,0,.000,,2,3,12,12,"9,22",0.41,9,22,"14,37",0.38,14,37,"10,22",0.45,10,22,"2,6",0.33,2,6,0,0,0,0,"10,15","2,3","20,40",13,0,0,0,22,0,0,0,2,19,0,,Grove City,GROV,1314-4449,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.889779479916438,10,96,batting,,,
