season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Allegheny,Liam Kruck,Liam,Kruck,,19,Liam Kruck,"KRUCK,LIAM",KRUCKLIAMALL,17,16,,,Allegheny,ALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,48,0,25,24,961:00,8,0,1.000,,2,5,0,0,0,0,.400,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Allegheny,Mikko Horsley,Mikko,Horsley,,19,Mikko Horsley,"HORSLEY,MIKKO",HORSLEYMIKKOALL,11,0,,,Allegheny,ALL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,10,0,7,0,00:00,0,39,1.000,,6,8,0,1,0,1,.750,0.09,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Allegheny,Jamier Hopkins,Jamier,Hopkins,,19,Jamier Hopkins,"HOPKINS,JAMIER",HOPKINSJAMIERALL,17,0,,,Allegheny,ALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,11,4,00:00,0,0,1.000,,4,6,0,3,1,2,.667,0.18,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Allegheny,Alex Crespo,Alex,Crespo,,19,Alex Crespo,"CRESPO,ALEX",CRESPOALEXALL,9,9,,,Allegheny,ALL,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,14,3,540:00,0,0,1.000,,41,97,0,22,6,16,.423,2.44,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Allegheny,Akari Brown,Akari,Brown,,19,Akari Brown,"BROWN,AKARI",BROWNAKARIALL,15,1,,,Allegheny,ALL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,23,0,11,6,60:00,0,0,1.000,,2,4,0,1,0,1,.500,0.07,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Allegheny,Jack Brandstatter,Jack,Brandstatter,,19,Jack Brandstatter,"BRANDSTATTER,JACK",BRANDSTATTERJACKALL,17,0,,,Allegheny,ALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,9,22,0,3,3,00:00,0,12,1.000,,8,10,0,2,0,2,.800,0.12,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Allegheny,JP Rakis,JP,Rakis,,19,JP Rakis,"RAKIS,JP",RAKISJPALL,16,15,,,Allegheny,ALL,0,0,0,0,0,0,1,20,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,61,0,39,11,900:00,0,0,1.000,,61,91,0,94,60,34,.670,5.88,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Allegheny,Christian Habusta,Christian,Habusta,,19,Christian Habusta,"HABUSTA,CHRISTIAN",HABUSTACHRISTIANALL,2,0,,,Allegheny,ALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Allegheny,Tomi Horsley,Tomi,Horsley,,19,Tomi Horsley,"HORSLEY,TOMI",HORSLEYTOMIALL,17,16,,,Allegheny,ALL,0,0,0,0,0,0,1,7,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,33,0,33,8,961:00,8,0,1.000,,58,92,0,31,6,25,.630,1.82,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Allegheny,Jason Eason,Jason,Eason,,19,Jason Eason,"EASON,JASON",EASONJASONALL,16,0,,,Allegheny,ALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,6,2,00:00,0,0,1.000,,0,4,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
