conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"McInnis, Connor",0,,12,84,0,-.031,32,9,8,7,2,24,0,9,14,258,0,0,63,5,62,0,0,0,0,17,0,0.10,0.08,0.74,0.00,0.11,0.20
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Gonzalez, David",0,,5,111,0,.087,23,0,2,39,2,135,0,0,0,0,0,0,710,21,171,0,0,0,0,2,0,0.02,0.35,1.54,0.00,0.00,0.02
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Govannucci, JC",0,,6,48,15,.156,199,34,65,6,0,25,0,0,3,34,0,0,0,0,33,13,1,11,2,72.5,0,1.35,0.13,0.69,0.27,0.00,1.51
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Cooper, Ethan",0,,4,18,1,-.500,2,1,0,37,1,75,0,2,9,40,0,0,0,0,8,3,0,3,0,3.5,0,0.00,2.06,0.44,0.17,0.11,0.19
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Dies, Jake",0,,13,66,30,.227,309,59,129,12,1,54,0,17,36,227,0,0,16,1,70,42,1,33,9,171.5,0,1.95,0.18,1.06,0.64,0.26,2.60
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Cromwell-Young, James",0,,7,14,3,.286,35,4,14,0,0,3,0,0,8,28,0,0,0,0,6,4,2,3,1,16.5,0,1.00,0.00,0.43,0.29,0.00,1.18
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Gala, Brandon",0,,9,6,0,.000,0,0,0,1,0,2,0,0,1,2,0,0,3,0,4,0,0,0,0,0,0,0.00,0.17,0.67,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Hovan, Josh",0,,1,92,0,.000,10,1,1,15,2,74,0,0,0,16,0,0,0,0,149,0,0,0,0,1,0,0.01,0.16,1.62,0.00,0.00,0.01
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Hussey, Tyler",0,,18,42,11,.176,165,36,65,1,0,11,0,2,14,47,0,0,41,3,25,7,2,7,0,70.5,0,1.55,0.02,0.60,0.17,0.05,1.68
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Proudfoot, Kaleb",0,,51,107,48,.413,484,42,242,3,0,28,0,2,7,35,0,0,3,0,35,89,15,58,31,304,0,2.26,0.03,0.33,0.83,0.02,2.84
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Pugh, Josh",0,,15,99,2,-.111,9,1,0,9,1,44,0,6,17,224,0,0,53,4,116,0,0,0,0,6,0,0.00,0.09,1.17,0.00,0.06,0.06
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Zimmerman, Will",0,,20,103,49,.185,622,122,237,20,2,86,0,23,47,391,0,0,431,9,178,24,1,19,5,274.5,0,2.30,0.19,1.73,0.23,0.22,2.67
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Dugan, Rex",0,,8,3,0,.750,4,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1.00,0.00,0.33,0.00,0.00,1.00
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Lowell, Ben",0,,21,81,36,.236,123,13,42,762,11,1656,0,25,64,304,0,0,6,1,142,45,8,38,7,93,0,0.52,9.41,1.75,0.56,0.31,1.15
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Olszowka, Eli",0,,23,47,13,.152,33,5,10,361,13,877,0,5,8,169,0,0,2,0,76,10,0,8,2,21,1,0.21,7.68,1.62,0.21,0.11,0.45
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Lizanich, Bryce",0,,35,86,43,.279,297,63,146,11,0,54,0,12,53,302,0,0,13,2,71,83,12,58,25,212,0,1.70,0.13,0.83,0.97,0.14,2.47
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Oesterling, Ezra",0,,2,108,49,.280,994,147,425,18,7,111,0,46,105,471,0,0,549,25,202,35,3,19,16,496.5,0,3.94,0.17,1.87,0.32,0.43,4.60
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Leffingwell, Noah",0,,14,5,0,.500,6,0,3,0,1,1,0,0,2,5,0,0,0,0,2,1,0,1,0,3.5,0,0.60,0.00,0.40,0.20,0.00,0.70
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Draa, Sam",0,,19,11,0,.200,10,2,4,0,0,0,0,1,3,12,0,0,1,0,0,0,0,0,0,5,0,0.36,0.00,0.00,0.00,0.09,0.45
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Thiel,"Austin, Cameron",0,,34,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Hiram,Logan Cabrera-Rosales,0,,2,4,0,.000,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,mvball,Hiram,Jackson Deubner,0,,3,95,38,.155,656,129,231,9,3,62,0,3,36,150,0,0,294,12,113,48,10,36,12,264,0,2.43,0.09,1.19,0.51,0.03,2.78
