conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Chatham,"Nereu,Madison",0,F,24,25,25,187,366,1,12,117,84,459,8,55,85,818,77,159,236,56,1,70,2,0,0.51,0.08,0.72,18.36,9.44,3.4,2.2,0.32,2.8,3.218033090228781,2.832450721083639,2.3266241742227094,1.6217424699954626,1.1716361134483333,2.334147400163304,0.3152952552671582,11.93232071346496,1,99
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Garvin,Emily",0,G,15,26,26,181,397,5,46,136,97,464,2,74,134,718,121,87,208,81,0,88,4,0,0.46,0.11,0.71,17.85,8.0,5.15,2.85,0.08,3.3846153846153846,3.10244525980418,2.2521432151632896,3.951995775651969,2.2223099701754228,0.8888099029060317,3.306485213859334,-0.3955135931700072,11.87322126142196,2,95
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Allegheny,"Antonacci,Isabella",0,G,23,26,26,160,376,47,134,94,78,445,1,26,143,912,25,113,138,37,0,71,0,0,0.43,0.35,0.83,17.12,5.31,5.5,1.0,0.04,2.730769230769231,2.936996012333672,1.168096554798192,4.2770700959378205,1.550622634447836,0.7191141765806505,0.5390622056475546,-0.5139817345762014,10.215759522709826,3,93
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Chatham,"Laukus,Alyssa",0,F,15,26,26,130,229,1,2,101,71,332,42,54,81,764,55,92,147,60,0,54,0,0,0.57,0.5,0.7,12.77,5.65,3.12,2.08,1.62,2.076923076923077,1.9510998116532492,1.3051136048071639,2.0665647179940283,0.878935298720249,1.511027566099095,2.1546388807117287,4.165509850968471,9.054921558103175,4,92
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Kovalchick,Katie",0,C,14,28,28,165,314,22,49,93,75,427,31,32,51,779,58,96,154,60,0,46,2,0,0.53,0.45,0.81,15.25,5.5,1.82,1.14,1.11,1.6428571428571428,2.513173967443467,1.244664906273794,0.8591458140751504,0.43302521869941374,1.284766597665254,0.7484888116743917,2.6550410480394944,8.977987355154303,5,91
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Waynesburg,"Friday,Kalista",0,G,35,25,25,126,278,42,106,79,67,361,2,64,102,663,38,138,176,69,0,83,1,0,0.45,0.4,0.85,14.44,7.04,4.08,2.56,0.08,3.32,2.32959329559263,1.865271544549723,2.9581971393495072,2.1559314569976373,0.8322446607975712,2.872672958518028,-0.3955135931700072,8.933712197165095,6,90
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Allegheny,"Santicola,Sarah",0,F,15,26,26,130,314,0,6,63,41,301,62,29,65,834,57,225,282,80,2,62,3,0,0.41,0.0,0.65,11.58,10.85,2.5,1.12,2.38,2.3846153846153846,1.6813948739958464,3.4006684872973145,1.490718779201948,1.1950234567097016,0.6059836923637296,0.7185707250991297,6.416404537686161,8.919965053981183,7,89
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"DeRubbo,Riley",0,G,5,28,28,137,354,58,167,115,98,430,12,43,76,891,27,154,181,61,0,65,2,0,0.39,0.35,0.85,15.36,6.46,2.71,1.54,0.43,2.3214285714285716,2.5381046759664203,1.63153657688736,1.685763371373459,1.1301124956940105,0.49285320814680916,1.3468505431796416,0.6410826441341924,8.6988227743647,8,89
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Franciscan,"Melnyk,Jazzlyn",0,G,24,25,25,118,334,33,113,90,40,309,12,53,64,899,79,207,286,43,0,62,0,0,0.35,0.29,0.44,12.36,11.44,2.56,2.12,0.48,2.48,1.85817626170406,3.6384333681952357,1.5464458055366654,1.293010785686432,0.2665922397129676,2.214475053862254,0.789167820891935,8.45005936783821,9,88
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Joiner,Maya",0,F,0,25,25,100,194,0,0,67,39,239,41,53,54,879,73,196,269,49,0,39,0,0,0.52,0.0,0.58,9.56,10.76,2.16,2.12,1.64,1.56,1.2235764083925238,3.364399268177293,1.1749322966385494,0.3479071932979684,1.2282013555567937,2.214475053862254,4.224743921671568,8.35558849775784,10,87
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Grove City,"Sherrerd,Meredith",0,F,24,24,24,136,263,4,13,83,61,337,14,18,43,602,46,116,162,40,0,42,1,0,0.52,0.31,0.73,14.04,6.75,1.79,0.75,0.58,1.75,2.238936173690982,1.7484040607185418,0.8312823009077916,0.5430916308564554,1.2282013555567937,0.16508612345677356,1.0853381744074206,7.937353043351359,11,86
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Caceres,Isabella",0,G,33,24,24,112,316,52,153,81,54,330,15,46,121,924,4,82,86,47,0,83,0,0,0.35,0.34,0.67,13.75,3.58,5.04,1.92,0.63,3.4583333333333335,2.1732097603122873,0.47092156504666133,3.8498295607049857,2.2980394246937292,0.2665922397129676,1.9152941881096288,1.2334233511651636,7.8057485014062795,12,86
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Loutsion,Stellanie",0,G,3,27,27,138,336,32,105,85,73,381,23,55,61,823,18,130,148,51,0,78,0,0,0.41,0.3,0.86,14.11,5.48,2.26,2.04,0.85,2.888888888888889,2.2548011700237702,1.2366050798026782,1.267810673863078,1.713056826747971,0.6059836923637296,2.094802707561204,1.884998128899232,7.742901115243458,13,85
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Hiram,"Seaman,Sarah",0,G,4,25,25,146,388,56,171,77,55,403,5,21,56,877,19,62,81,30,0,65,0,0,0.38,0.33,0.71,16.12,3.24,2.24,0.84,0.2,2.6,2.7103532075795522,0.33390451503769,1.2492349984181725,1.4162851673023185,0.43628796603834874,0.2997175130454547,-0.040109168951424516,7.222403898492003,14,85
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Allegheny,"Bickart,Jess",0,G,14,25,25,122,308,48,152,11,7,299,2,52,96,880,27,129,156,45,0,68,0,0,0.4,0.32,0.64,11.96,6.24,3.84,2.08,0.08,2.72,1.7675191398024122,1.5428784857050848,2.7352890340106373,1.5395595489182052,0.5494184502552696,2.1546388807117287,-0.3955135931700072,7.146204915639286,15,84
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Thiel,"Green,Issy",0,G,1,24,24,101,287,27,95,110,68,297,21,61,129,827,10,103,113,29,0,125,1,0,0.35,0.28,0.62,12.38,4.71,5.38,2.54,0.88,5.208333333333333,1.8627091177991426,0.9263017606647133,4.165616043268384,4.095790823258741,0.2665922397129676,2.8427548719427658,1.9738492349538777,6.968801792743863,16,84
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Garrison,Lindsey",0,G,2,27,26,141,310,58,157,85,71,411,1,35,66,866,16,29,45,42,0,63,0,0,0.45,0.37,0.84,15.22,1.67,2.44,1.3,0.04,2.3333333333333335,2.506374683300844,-0.2987918629449134,1.4349917528672305,1.1423420970447928,0.8322446607975712,0.9878335042764919,-0.5139817345762014,6.865740820935641,17,83
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Potter,Kaedlee",0,F,23,26,24,112,225,10,30,82,60,294,22,28,68,683,45,121,166,65,0,57,1,0,0.5,0.33,0.73,11.31,6.38,2.62,1.08,0.85,2.1923076923076925,1.620201316712234,1.5992972710028963,1.602172831871383,0.9974683579662939,1.115070871339873,0.6587345519486046,1.884998128899232,6.792176126902421,18,83
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Thiel,"Betsinger,Emily",0,C,42,25,23,129,247,5,25,51,38,301,17,34,12,691,86,90,176,36,0,38,0,0,0.52,0.2,0.75,12.04,7.04,0.48,1.36,0.68,1.52,1.7856505641827414,1.865271544549723,-0.3854244407335391,0.3068157327593395,1.2282013555567937,1.0775877640022793,1.3815085279229065,6.691105914705854,19,82
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Grove City,"Hasley,Reese",0,G,1,26,26,110,304,26,99,71,54,300,3,53,88,727,34,109,143,47,0,67,1,0,0.36,0.26,0.76,11.54,5.5,3.38,2.04,0.12,2.576923076923077,1.6723291618056815,1.244664906273794,2.308048498777804,1.3925785554531096,0.32315748182142795,2.094802707561204,-0.27704545176381307,6.426868630516857,20,82
