conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"McCullough,Destanie",0,G,00,25,14,61,134,7,22,43,28,157,3,30,51,483,12,47,59,47,0,54,1,0,0.46,0.32,0.65,6.28,2.36,2.04,1.20,0.12
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Price,Zaire",0,F,02,14,3,2,14,1,7,6,2,7,1,12,4,59,9,7,16,8,0,9,0,0,0.14,0.14,0.33,0.50,1.14,0.29,0.86,0.07
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"White,Arionna",0,G,03,26,14,90,258,32,120,57,37,249,1,40,25,469,22,29,51,53,1,45,1,0,0.35,0.27,0.65,9.58,1.96,0.96,1.54,0.04
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Shoaff,Abby",0,G,04,26,2,16,87,16,80,2,1,49,0,20,14,288,8,23,31,20,0,15,0,0,0.18,0.20,0.50,1.88,1.19,0.54,0.77,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Popa,Lisa",0,G,05,5,0,0,8,0,8,2,1,1,0,3,1,15,1,2,3,0,0,0,0,0,0.00,0.00,0.50,0.20,0.60,0.20,0.60,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Greenmun,Aubrey",0,F,07,15,0,5,13,1,7,4,3,14,0,1,3,68,6,9,15,1,0,7,0,0,0.38,0.14,0.75,0.93,1.00,0.20,0.07,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Garcia,Kassandra",0,G,10,26,1,54,192,42,154,5,5,155,1,16,28,451,11,33,44,43,0,33,0,0,0.28,0.27,1.00,5.96,1.69,1.08,0.62,0.04
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Bonanno,Kira",0,F,11,26,0,25,64,0,0,13,8,58,1,15,7,381,40,76,116,31,0,22,0,0,0.39,0.00,0.62,2.23,4.46,0.27,0.58,0.04
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Lammie,Monica",0,G,12,16,0,7,24,2,7,4,0,16,0,8,7,81,5,2,7,14,0,17,0,0,0.29,0.29,0.00,1.00,0.44,0.44,0.50,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Sellers,Ava",0,G,13,21,0,11,42,11,37,5,4,37,0,4,2,119,5,3,8,8,0,10,0,0,0.26,0.30,0.80,1.76,0.38,0.10,0.19,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Garvin,Emily",0,G,15,26,26,181,397,5,46,136,97,464,2,74,134,718,121,87,208,81,0,88,4,0,0.46,0.11,0.71,17.85,8.00,5.15,2.85,0.08
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Mallah,Libby",0,G,23,10,0,4,17,3,15,2,2,13,0,1,2,42,2,1,3,2,0,5,0,0,0.24,0.20,1.00,1.30,0.30,0.20,0.10,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Kerr,Regan",0,F,24,26,16,40,133,19,78,22,8,107,10,36,38,521,40,81,121,62,0,34,0,0,0.30,0.24,0.36,4.12,4.65,1.46,1.38,0.38
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Ulmer,Anna",0,F,25,26,24,81,222,18,65,38,30,210,23,25,22,506,60,110,170,87,0,66,5,0,0.36,0.28,0.79,8.08,6.54,0.85,0.96,0.88
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Tipton,Katie",0,G,31,4,0,1,6,0,4,0,0,2,0,0,0,12,1,3,4,1,0,0,0,0,0.17,0.00,0.00,0.50,1.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Marshall,Averi",0,G,32,20,0,16,48,9,32,12,4,45,1,6,8,135,11,13,24,11,0,12,0,0,0.33,0.28,0.33,2.25,1.20,0.40,0.30,0.05
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Headley,Alyssa",0,F,33,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Thompson,Aizlyn",0,G,43,26,25,77,232,56,188,24,20,230,1,34,21,672,24,57,81,61,0,31,1,0,0.33,0.30,0.83,8.85,3.12,0.81,1.31,0.04
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Campbell,Libby",0,C,44,14,0,3,17,0,5,4,2,8,5,6,0,58,3,10,13,20,0,7,1,0,0.18,0.00,0.50,0.57,0.93,0.00,0.43,0.36
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Dantley,Kailynn",0,F,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Strnisa,Bailey",0,G,01,6,0,2,2,0,0,3,0,4,1,1,4,38,4,0,4,2,0,1,0,0,1.00,0.00,0.00,0.67,0.67,0.67,0.17,0.17
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Flock,Jayme",0,F,14,2,0,0,2,0,2,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Geneva,"Cozzens,Alexandra",0,F,99,6,5,30,78,3,16,19,9,72,6,16,11,104,17,27,44,13,0,11,0,0,0.38,0.19,0.47,12.00,7.33,1.83,2.67,1.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Capozzoli,Ava",0,G,00,10,0,4,8,3,5,0,0,11,1,0,2,43,3,4,7,5,0,6,0,0,0.50,0.60,0.00,1.10,0.70,0.20,0.00,0.10
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Paylo,Brooke",0,G,01,21,0,8,22,1,6,9,8,25,4,6,13,153,4,14,18,10,0,19,0,0,0.36,0.17,0.89,1.19,0.86,0.62,0.29,0.19
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Wagner,Alayna",0,G,02,16,0,4,16,0,6,12,8,16,0,6,9,117,8,8,16,13,0,4,0,0,0.25,0.00,0.67,1.00,1.00,0.56,0.38,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Loutsion,Stellanie",0,G,03,27,27,138,336,32,105,85,73,381,23,55,61,823,18,130,148,51,0,78,0,0,0.41,0.30,0.86,14.11,5.48,2.26,2.04,0.85
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Grado,Marina",0,G,04,28,28,74,157,18,57,55,46,212,8,49,94,871,21,86,107,41,0,59,1,0,0.47,0.32,0.84,7.57,3.82,3.36,1.75,0.29
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"DeRubbo,Riley",0,G,05,28,28,137,354,58,167,115,98,430,12,43,76,891,27,154,181,61,0,65,2,0,0.39,0.35,0.85,15.36,6.46,2.71,1.54,0.43
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Kadlecik,Raegan",0,G,12,26,15,30,89,13,43,34,28,101,2,18,33,492,20,73,93,50,0,33,1,0,0.34,0.30,0.82,3.88,3.58,1.27,0.69,0.08
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Kemp,Olivia",0,G,13,10,0,1,9,0,3,9,4,6,1,1,1,45,4,2,6,1,0,3,0,0,0.11,0.00,0.44,0.60,0.60,0.10,0.10,0.10
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Kovalchick,Katie",0,C,14,28,28,165,314,22,49,93,75,427,31,32,51,779,58,96,154,60,0,46,2,0,0.53,0.45,0.81,15.25,5.50,1.82,1.14,1.11
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Conley,Shannon",0,C,15,19,0,18,47,2,10,6,4,42,3,5,8,132,9,13,22,22,0,18,0,0,0.38,0.20,0.67,2.21,1.16,0.42,0.26,0.16
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Toal,Brianna",0,G,21,17,1,5,30,4,16,2,0,14,0,3,3,104,4,9,13,9,0,6,0,0,0.17,0.25,0.00,0.82,0.76,0.18,0.18,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Jellison,Michelle",0,F,23,26,0,30,70,4,18,33,20,84,4,8,15,225,20,19,39,28,0,24,0,0,0.43,0.22,0.61,3.23,1.50,0.58,0.31,0.15
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Mountain,Emily",0,G,24,10,0,9,24,0,5,5,4,22,0,6,6,55,8,4,12,12,0,9,0,0,0.38,0.00,0.80,2.20,1.20,0.60,0.60,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Mullen,Jacey",0,G,25,21,7,28,66,1,5,29,23,80,14,16,33,368,40,65,105,31,0,17,0,0,0.42,0.20,0.79,3.81,5.00,1.57,0.76,0.67
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Wan,Jaden",0,F,33,27,6,60,132,20,51,33,27,167,6,27,21,464,31,51,82,30,0,19,0,0,0.45,0.39,0.82,6.19,3.04,0.78,1.00,0.22
pac,Presidents Athletic Conference (PAC),2025-26,wbball,W&J,"Twitty,Jasmine",0,G,42,9,0,3,10,0,2,0,0,6,0,4,6,63,5,12,17,7,0,2,0,0,0.30,0.00,0.00,0.67,1.89,0.67,0.44,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Barnes,Dekotah",0,G,00,13,1,7,17,1,5,6,3,18,1,6,5,97,8,12,20,4,0,12,0,0,0.41,0.20,0.50,1.38,1.54,0.38,0.46,0.08
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Ott,Alyssa",0,G,01,8,1,1,10,0,2,0,0,2,2,2,3,38,2,5,7,1,0,2,0,0,0.10,0.00,0.00,0.25,0.88,0.38,0.25,0.25
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Garrison,Lindsey",0,G,02,27,26,141,310,58,157,85,71,411,1,35,66,866,16,29,45,42,0,63,0,0,0.45,0.37,0.84,15.22,1.67,2.44,1.30,0.04
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Johnson,Mya",0,G,03,7,0,4,13,0,3,9,6,14,1,2,3,47,2,6,8,6,0,11,0,0,0.31,0.00,0.67,2.00,1.14,0.43,0.29,0.14
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Blazer,Addy",0,F,04,23,10,57,132,4,20,67,39,157,31,46,33,483,20,102,122,53,0,76,1,0,0.43,0.20,0.58,6.83,5.30,1.43,2.00,1.35
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Jones,Amaria",0,G,05,20,0,28,78,1,17,6,5,62,2,8,8,213,4,15,19,21,1,19,0,0,0.36,0.06,0.83,3.10,0.95,0.40,0.40,0.10
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Best,Lindsey",0,G,10,25,19,94,213,13,51,56,37,238,7,34,79,701,42,90,132,50,0,76,0,0,0.44,0.25,0.66,9.52,5.28,3.16,1.36,0.28
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Dusenberry,Taylor",0,G,11,10,2,4,12,2,5,10,9,19,2,4,1,69,2,12,14,5,0,6,0,0,0.33,0.40,0.90,1.90,1.40,0.10,0.40,0.20
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Aricayos,Yazmin",0,G,12,7,1,6,11,2,3,2,2,16,0,1,3,46,3,4,7,4,0,7,0,0,0.55,0.67,1.00,2.29,1.00,0.43,0.14,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Middlebrooks,Alycia",0,F,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Parke,Gabby",0,G,14,2,0,0,1,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Dupler,Cayleigh",0,G,15,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Headley,Kenzie",0,F,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Sparrow,Asia",0,G,21,5,0,2,10,0,3,4,4,8,0,1,1,15,1,3,4,0,0,3,0,0,0.20,0.00,1.00,1.60,0.80,0.20,0.20,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Anthony,Shaelyn",0,G,22,26,7,27,74,9,38,29,24,87,0,17,18,363,16,36,52,49,0,33,0,0,0.36,0.24,0.83,3.35,2.00,0.69,0.65,0.00
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Potter,Kaedlee",0,F,23,26,24,112,225,10,30,82,60,294,22,28,68,683,45,121,166,65,0,57,1,0,0.50,0.33,0.73,11.31,6.38,2.62,1.08,0.85
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Hardison,Jewel",0,F,24,13,0,11,35,0,3,5,2,24,3,4,2,72,4,12,16,15,0,10,0,0,0.31,0.00,0.40,1.85,1.23,0.15,0.31,0.23
pac,Presidents Athletic Conference (PAC),2025-26,wbball,Bethany,"Botti,Kate",0,F,25,25,25,61,188,13,53,23,11,146,42,22,71,727,58,175,233,64,0,56,2,0,0.32,0.25,0.48,5.84,9.32,2.84,0.88,1.68
