conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Franciscan,"Hickey, Logan",0,,20,97,39,0.241,1346.0,143.0,468.0,15.0,10.0,183.0,0.0,30.0,19.0,363.0,0.0,0.0,648.0,32.0,323.0,42.0,1.0,36.0,6.0,522.0,0.0,4.82,0.15,3.33,0.43,0.31,5.38,4.128765985418503,4.295809152850803,-0.2968971279500041,0.9359010439770026,1.2954188823887032,1.7264387653608084,2.824173579453205,0.6715616556500881,8.173011915757678,1,99
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Hiram,"Smotek, Sofia",0,,15,106,44,0.184,1270.0,173.0,407.0,18.0,3.0,156.0,0.0,30.0,18.0,392.0,0.0,0.0,559.0,24.0,381.0,25.0,1.0,22.0,3.0,451.0,2.0,3.84,0.17,3.59,0.24,0.28,4.25,3.074735968833993,3.2675374385822877,-0.2842386299925021,0.22752517049122828,1.095049249335442,1.9320072733627798,3.564795139009464,0.5963724559265854,5.780410571630257,2,95
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Hiram,"Chiang, Megan",0,,16,85,34,0.243,818.0,85.0,284.0,17.0,4.0,131.0,0.0,35.0,23.0,325.0,0.0,0.0,316.0,13.0,324.0,19.0,0.0,16.0,3.0,330.0,3.0,3.34,0.2,3.81,0.22,0.41,3.88,2.7296110961470297,2.7429090129350864,-0.26525088305624916,0.15295928907167314,1.9633176592329082,2.1059498570567556,1.3923052309777708,0.9723184545440988,5.777389057504575,3,94
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Thiel,"Jenness, Daisy",0,,24,90,35,0.161,1144.0,208.0,392.0,5.0,2.0,68.0,0.0,17.0,39.0,276.0,0.0,0.0,327.0,30.0,179.0,23.0,3.0,21.0,2.0,421.5,0.0,4.36,0.06,1.99,0.26,0.19,4.68,3.4758270370918147,3.813151001255378,-0.35386036875876314,0.30209105191078356,0.49394035017565735,0.6669703010429563,4.428853625158433,2.175345650120142,5.726090568083551,4,93
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Thiel,"DeLattre, Arin",0,,15,87,35,0.319,540.0,70.0,242.0,4.0,2.0,33.0,0.0,29.0,41.0,350.0,0.0,0.0,7.0,0.0,76.0,87.0,2.0,65.0,22.0,325.5,0.0,2.78,0.05,0.87,1.0,0.33,3.74,2.5990233064816923,2.155325176210221,-0.3601896177375141,3.0610286644343256,1.4289986377575443,-0.2185555795809201,1.0219944511996413,2.325724049567147,5.717673274035668,5,92
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Saint Vincent,"Williams, Meegan",0,,18,80,45,0.159,850.0,137.0,272.0,26.0,0.0,150.0,0.0,27.0,22.0,327.0,0.0,0.0,265.0,18.0,305.0,12.0,2.0,9.0,3.0,306.5,0.0,3.4,0.33,3.81,0.15,0.34,3.83,2.6829725998379805,2.805864424012751,-0.18297064633248614,-0.10802129589677002,1.495788515441965,2.1059498570567556,2.676049267541953,0.8971292548205961,5.263751194750831,6,91
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Grove City,"Hart, Sarah",0,,15,109,37,0.292,998.0,97.0,388.0,13.0,5.0,82.0,0.0,5.0,5.0,60.0,0.0,0.0,283.0,23.0,134.0,47.0,3.0,39.0,8.0,420.5,0.0,3.56,0.12,1.23,0.43,0.05,3.86,2.71095569762341,2.9737455202198553,-0.31588487488625716,0.9359010439770026,-0.44111793740622957,0.06607773919104018,1.6885538548002743,-0.3810871404789495,4.908841913779148,7,90
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Hiram,"Hoffman, Kelly",0,,3,106,44,0.181,309.0,20.0,76.0,1070.0,24.0,3135.0,0.0,32.0,8.0,544.0,0.0,0.0,9.0,0.0,503.0,12.0,2.0,11.0,1.0,114.5,4.0,0.72,10.09,4.75,0.11,0.3,1.08,0.11785530284028146,-0.006143937456248528,5.99437635692849,-0.25715305873588035,1.2286290047042827,2.849159078294652,-0.21237481472745717,-0.15551954130844142,4.842757726196148,8,89
pac,Presidents Athletic Conference (PAC),2025-26,wvball,W&J,"Fetsko, Faith",0,,13,99,33,0.184,907.0,162.0,329.0,7.0,13.0,104.0,0.0,21.0,39.0,218.0,0.0,0.0,412.0,30.0,300.0,37.0,2.0,31.0,6.0,371.5,0.0,3.32,0.07,3.03,0.37,0.21,3.75,2.608351005743502,2.7219238759091984,-0.3475311197800121,0.712203399718337,0.6275201055444983,1.4892443330508414,3.2932339005055025,2.175345650120142,4.680610914829417,9,89
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Thiel,"Reynolds, Carlie",0,,4,90,36,0.075,120.0,8.0,17.0,901.0,30.0,2606.0,0.0,50.0,42.0,370.0,0.0,0.0,14.0,3.0,256.0,23.0,1.0,20.0,3.0,80.0,2.0,0.19,10.01,2.84,0.26,0.56,0.89,-0.05937098313410509,-0.562250068642282,5.943742365098482,0.30209105191078356,2.965165824499216,1.3390211925878623,-0.5086234385499608,2.40091324929065,4.59057489769413,10,88
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Saint Vincent,"Hershberger, Dakota",0,,11,85,47,0.167,849.0,93.0,235.0,24.0,2.0,111.0,0.0,26.0,24.0,285.0,0.0,0.0,450.0,25.0,269.0,30.0,1.0,19.0,11.0,281.5,0.0,2.76,0.28,3.16,0.35,0.31,3.31,2.19793223822387,2.134340039184333,-0.21461689122624114,0.6376375182987818,1.2954188823887032,1.5920285870518274,1.5898043135261064,1.0475076542676016,4.58891596557144,11,87
