season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats
2026-27,baseball,Southern Athletic Association (SAA),saa,Centre,Chase Austin,Chase,Austin,,132,Chase Austin,0,0CENTRE,19,19,,,75,23,26,17,4,1,3,15,0,1,10,4,3,2,0,1,0,0,0,1,1,2,0,0.457,41,92,5,.600,.347,.547,131,3,1,0,0,0,0,13,0,135,.993,0,.000,,2,1,19,20,"6,21",0.29,6,21,"16,35",0.46,16,35,"11,25",0.44,11,25,"2,6",0.33,2,6,0,0,0,0,"8,29","5,9","22,39",116,0,0,0,0,0,0,0,4,19,0,,Centre,CENTRE,1268-2763,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Southern Athletic Association (SAA),saa,Centre,Ayden Lohr,Ayden,Lohr,,132,Ayden Lohr,0,0CENTRE,19,19,,,76,21,35,25,2,3,5,10,0,4,6,2,24,2,0,2,0,0,0,0,0,1,0,0.533,58,92,26,.923,.461,.763,41,0,0,0,0,0,0,0,0,41,1.000,0,.000,,0,3,14,23,"8,17",0.47,8,17,"21,37",0.57,21,37,"12,27",0.44,12,27,"2,4",0.50,2,4,0,0,0,0,"6,13","3,5","31,44",10,0,0,0,0,0,0,0,3,13,0,,Centre,CENTRE,1268-3034,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Southern Athletic Association (SAA),saa,Centre,Evan Weyler,Evan,Weyler,,132,Evan Weyler,0,0CENTRE,19,19,,,65,18,22,17,4,0,1,18,0,2,11,6,9,1,0,4,0,0,0,1,0,1,0,0.472,29,89,10,.900,.338,.446,160,13,1,4,0,14,5,0,0,174,.994,19,.737,,1,1,14,21,"9,28",0.32,9,28,"13,35",0.37,13,35,"9,24",0.38,9,24,"2,4",0.50,2,4,0,0,0,0,"4,9","8,13","27,45",15,0,0,0,0,0,0,0,9,12,0,,Centre,CENTRE,1268-2764,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Southern Athletic Association (SAA),saa,Centre,Aaron Lopez,Aaron,Lopez,,132,Aaron Lopez,0,0CENTRE,19,19,,,64,14,22,10,7,0,1,16,0,2,7,3,1,0,0,1,0,0,0,2,0,2,0,0.482,32,83,1,1.000,.344,.500,34,31,3,0,0,0,0,8,0,68,.956,0,.000,,1,3,18,16,"7,23",0.30,7,23,"8,38",0.21,8,38,"5,30",0.17,5,30,"1,4",0.25,1,4,0,0,0,0,"9,16","3,11","20,44",6,0,0,0,0,0,0,0,5,19,0,,Centre,CENTRE,1268-2759,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Southern Athletic Association (SAA),saa,Centre,Baylor Woodall,Baylor,Woodall,,132,Baylor Woodall,0,0CENTRE,16,15,,,50,12,15,10,3,0,1,10,0,2,18,5,3,0,1,0,0,0,0,0,1,0,0,0.435,21,63,3,1.000,.300,.420,9,27,2,0,0,0,0,3,0,38,.947,0,.000,,1,0,5,12,"5,16",0.31,5,16,"10,29",0.34,10,29,"6,19",0.32,6,19,"0,4",0,0,4,0,0,0,0,"3,9","3,6","17,35",26,0,0,0,0,0,0,0,3,13,0,,Centre,CENTRE,1268-2760,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Southern Athletic Association (SAA),saa,Centre,Evan Rygalski,Evan,Rygalski,,132,Evan Rygalski,0,0CENTRE,15,14,,,47,8,11,7,6,0,1,6,0,3,12,1,4,0,0,0,0,0,0,1,0,1,0,0.357,20,56,4,1.000,.234,.426,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,2,0,10,11,"2,15",0.13,2,15,"6,30",0.20,6,30,"3,21",0.14,3,21,"1,5",0.20,1,5,0,0,0,0,"4,10","1,7","16,34",3,0,0,0,1,0,0,0,4,14,0,,Centre,CENTRE,1268-3274,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Southern Athletic Association (SAA),saa,Centre,Wesley Taylor,Wesley,Taylor,,132,Wesley Taylor,0,0CENTRE,17,1,,,8,6,2,2,0,1,0,2,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0.455,4,11,3,.667,.250,.500,5,0,0,0,0,0,0,0,0,5,1.000,0,.000,,0,0,1,3,"1,4",0.25,1,4,"1,6",0.17,1,6,"1,6",0.17,1,6,0,0,0,0,0,0,0,0,"1,2",0,"3,8",0,0,0,0,22,0,0,0,0,5,0,,Centre,CENTRE,1268-3263,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Southern Athletic Association (SAA),saa,Centre,Jonah Porter,Jonah,Porter,,132,Jonah Porter,0,0CENTRE,8,1,,,10,3,2,0,0,0,0,2,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0.429,2,14,0,.000,.200,.200,2,0,0,0,0,0,0,0,0,2,1.000,0,.000,,1,0,1,1,"0,4",0,0,4,"2,6",0.33,2,6,"1,4",0.25,1,4,"1,3",0.33,1,3,0,0,0,0,"3,4",0,"4,7","0,1",0,0,1,21,0,0,0,0,4,0,,Centre,CENTRE,1268-3033,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Southern Athletic Association (SAA),saa,Centre,Graham Johnson,Graham,Johnson,,132,Graham Johnson,0,0CENTRE,17,17,,,54,13,17,12,3,0,0,6,0,2,10,0,4,0,0,2,0,0,0,0,0,0,0,0.391,20,64,4,1.000,.315,.370,10,0,1,0,0,0,0,0,0,11,.909,0,.000,,1,6,15,13,"5,17",0.29,5,17,"12,37",0.32,12,37,"10,27",0.37,10,27,"1,4",0.25,1,4,0,0,0,0,"6,13","4,11","20,41",12,0,0,0,0,0,0,0,8,18,0,,Centre,CENTRE,1268-3270,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Southern Athletic Association (SAA),saa,Centre,Jamison Craig,Jamison,Craig,,132,Jamison Craig,0,0CENTRE,17,13,,,48,11,13,12,1,1,1,5,0,1,19,7,4,0,0,0,0,0,0,0,0,0,0,0.352,19,54,4,1.000,.271,.396,33,1,1,0,0,0,0,1,0,35,.971,0,.000,,1,2,9,7,"6,18",0.33,6,18,"8,30",0.27,8,30,"7,22",0.32,7,22,0,0,0,0,0,0,0,0,"2,5","3,9","16,34",12,0,0,0,4,0,0,0,5,12,0,,Centre,CENTRE,1268-3262,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
