season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,Southern Athletic Association,saa,Oglethorpe,Oglethorpe University,Jackson Hiller,,Fourth Year,27184,3,ACTIVE,71.16,-0.84,31,70.0780996820318,10,4,3,71.1689327340728,-6.84219590604278,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Turner Chiles,,Third Year,37621,17,ACTIVE,72.69,0.69,32,70.8486590755352,11,2,1,57.8976104317994,-6.62042717862847,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Aidan Tudor,,Second Year,3884,20,ACTIVE,72.66,0.66,32,70.8174090755352,11,2,0,57.3389305113291,-6.62042717862847,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Elias Becker,,,16451,30,ACTIVE,73.09,1.09,32,71.2549090755352,11,2,1,52.1525075423608,-6.62042717862847,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Colin Edwards,,,12631,40,ACTIVE,73.59,1.59,32,71.7549090755352,11,0,0,45.1771676326601,-6.62042717862847,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Oglethorpe,Oglethorpe University,NULL,,,18675,42,ACTIVE,72.84,0.84,31,71.7555190368706,10,0,0,44.6270130586421,-6.84219590604278,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),Ethan Bridges,,,23997,45,ACTIVE,72.46,0.46,28,71.8944467045328,10,3,0,44.1234118296773,-7.58610552159904,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Sam Rossi,,Third Year,39409,48,ACTIVE,72.41,0.41,29,71.9195476545668,10,1,0,42.4204487816395,-7.4361656917489,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Andre Follmer,,Second Year,7268,52,ACTIVE,72.52,0.52,21,71.9685120284946,7,1,0,41.6347231445406,-7.62582137241367,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Rhodes,Rhodes College,Christian Iwai,,Second Year,6563,57,ACTIVE,73.27,1.27,30,72.2478235339017,10,2,0,41.2030609329357,-7.41774062823901,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Landon Painter,,,15929,86,ACTIVE,73.81,1.81,27,72.4064060731806,9,1,0,37.7477031826738,-6.81810604276134,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Rhodes,Rhodes College,Parker Tenent,,Second Year,6567,98,ACTIVE,73.78,1.78,27,72.8202438147233,9,2,0,36.5983710520929,-7.5266432871217,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Carter Code,,,16587,99,ACTIVE,72.93,0.93,29,72.4367890338772,10,1,1,36.2886921271208,-7.4361656917489,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),Sam McClure,,Fourth Year,23408,106,ACTIVE,73.46,1.46,26,72.9834646425853,9,1,0,35.5441357299998,-7.6047777517974,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Aiden Marlow,,,16396,149,ACTIVE,73.47,1.47,17,72.9548297437317,6,0,0,31.1213223843687,-7.50287729036838,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Jeffrey Forster,,Second Year,6831,155,ACTIVE,73.5,1.5,26,73.1206473797602,9,0,0,30.9226098294626,-7.58775713230416,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Oglethorpe,Oglethorpe University,Barton Abstein,,Second Year,4497,162,ACTIVE,74.32,2.32,31,73.2393900046125,10,0,0,30.1519757735848,-6.84219590604278,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Centre,Centre College,Harrison Akers,,,17934,176,ACTIVE,73.91,1.91,23,73.1422567594247,8,1,0,28.789600177396,-8.64028967270126,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Zack Lim,,Fourth Year,25215,209,ACTIVE,75.85,3.85,27,74.4434431102176,9,0,0,27.1013120283146,-6.81810604276134,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),William Suell,,,34985,214,ACTIVE,74.09,2.09,23,73.5558352039266,8,0,0,26.8376306154429,-7.7500307299082,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Niel Phillips,,Third Year,37624,216,ACTIVE,75.3,3.3,30,73.6194491258042,11,0,0,26.7932056587202,-7.50514413565099,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Neel Sandhu,,,19300,223,ACTIVE,74.25,2.25,24,73.9818977257149,8,0,0,26.3589616043674,-7.61434105758093,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Brody Grieb,,Fourth Year,17223,226,ACTIVE,74.17,2.17,12,73.8539860189365,4,0,0,26.1632341963837,-7.10997445288126,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Centre,Centre College,Peyton Toon,,Second Year,8465,228,ACTIVE,74.61,2.61,23,73.8379089333377,8,0,0,26.0580624397432,-8.64028967270126,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Oglethorpe,Oglethorpe University,Diego Passos,,Fourth Year,11628,237,ACTIVE,76.63,4.63,27,75.1422034513073,9,0,0,25.4541555631647,-6.79741908313936,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Jay Sanders,,,24512,245,ACTIVE,75.57,3.57,23,74.2599818177514,8,0,0,24.9610295336484,-6.81700882601903,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),Ricky Mitchell,,Fourth Year,22280,248,ACTIVE,74.74,2.74,23,74.3930448086324,8,1,1,24.9010815670472,-7.79813486634446,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Centre,Centre College,Charlie Reber,,Fourth Year,13536,258,ACTIVE,75.13,3.13,23,74.3596480637725,8,0,0,24.6282635498343,-8.64028967270126,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),Ethan Law,,,8426,264,ACTIVE,74.52,2.52,23,74.1756535042846,8,0,0,24.3816796982623,-7.79813486634446,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Ethan Sullivan,,Second Year,7267,271,ACTIVE,74.82,2.82,17,74.5245155232323,6,0,0,24.0450411252734,-8.1441837182045,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Rhodes,Rhodes College,Sujay Mukatira,,Second Year,6560,363,ACTIVE,80.89,8.89,18,79.4766230696461,6,0,0,20.8142630832389,-7.63844019032023,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Will Brookby,,,15712,387,ACTIVE,76.0,4.0,14,75.2890330622462,5,0,0,20.0728639418312,-7.47593342913688,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),Tyler Rosson,,Third Year,34987,393,ACTIVE,75.75,3.75,20,75.3781422303869,7,0,0,19.9868012221448,-7.86456879177513,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Oglethorpe,Oglethorpe University,Ryan Callaham,,Third Year,30729,397,ACTIVE,75.91,3.91,23,74.8167765282586,9,2,1,19.9124115624694,-8.22701730465194,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Centre,Centre College,Jack Butts,,Fourth Year,22467,420,ACTIVE,75.71,3.71,17,74.7478380949125,6,0,0,19.0635031273943,-8.7803164700186,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Cam Baker,,Fourth Year,25538,431,ACTIVE,76.75,4.75,24,75.6374722247239,8,0,0,18.7429236096884,-6.93463033295984,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Oglethorpe,Oglethorpe University,Corbin Scott,,Third Year,30728,434,ACTIVE,76.42,4.42,31,75.3361641981609,10,0,0,18.6491369378894,-6.84219590604278,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Centre,Centre College,Drew Edwards,,Second Year,8466,436,ACTIVE,76.43,4.43,14,75.5068452287847,5,0,0,18.6317982629996,-8.48459765360398,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Rhodes,Rhodes College,Chase Austin,,Second Year,6562,453,ACTIVE,76.5,4.5,24,75.5939353359563,8,0,0,18.0156525781428,-7.73750028093825,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Oglethorpe,Oglethorpe University,Ethan Breth,,Second Year,4495,462,ACTIVE,76.27,4.27,22,75.354097869886,9,1,1,17.7618529857207,-8.96911045871006,Region IV - (M) DIII,clippd_scoreboard
