season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
2026-27,wsoc,Southern Athletic Association (SAA),saa,Trinity,Colette Whitsitt,Colette,Whitsitt,,715,Colette Whitsitt,"WHITSITT,COLETTE",Trinity,TRINITY,1323-3170,1,0,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,45:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Trinity,Malea Cesar,Malea,Cesar,,715,Malea Cesar,"CESAR,MALEA",Trinity,TRINITY,1323-2834,1,1,2,0,2,0,0,2,2,5,1,2,2,2,2.00,2.00,5.00,2.000,1.000,0,0,0,0,1,0,1,1.000,0,0,0,0,.00,.00,.00,.00,0,,64:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Trinity,Hannah Plaisance,Hannah,Plaisance,,715,Hannah Plaisance,"PLAISANCE,HANNAH",Trinity,TRINITY,1323-2934,0,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Trinity,Maggie Hartnett,Maggie,Hartnett,,715,Maggie Hartnett,"HARTNETT,MAGGIE",Trinity,TRINITY,1323-2928,1,1,5,0,5,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,78:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Trinity,Alex Doran,Alex,Doran,,715,Alex Doran,"DORAN,ALEX",Trinity,TRINITY,1323-2929,0,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Trinity,Emily Camp,Emily,Camp,,715,Emily Camp,"CAMP,EMILY",Trinity,TRINITY,1323-3165,0,0,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Trinity,Ali Matney,Ali,Matney,,715,Ali Matney,"MATNEY,ALI",Trinity,TRINITY,1323-3355,1,0,8,0,8,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,12:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Trinity,Lilly Fant,Lilly,Fant,,715,Lilly Fant,"FANT,LILLY",Trinity,TRINITY,1323-3354,1,0,9,0,9,0,0,2,2,2,0,1,1,1,2.00,2.00,2.00,1.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,27:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Trinity,Finley Hoover,Finley,Hoover,,715,Finley Hoover,"HOOVER,FINLEY",Trinity,TRINITY,1323-2836,1,0,10,0,10,0,0,1,1,2,0,1,0,0,1.00,1.00,2.00,1.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,30:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Trinity,Kylie Harris,Kylie,Harris,,715,Kylie Harris,"HARRIS,KYLIE",Trinity,TRINITY,1323-2930,1,1,11,0,11,0,0,1,2,0,0,0,0,0,2.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,61:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
