season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
2026-27,softball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Brooklyn Bard,Brooklyn,Bard,,567,Brooklyn Bard,0,0REDLANDS,50,51,,,168,54,67,18,4,2,0,25,1,3,17,3,43,9,3,1,0,0,0,0,1,1,0,0.482,75,200,52,.827,.399,.446,49,4,2,0,0,0,0,1,0,55,.964,0,.000,,11,5,58,23,"18,42",0.43,18,42,"33,73",0.45,33,73,"24,51",0.47,24,51,"5,21",0.24,5,21,0,0,0,0,"37,80","4,16","57,84",11,0,0,0,0,0,0,0,17,19,0,,Redlands,REDLANDS,1166-3282,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Avery Provenzano,Avery,Provenzano,,567,Avery Provenzano,0,0REDLANDS,54,54,,,142,34,47,39,12,2,1,15,0,3,6,4,5,1,1,7,0,0,0,1,0,1,0,0.389,66,168,6,.833,.331,.465,111,97,11,0,0,0,0,10,0,219,.950,0,.000,,6,3,41,53,"16,39",0.41,16,39,"29,82",0.35,29,82,"25,63",0.40,25,63,"6,18",0.33,6,18,0,0,0,0,"11,28","17,24","52,94",126,0,0,0,0,0,0,0,17,30,0,,Redlands,REDLANDS,1166-3731,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Katlyn Gandara,Katlyn,Gandara,,567,Katlyn Gandara,0,0REDLANDS,54,54,,,151,29,68,61,21,0,4,17,0,14,15,4,0,0,0,8,0,0,0,0,0,2,0,0.521,101,190,0,.000,.450,.669,96,38,3,0,0,28,2,5,0,137,.978,30,.933,,4,3,25,46,"23,51",0.45,23,51,"42,92",0.46,42,92,"38,76",0.50,38,76,"10,22",0.45,10,22,0,0,0,0,"10,24","27,35","68,108",82,0,0,0,44,0,0,0,21,24,0,,Redlands,REDLANDS,1166-3286,True,184,1,32,24,2,2,9,2,0,0,163.0,75,63,18,57,18,3,13,2.71,665,710,3,13,0,6,8,0,0,30,.277,148,265,0,"6,17","7,37","1,5",0,"5,26"
2026-27,softball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Leila Jackson,Leila,Jackson,,567,Leila Jackson,0,0REDLANDS,6,6,,,18,5,8,4,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.474,14,19,1,.000,.444,.778,39,2,0,0,0,0,0,3,0,41,1.000,0,.000,,0,2,5,4,"4,9",0.44,4,9,"6,13",0.46,6,13,"3,9",0.33,3,9,0,0,0,0,0,0,0,0,"1,2","1,1","9,13","0,1",0,0,1,0,0,0,0,1,5,0,,Redlands,REDLANDS,1166-3491,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Jenay Scott,Jenay,Scott,,567,Jenay Scott,0,0REDLANDS,53,53,,,165,50,77,36,12,5,0,16,0,0,8,4,12,1,4,1,0,0,0,0,0,1,0,0.511,99,186,13,.923,.467,.600,95,2,3,0,0,0,0,0,0,100,.970,0,.000,,8,15,55,19,"23,54",0.43,23,54,"48,105",0.46,48,105,"36,82",0.44,36,82,"11,23",0.48,11,23,0,0,0,0,"22,35","15,21","78,112",86,0,0,0,0,0,0,0,18,36,0,,Redlands,REDLANDS,1166-3494,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Saya Fujii,Saya,Fujii,,567,Saya Fujii,0,0REDLANDS,44,36,,,14,9,4,2,0,1,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0.333,6,17,2,.000,.286,.429,39,94,10,0,0,0,0,6,0,143,.930,0,.000,,0,0,3,7,"3,7",0.43,3,7,"3,7",0.43,3,7,"3,5",0.60,3,5,"1,3",0.33,1,3,0,0,0,0,"0,2","0,1","6,9",0,0,0,0,0,0,0,0,3,2,0,,Redlands,REDLANDS,1166-3728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Maya Holshoe,Maya,Holshoe,,567,Maya Holshoe,0,0REDLANDS,52,44,,,134,28,46,37,5,3,1,7,0,3,10,3,6,2,4,0,0,0,0,0,0,2,0,0.389,60,148,8,.750,.343,.448,39,2,0,0,0,0,0,3,0,41,1.000,0,.000,,4,12,41,34,"17,47",0.36,17,47,"37,91",0.41,37,91,"28,71",0.39,28,71,"4,15",0.27,4,15,0,0,0,0,"8,21","13,20","58,97",148,0,0,0,88,0,0,0,19,33,0,,Redlands,REDLANDS,1166-3288,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Avery Duran,Avery,Duran,,567,Avery Duran,0,0REDLANDS,27,6,,,31,8,11,10,4,1,1,4,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0.429,20,35,0,.000,.355,.645,4,-4,0,0,0,0,0,1,0,0,0.000,0,.000,,3,0,9,3,"2,10",0.20,2,10,"4,18",0.22,4,18,"4,14",0.29,4,14,"3,5",0.60,3,5,0,0,0,0,"3,5","2,4","11,20",0,0,0,0,215,0,0,0,1,10,0,,Redlands,REDLANDS,1166-3284,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Leila Gomez,Leila,Gomez,,567,Leila Gomez,0,0REDLANDS,53,49,,,163,55,71,20,4,3,0,6,0,0,10,1,36,1,9,3,0,0,0,0,0,1,0,0.448,81,181,37,.973,.436,.497,72,11,4,0,0,0,0,1,0,87,.954,0,.000,,14,7,42,38,"14,50",0.28,14,50,"36,87",0.41,36,87,"28,71",0.39,28,71,"10,23",0.43,10,23,0,0,0,0,"13,25","9,19","62,100",59,0,0,0,2,0,0,0,22,41,0,,Redlands,REDLANDS,1166-3489,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Redlands,Adyson Kim,Adyson,Kim,,567,Adyson Kim,0,0REDLANDS,51,51,,,146,31,47,46,13,2,3,13,0,0,14,6,9,0,5,3,0,0,0,0,0,1,0,0.370,73,167,9,1.000,.322,.500,26,108,6,0,0,0,0,10,0,140,.957,0,.000,,2,7,40,50,"17,46",0.37,17,46,"31,88",0.35,31,88,"26,70",0.37,26,70,"4,20",0.20,4,20,0,0,0,0,"14,35","16,30","51,97",150,0,0,0,0,0,0,0,24,40,0,,Redlands,REDLANDS,1166-3291,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
