season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,wgolf,Women,Southern California Inter. Athletic Conference,sciac,Pomona-Pitzer,Pomona-Pitzer,Ann Zhao,,,8137,7,ACTIVE,74.62,2.62,16,71.8514578844004,8,3,2,63.9816127649579,-13.03850401841,West - (W) - DIII,clippd_scoreboard
2025-26,wgolf,Women,Southern California Inter. Athletic Conference,sciac,Pomona-Pitzer,Pomona-Pitzer,Annabelle Chan,,Second Year,8139,9,ACTIVE,74.16,2.16,25,71.7666968186532,11,6,2,62.6632376661256,-12.5625076241118,West - (W) - DIII,clippd_scoreboard
2025-26,wgolf,Women,Southern California Inter. Athletic Conference,sciac,Pomona-Pitzer,Pomona-Pitzer,Lisa Chu,,,8136,27,ACTIVE,75.81,3.81,16,73.0389578844004,8,2,1,45.7872484902791,-13.03850401841,West - (W) - DIII,clippd_scoreboard
2025-26,wgolf,Women,Southern California Inter. Athletic Conference,sciac,Clarem-Mudd-Scripps,Claremont-Mudd-Scripps Colleges,Alisa Ching,,Second Year,8349,33,ACTIVE,75.57,3.57,23,73.7119928266209,10,2,0,41.3938654245799,-11.8531907647181,West - (W) - DIII,clippd_scoreboard
2025-26,wgolf,Women,Southern California Inter. Athletic Conference,sciac,Pomona-Pitzer,Pomona-Pitzer,Eunice Yi,,Fourth Year,23712,34,ACTIVE,75.92,3.92,26,73.5941916608818,12,3,1,40.1674788566149,-12.6178550238143,West - (W) - DIII,clippd_scoreboard
2025-26,wgolf,Women,Southern California Inter. Athletic Conference,sciac,Clarem-Mudd-Scripps,Claremont-Mudd-Scripps Colleges,Esther Lee,,,28585,49,ACTIVE,75.36,3.36,22,73.6450842588652,10,2,0,32.9133482014694,-11.8410195329528,West - (W) - DIII,clippd_scoreboard
2025-26,wgolf,Women,Southern California Inter. Athletic Conference,sciac,Clarem-Mudd-Scripps,Claremont-Mudd-Scripps Colleges,Ella Chiu,,,28832,54,ACTIVE,76.57,4.57,21,74.6111239568246,9,3,0,31.4336891845912,-12.0750212870806,West - (W) - DIII,clippd_scoreboard
2025-26,wgolf,Women,Southern California Inter. Athletic Conference,sciac,Clarem-Mudd-Scripps,Claremont-Mudd-Scripps Colleges,Christine Yu,,Fourth Year,28493,56,ACTIVE,76.95,4.95,21,75.5036683985912,9,2,2,31.0666946512034,-11.9581364551801,West - (W) - DIII,clippd_scoreboard
2025-26,wgolf,Women,Southern California Inter. Athletic Conference,sciac,Redlands,University of Redlands,Chloe Phan,,,26782,60,ACTIVE,77.26,5.26,23,75.0472822912771,11,1,0,29.9155084296342,-12.5251391205619,West - (W) - DIII,clippd_scoreboard
2025-26,wgolf,Women,Southern California Inter. Athletic Conference,sciac,Redlands,University of Redlands,Savanah Christenson,,Fourth Year,33488,62,ACTIVE,77.29,5.29,24,75.1989428320938,11,3,2,29.1934267472,-12.5272994555924,West - (W) - DIII,clippd_scoreboard
