season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Farmingdale State,Farmingdale State College,Philip Connolly,,Second Year,8710,315,ACTIVE,75.17,3.17,23,75.1606446062872,12,3,0,22.3254322658486,-11.2810339371618,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Farmingdale State,Farmingdale State College,Luke O'Grady-Rodgers,,Fourth Year,15256,396,ACTIVE,75.08,3.08,25,75.0433866283662,13,2,1,19.9682039818366,-11.2566863797078,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Farmingdale State,Farmingdale State College,Rishi Talwar,,Third Year,32749,535,ACTIVE,76.0,4.0,16,76.3421890558645,8,1,0,15.9685879536021,-9.80282821486105,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Farmingdale State,Farmingdale State College,Padruig Douglas,,Fourth Year,11389,555,ACTIVE,76.2,4.2,25,76.1633866283662,13,1,1,15.5056076327896,-11.2566863797078,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Farmingdale State,Farmingdale State College,Luke Grebinar,,Second Year,8712,846,ACTIVE,77.65,5.65,23,77.5539799118358,12,2,0,10.123585930679,-11.3430860949128,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,SUNY Old Westbury,State University of NY at Old Westbury,Jake K Berenger,,,28213,1462,ACTIVE,86.46,14.46,13,88.0846566378712,10,0,0,1.15332025623939,-18.2367446509864,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,SUNY Old Westbury,State University of NY at Old Westbury,Matthew Lee,,,9303,1463,ACTIVE,85.69,13.69,13,87.3154258686404,10,0,0,1.14083616989102,-18.2367446509864,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,SUNY Old Westbury,State University of NY at Old Westbury,Johnny Consenza,,,30436,1472,ACTIVE,85.69,13.69,13,87.3154258686404,10,0,0,0.965608755262853,-18.2367446509864,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,SUNY Old Westbury,State University of NY at Old Westbury,James Bayley,,,36358,1481,ACTIVE,87.92,15.92,13,89.5461950994097,10,0,0,0.80415585551171,-18.2367446509864,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,St. Joseph's (NY),"St. Joseph's University, New York",Bailey Meyer,,,10080,100000,ACTIVE,78.86,6.86,7,81.1756511679644,6,2,0,5.78517760035331,-20.5016988575248,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,St. Joseph's (NY),"St. Joseph's University, New York",Dominick Glatz,,,11311,100000,ACTIVE,82.14,10.14,7,84.4613654536787,6,2,0,2.40442355453897,-20.5016988575248,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Manhattanville,Manhattanville College,Justin Fernet,,,11409,100000,ACTIVE,85.57,13.57,7,88.024445207572,6,0,0,0.800387965204216,-19.5093070520191,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Manhattanville,Manhattanville College,Corey Popowcer,,,11496,100000,ACTIVE,79.5,7.5,8,82.1577058453326,7,2,1,3.98878210523134,-19.8449831269136,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Farmingdale State,Farmingdale State College,Raymond Howard,,,11924,100000,ACTIVE,82.0,10.0,2,84.5172680603216,1,0,0,1.6887610892934,-9.77222094388477,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Farmingdale State,Farmingdale State College,James Quinlan,,,12825,100000,ACTIVE,76.83,4.83,6,77.6063744751485,3,0,0,9.34534603679127,-10.6699281927595,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Mt. Saint Mary (NY),Mount Saint Mary College New York,Chris Closi,,,13704,100000,ACTIVE,81.57,9.57,7,83.2175041882069,5,0,0,2.55923617913195,-17.2381998709771,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Farmingdale State,Farmingdale State College,CJ Merritt,,,14298,100000,ACTIVE,75.62,3.62,8,76.3144679283288,5,0,0,15.4820815665649,-14.4981927782548,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,St. Joseph's (NY),"St. Joseph's University, New York",Jace Pesce,,,14509,100000,ACTIVE,81.67,9.67,6,84.3864971551375,5,0,0,1.95794116552093,-21.0871737246275,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,SUNY Purchase,State University of NY Purchase College,Christian Miesegaes,,Fourth Year,20469,100000,ACTIVE,82.43,10.43,7,83.9387878334526,6,1,0,2.71800403988124,-21.5980847985409,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Manhattanville,Manhattanville College,William Billequay,,First Year,21321,100000,ACTIVE,84.0,12.0,1,88.0905303096562,1,0,0,0.691203922947609,-22.1947156511745,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,St. Joseph's (NY),"St. Joseph's University, New York",Nick Gentile,,,21492,100000,ACTIVE,79.67,7.67,6,82.3864971551375,5,0,0,3.79328300085368,-21.0871737246275,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Manhattanville,Manhattanville College,Tyler Rolston,,,25149,100000,ACTIVE,90.33,18.33,3,92.377103555901,3,0,0,0.248396182678069,-20.1995779308939,Region II - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Skyline Conference,skyline_conference,Manhattanville,Manhattanville College,John Sacco,,Third Year,25242,100000,ACTIVE,87.0,15.0,1,91.0905303096562,1,0,0,0.326501614323828,-22.1947156511745,Region II - (M) DIII,clippd_scoreboard
