season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2025-26,mlax,Skyline Conference,skyline_conference,Merchant Marine,Owen Behr,Owen,Behr,,724,Owen Behr,"BEHR,OWEN",BEHROWENUSMMA,16,16,,,Merchant Marine,USMMA,0,0,0,0,0,0,7,22,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,32,7,960:00,7,0,1.000,,83,131,0,78,30,48,.634,4.88,,,,,,,,,,,,,,,,,,,14.782474116541335,1,99
2025-26,mlax,Skyline Conference,skyline_conference,Maritime,Nicholas Uzakewicz,Nicholas,Uzakewicz,,478,Nicholas Uzakewicz,"UZAKEWICZ,NICHOLAS",UZAKEWICZNICHOLASMTIME,16,16,,,Maritime,MTIME,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,13,0,27,9,964:00,129,1,1.000,,48,59,0,77,47,30,.814,4.81,,,,,,,,,,,,,,,,,,,14.775414350412646,2,99
2025-26,mlax,Skyline Conference,skyline_conference,Farmingdale State,Adam Giovinco,Adam,Giovinco,,27892,Adam Giovinco,"GIOVINCO,ADAM",GIOVINCOADAMFARMINGD,20,20,,,Farmingdale State,FARMINGD,0,0,0,0,0,0,0,11,0,5,2,0,0,0,0,0,0,0,4,2,0,0,0,0,20,0,12,4,1203:00,98,0,1.000,,71,102,0,78,37,41,.696,3.90,,,,,,,,,,,,,,,,,,,14.358275732957907,3,99
2025-26,mlax,Skyline Conference,skyline_conference,Farmingdale State,Kamryn Gill,Kamryn,Gill,,27892,Kamryn Gill,"GILL,KAMRYN",GILLKAMRYNFARMINGD,20,14,,,Farmingdale State,FARMINGD,0,0,0,0,0,0,3,28,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,22,0,19,4,842:00,4,0,1.000,,73,127,0,74,28,46,.575,3.70,,,,,,,,,,,,,,,,,,,13.362867638538592,4,98
2025-26,mlax,Skyline Conference,skyline_conference,Farmingdale State,Thomas Stock,Thomas,Stock,,27892,Thomas Stock,"STOCK,THOMAS",STOCKTHOMASFARMINGD,20,7,,,Farmingdale State,FARMINGD,0,0,0,0,0,0,0,7,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,22,3,421:00,94,0,1.000,,67,112,0,74,31,43,.598,3.70,,,,,,,,,,,,,,,,,,,13.070187064555991,5,98
2025-26,mlax,Skyline Conference,skyline_conference,Farmingdale State,Andrew Giovinco,Andrew,Giovinco,,27892,Andrew Giovinco,"GIOVINCO,ANDREW",GIOVINCOANDREWFARMINGD,20,20,,,Farmingdale State,FARMINGD,0,0,0,0,0,0,2,23,0,3,6,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0,28,9,1203:00,98,0,1.000,,91,137,0,69,21,48,.664,3.45,,,,,,,,,,,,,,,,,,,13.058370583018899,6,98
2025-26,mlax,Skyline Conference,skyline_conference,Maritime,Ryan Hannaford,Ryan,Hannaford,,478,Ryan Hannaford,"HANNAFORD,RYAN",HANNAFORDRYANMTIME,16,13,,,Maritime,MTIME,0,0,0,0,0,0,1,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,23,6,784:00,97,0,1.000,,65,99,1,61,25,36,.657,3.81,,,,,,,,,,,,,,,,,,,11.413133496117712,7,97
2025-26,mlax,Skyline Conference,skyline_conference,Merchant Marine,Jack Collins,Jack,Collins,,724,Jack Collins,"COLLINS,JACK",COLLINSJACKUSMMA,16,15,,,Merchant Marine,USMMA,0,0,0,0,0,0,0,7,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,43,3,900:00,0,0,1.000,,42,58,0,63,32,31,.724,3.94,,,,,,,,,,,,,,,,,,,11.285785932273292,8,97
2025-26,mlax,Skyline Conference,skyline_conference,Maritime,Connor Tomich,Connor,Tomich,,478,Connor Tomich,"TOMICH,CONNOR",TOMICHCONNORMTIME,16,15,,,Maritime,MTIME,0,0,0,0,0,1,2,3,0,3,2,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,29,10,904:00,129,0,1.000,,60,81,0,58,21,37,.741,3.63,,,,,,,,,,,,,,,,,,,10.548806345374194,9,97
2025-26,mlax,Skyline Conference,skyline_conference,Manhattanville,Michael Swift,Michael,Swift,,382,Michael Swift,"SWIFT,MICHAEL",SWIFTMICHAELMANHATTA,16,15,,,Manhattanville,MANHATTA,0,0,0,0,0,0,2,23,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,22,2,907:00,81,0,1.000,,82,130,0,57,25,32,.631,3.56,,,,,,,,,,,,,,,,,,,10.0405681815106,10,96
