season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Barrancos, Matthew",Matthew,Barrancos,,451,"Barrancos, Matthew","BARRANCOS, MATTHEW",Mount Saint Vincent,CMSV,1178-3117,45,28,8,0,8,0,.025,161,46,50,88,10,266,0,16,40,154,0,0,6,0,48,9,1,7,2,71.5,0,1.11,1.96,1.07,0.20,0.36,1.59,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Schools, Sean",Sean,Schools,,451,"Schools, Sean","SCHOOLS, SEAN",Mount Saint Vincent,CMSV,1178-3110,7,0,9,0,9,0,.000,0,0,0,0,0,1,0,0,1,4,0,0,6,1,5,0,0,0,0,0,0,0.00,0.00,0.71,0.00,0.00,0.00,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Luciano Jr., Yestro",Yestro,Luciano Jr.,,451,"Luciano Jr., Yestro","LUCIANO JR., YESTRO",Mount Saint Vincent,CMSV,1178-3256,82,40,5,0,5,0,.184,234,41,84,6,2,29,0,17,59,246,0,0,7,0,44,40,5,25,15,128.5,0,1.02,0.07,0.54,0.49,0.21,1.57,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Castro, Ethan",Ethan,Castro,,451,"Castro, Ethan","CASTRO, ETHAN",Mount Saint Vincent,CMSV,1178-3353,52,0,2,0,2,0,-.400,5,2,0,4,2,19,0,3,9,42,0,0,23,1,49,0,0,0,0,3,0,0.00,0.08,0.94,0.00,0.06,0.06,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Short, Terrence",Terrence,Short,,451,"Short, Terrence","SHORT, TERRENCE",Mount Saint Vincent,CMSV,1178-3359,52,22,3,0,3,0,.054,168,42,51,4,2,34,0,2,16,113,0,0,9,0,44,7,2,4,3,58,0,0.98,0.08,0.85,0.13,0.04,1.12,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Urtarte, Luis",Luis,Urtarte,,451,"Urtarte, Luis","URTARTE, LUIS",Mount Saint Vincent,CMSV,1178-3501,5,0,6,0,6,0,.059,17,6,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,1.40,0.00,0.00,0.00,0.00,1.40,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Hanna, Tyler",Tyler,Hanna,,451,"Hanna, Tyler","HANNA, TYLER",Mount Saint Vincent,CMSV,1178-3354,82,40,11,0,11,0,.259,363,72,166,8,3,34,0,24,71,252,0,0,11,1,26,39,11,14,25,222,0,2.02,0.10,0.32,0.48,0.29,2.71,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Calderon, Miguel",Miguel,Calderon,,451,"Calderon, Miguel","CALDERON, MIGUEL",Mount Saint Vincent,CMSV,1178-3355,11,0,13,0,13,0,.000,0,0,0,0,0,0,0,0,1,1,0,0,22,3,3,0,0,0,0,0,0,0.00,0.00,0.27,0.00,0.00,0.00,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Ferrer, Christian",Christian,Ferrer,,451,"Ferrer, Christian","FERRER, CHRISTIAN",Mount Saint Vincent,CMSV,1178-3493,83,27,4,0,4,0,.143,84,13,25,681,30,1714,0,23,59,309,0,0,14,0,103,16,6,8,8,60,0,0.30,8.20,1.24,0.19,0.28,0.72,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,Mount Saint Vincent,"Dominguez, Jose",Jose,Dominguez,,451,"Dominguez, Jose","DOMINGUEZ, JOSE",Mount Saint Vincent,CMSV,1178-3495,80,37,7,0,7,0,.197,639,137,263,16,2,84,0,49,75,308,0,0,433,21,115,22,2,14,8,327,0,3.29,0.20,1.44,0.28,0.61,4.09,,,,,,
