season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,global_rank,rating,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip,pitching_stats_strike_percentage
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,MUW,Chase Marshall,Chase,Marshall,,431,Chase Marshall,0,0MUW,21,21,,,69,19,28,25,4,1,4,19,0,5,10,3,2,0,1,1,0,0,0,5,0,5,0,0.553,46,95,2,1.000,.406,.667,30,48,7,0,0,0,0,13,0,85,.918,0,.000,,4,2,21,10,"11,28",0.39,11,28,"16,45",0.36,16,45,"12,36",0.33,12,36,"3,10",0.30,3,10,0,0,0,0,"10,14","5,19","26,52",48,0,0,0,0,0,0,0,4,25,0,,MUW,MUW,3082-1049,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.817914322243519,1,99,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,MUW,Zach Johnson,Zach,Johnson,,431,Zach Johnson,0,0MUW,20,20,,,86,30,36,25,6,2,4,8,0,4,14,3,8,1,1,2,0,0,0,0,0,1,0,0.480,58,101,9,.889,.419,.674,65,3,4,0,0,0,0,4,0,72,.944,0,.000,,4,2,15,20,"9,31",0.29,9,31,"24,57",0.42,24,57,"15,37",0.41,15,37,"3,9",0.33,3,9,0,0,0,0,"6,12","9,14","38,65",33,0,0,0,0,0,0,0,5,19,0,,MUW,MUW,3082-840,False,2,1,0,0,0,0,0,0,0,0,2.0,1,1,1,4,1,0,0,4.50,8,9,1,0,0,0,0,0,0,2,.250,2,0,0,"0,1","1,3","1,1",0,"0,1",9.90875298853144,2,99,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Spalding,Caleb Coffey,Caleb,Coffey,,23260,Caleb Coffey,0,0SPALDING,19,19,,,76,16,31,24,4,0,5,5,0,1,10,3,4,1,1,0,0,0,0,2,2,3,0,0.451,50,83,5,.800,.408,.658,34,0,1,0,0,0,0,0,0,35,.971,0,.000,,2,1,21,14,"8,21",0.38,8,21,"17,43",0.40,17,43,"12,30",0.40,12,30,"3,4",0.75,3,4,0,0,0,0,"8,13","8,10","28,47",14,0,0,0,0,0,0,0,8,7,0,,Spalding,SPALDING,926-1363,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55929464745726,3,99,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Lyon,Braden Bramlett,Braden,Bramlett,,22989,Braden Bramlett,0,0LYON,17,17,,,56,17,23,16,4,2,3,9,0,10,11,4,5,0,0,1,0,0,0,0,1,0,0,0.553,40,76,5,1.000,.411,.714,25,1,0,0,0,0,0,0,0,26,1.000,0,.000,,2,0,6,15,"9,21",0.43,9,21,"10,28",0.36,10,28,"8,22",0.36,8,22,"2,5",0.40,2,5,0,0,0,0,"9,14","4,8","23,37",3,0,0,0,0,0,0,0,5,8,0,,Lyon,LYON,783-5051,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.265536226096547,4,98,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Warren, Caleb",Caleb,Warren,,1450,"Warren, Caleb",0,0WEST,19,17,,,64,12,27,22,8,0,2,8,0,1,11,3,3,0,1,1,0,0,0,0,0,0,0,0.486,41,75,3,1.000,.422,.641,89,8,2,0,0,33,5,1,0,99,.980,38,.868,,3,3,13,11,"14,25",0.56,14,25,"21,38",0.55,21,38,"15,25",0.60,15,25,"3,4",0.75,3,4,"3,5",0.60,3,5,"4,13","4,10","33,45",69,0,0,0,0,0,0,0,10,8,0,,Westminster,WEST,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.995393154994426,5,98,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Greenville,Snyder Pennington,Snyder,Pennington,,1111,Snyder Pennington,0,0GREENVIL,20,20,,,69,16,25,21,2,0,3,21,1,3,10,3,1,0,0,3,0,0,0,0,0,1,0,0.510,36,96,1,1.000,.362,.522,171,16,3,0,0,0,0,9,0,190,.984,0,.000,,3,4,16,16,"4,20",0.20,4,20,"18,36",0.50,18,36,"11,23",0.48,11,23,"1,6",0.17,1,6,0,0,0,0,"6,17","10,13","38,47",24,0,0,0,0,0,0,0,9,8,0,,Greenville,GREENVIL,1227-134,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.688345103103989,6,98,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,MUW,Baron Brack,Baron,Brack,,431,Baron Brack,0,0MUW,21,21,,,81,19,31,23,7,1,2,11,1,3,15,4,3,2,1,0,0,0,0,2,0,3,0,0.474,46,96,5,.600,.383,.568,10,1,1,0,0,0,0,0,0,12,.917,0,.000,,5,5,18,13,"7,18",0.39,7,18,"24,54",0.44,24,54,"18,42",0.43,18,42,"5,13",0.38,5,13,0,0,0,0,"4,10","6,11","43,61",39,0,0,0,0,0,0,0,6,17,0,,MUW,MUW,3082-810,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.589763145003024,7,97,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,MUW,Matthew Windham,Matthew,Windham,,431,Matthew Windham,0,0MUW,21,21,,,95,27,34,23,7,0,4,4,0,7,15,5,1,1,2,1,0,0,0,0,0,1,0,0.421,53,109,2,.500,.358,.558,50,3,0,0,0,0,0,0,0,53,1.000,0,.000,,2,6,22,24,"6,23",0.26,6,23,"17,48",0.35,17,48,"10,31",0.32,10,31,"4,13",0.31,4,13,0,0,0,0,"14,35","8,13","32,55",51,0,0,0,0,0,0,0,10,21,0,,MUW,MUW,3082-678,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.454833241947963,8,97,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Lyon,Tyler Hahn,Tyler,Hahn,,22989,Tyler Hahn,0,0LYON,17,14,,,51,14,19,17,5,1,2,7,0,2,8,4,1,0,0,1,0,0,0,1,0,1,0,0.459,32,61,1,1.000,.373,.627,13,28,8,0,0,0,0,0,0,49,.837,0,.000,,1,1,11,13,"7,18",0.39,7,18,"11,35",0.31,11,35,"8,22",0.36,8,22,"4,5",0.80,4,5,0,0,0,0,"6,9","5,7","22,40",34,0,0,0,11,0,0,0,6,12,0,,Lyon,LYON,783-5407,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.763418582694387,9,97,batting,,,
2026-27,baseball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Lyon,Eli Marcotte,Eli,Marcotte,,22989,Eli Marcotte,0,0LYON,17,17,,,55,22,18,18,1,1,3,13,0,6,12,2,11,1,1,0,0,0,0,2,1,2,0,0.500,30,75,12,.917,.327,.545,36,3,2,2,0,5,1,1,0,41,.951,6,.833,,1,3,11,13,"6,18",0.33,6,18,"10,27",0.37,10,27,"8,22",0.36,8,22,"1,3",0.33,1,3,0,0,0,0,"12,24","1,5","20,33",3,0,0,0,0,0,0,0,2,17,0,,Lyon,LYON,783-5072,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.654274806706806,10,96,batting,,,
