conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Ledezma, Adryan",0,,0,3,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,177:00,0,.00,.00,15,0,0,2,0,.889,0.51,8,1,176:18,3,3,.33,0.889,.000,2.67
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Rangel, Gabriel",0,,1,15,15,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,1364:00,0,.00,.00,150,3,4,8,5,.723,1.21,47,18,1344:33,15,15,1.20,0.723,.333,3.13
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Williams, Austin",0,,44,1,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,14:00,0,.00,.00,1,0,0,0,0,0.0,6.43,0,1,14:15,0,1,1.00,0.000,.000,.00
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Polonia, Francisco",0,,45,5,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.20,.00,.00,.00,0,,277:00,0,.00,.00,26,0,3,0,0,.625,1.94,10,6,278:25,2,5,1.20,0.625,.000,2.00
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Scudder, Lance",0,,92,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Eckhart, Josh",0,,93,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Arruda Santos Megale, Henrique",0,,99,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Prater, Taylor",0,,2,6,2,0,0,1,1,2,0,1,0,0,.17,.17,.33,.167,.000,0,0,0,0,0,1,0,.000,2,0,2,0,.33,.33,.00,.00,0,,163:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Mcmurdo, Jake",0,,3,19,9,0,0,0,4,1,1,0,0,0,.21,.00,.05,.000,.053,0,0,0,0,0,0,0,.000,6,0,1,0,.32,.05,.00,.00,0,,874:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Roter dos Santos, Deigo",0,,4,2,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,146:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Fernandez, Salvador",0,,5,20,12,0,0,6,10,2,0,1,0,0,.50,.30,.10,.050,.000,5,0,0,0,1,0,0,.000,14,0,1,0,.70,.05,.00,.00,0,,1168:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"De La Rosa, Cristian",0,,6,20,18,0,0,4,15,3,1,1,0,0,.75,.20,.15,.050,.050,3,1,0,0,0,1,0,.000,10,0,0,0,.50,.00,.00,.00,0,,1533:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Nunes, Matheus",0,,7,20,20,0,0,28,63,30,10,10,2,1,3.15,1.40,1.50,.500,.500,18,0,1,0,3,4,2,.100,29,0,1,0,1.45,.05,.00,.00,0,,1667:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Rangel, Micah",0,,8,18,17,0,0,3,12,2,0,1,0,0,.67,.17,.11,.056,.000,2,0,0,0,0,1,0,.000,10,0,3,0,.56,.17,.00,.00,0,,1094:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Torres, Lucca",0,,9,20,18,0,0,26,53,32,8,12,2,2,2.65,1.30,1.60,.600,.400,14,0,1,1,3,5,3,.150,13,0,0,0,.65,.00,.00,.00,0,,1532:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Barros, Joao",0,,10,20,19,0,0,18,32,14,2,6,0,0,1.60,.90,.70,.300,.100,12,0,1,0,1,3,1,.050,15,0,2,0,.75,.10,.00,.00,0,,1482:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Donadon, Tiago",0,,11,20,13,0,0,14,31,16,2,7,0,0,1.55,.70,.80,.350,.100,7,0,0,0,1,0,2,.100,14,0,1,0,.70,.05,.00,.00,0,,1159:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Magnanelli, Roman",0,,12,11,7,0,0,0,3,0,0,0,0,0,.27,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,9,0,0,0,.82,.00,.00,.00,0,,641:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Carmona, Diego",0,,13,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,msoc,Lyon,"Ragan, Traviss",0,,14,20,9,0,0,4,9,0,0,0,0,0,.45,.20,.00,.000,.000,4,0,0,0,0,0,0,.000,4,0,0,0,.20,.00,.00,.00,0,,899:00,0,.00,.00,,,,,,,,,,,,,,,,
