season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Ascencio Garcia, Rafa",Rafa,Ascencio Garcia,,555,"Ascencio Garcia, Rafa","ASCENCIO GARCIA,RAFA",Principia,PRIN,1258-2401,0,0,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Cartagena, Edgar",Edgar,Cartagena,,555,"Cartagena, Edgar","CARTAGENA,EDGAR",Principia,PRIN,1258-2519,1,1,30,0,30,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,1.00,.00,.00,0,,90:00,0,.00,.00,,11,0,0,1,1,1.000,0.00,8,0,90:00,1,1,.00,1.000,1.000,8.00
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Rocchi, Pedro",Pedro,Rocchi,,555,"Rocchi, Pedro","ROCCHI,PEDRO",Principia,PRIN,1258-2598,1,1,2,0,2,0,0,0,2,0,0,0,0,0,2.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,1,0,1.00,1.00,.00,.00,0,,85:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Seperia, Amri",Amri,Seperia,,555,"Seperia, Amri","SEPERIA,AMRI",Principia,PRIN,1258-2527,0,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Thomas, Shepherd",Shepherd,Thomas,,555,"Thomas, Shepherd","THOMAS,SHEPHERD",Principia,PRIN,1258-2599,1,0,4,0,4,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,47:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Castro, Sebastian",Sebastian,Castro,,555,"Castro, Sebastian","CASTRO,SEBASTIAN",Principia,PRIN,1258-2520,1,1,5,0,5,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,2,0,0,0,2.00,.00,.00,.00,0,,78:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Meier, Tyler",Tyler,Meier,,555,"Meier, Tyler","MEIER,TYLER",Principia,PRIN,1258-2600,1,1,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,71:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Salazar, Eduardo",Eduardo,Salazar,,555,"Salazar, Eduardo","SALAZAR,EDUARDO",Principia,PRIN,1258-2526,1,0,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,07:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Peng, Travis",Travis,Peng,,555,"Peng, Travis","PENG,TRAVIS",Principia,PRIN,1258-2601,1,0,8,0,8,0,0,2,2,0,0,0,0,0,2.00,2.00,.00,.000,.000,2,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,55:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Ejimadu, Eziuche",Eziuche,Ejimadu,,555,"Ejimadu, Eziuche","EJIMADU,EZIUCHE",Principia,PRIN,1258-2521,1,0,9,0,9,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,15:00,0,.00,.00,,,,,,,,,,,,,,,,,
