season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Grinnell,Grinnell College,Vidushi Keni,,,13211,65,ACTIVE,75.1,3.1,20,75.147369225739,8,2,1,28.1510074443285,-17.1990703715894,Central - (W) DIII,clippd_scoreboard,31,94,42.169759445471
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Grinnell,Grinnell College,Kavya Keshav,,,19493,99,ACTIVE,76.1,4.1,20,76.147369225739,8,1,1,21.8810382135428,-17.1990703715894,Central - (W) DIII,clippd_scoreboard,60,94,29.9155084296342
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Grinnell,Grinnell College,Emily Lackershire,,Fourth Year,24808,100000,ACTIVE,76.2,4.2,10,76.553298902621,4,0,0,20.1232084427865,-20.2575614550778,Central - (W) DIII,clippd_scoreboard,61,94,29.2304260606735
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Lake Forest,Lake Forest College,Gabrielle Krebs,,,21748,100000,ACTIVE,77.8,5.8,10,79.6802836828849,5,3,0,10.3104018018215,-27.7969097678243,Central - (W) DIII,clippd_scoreboard,117,92,18.9505334014178
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Grinnell,Grinnell College,Waverly Yang,,Third Year,33576,150,ACTIVE,78.15,6.15,20,78.197369225739,8,0,0,15.2832771172479,-17.1990703715894,Central - (W) DIII,clippd_scoreboard,126,92,17.8149169297101
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Grinnell,Grinnell College,Amy Nguyen,,,25839,173,ACTIVE,78.39,6.39,18,78.7008989596352,7,0,0,13.2609496902997,-17.8283313497155,Central - (W) DIII,clippd_scoreboard,142,91,16.3779226985433
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Illinois College,Illinois College,Macie Petropoulos,,Second Year,5148,100000,ACTIVE,79.73,7.73,11,83.1111420318512,6,4,0,4.01301570657671,-30.7015130004609,Central - (W) DIII,clippd_scoreboard,221,89,10.0254693152212
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Grinnell,Grinnell College,Saya Geisendorfer,,Fourth Year,22951,311,ACTIVE,80.47,8.47,15,80.9362906127229,6,0,0,6.42793354817866,-18.5372895227581,Central - (W) DIII,clippd_scoreboard,279,87,7.61843937049041
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Lake Forest,Lake Forest College,Libby Hearst,,Third Year,33592,100000,ACTIVE,80.64,8.64,11,79.8838481307761,7,3,1,9.2086048097196,-27.3932847890296,Central - (W) DIII,clippd_scoreboard,287,87,7.31127532261065
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Lake Forest,Lake Forest College,Sydney Foulon,,,15012,348,ACTIVE,80.92,8.92,12,82.0473801330112,9,5,1,5.09996081121183,-28.7244025827311,Central - (W) DIII,clippd_scoreboard,302,86,6.79855670750566
