season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,composite_score,global_rank,rating
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Blackburn,"Sidwell, Maddie",Maddie,Sidwell,,64,"Sidwell, Maddie","SIDWELL, MADDIE",Blackburn,BLACKB,0,4,2,20,0,20,0,,,,,,,3.00,0.00,0.00,0.75,0.00,3.50,.474,19,3,12,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,1,14,0,7.454749648606119,1,99
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Greenville,"Grohmann, Abby",Abby,Grohmann,,1111,"Grohmann, Abby","GROHMANN, ABBY",Greenville,GRNVLU,1227-2302,14,3,25,0,25,0,,,,,,,3.71,0.21,2.79,0.14,0.21,4.00,.212,156,19,52,3,2,27,0,3,0,59,0,0,78,6,39,2,0,2,0,56,2,7.2085460911084915,2,99
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Blackburn,"Padgett, Abigail",Abigail,Padgett,,64,"Padgett, Abigail","PADGETT, ABIGAIL",Blackburn,BLACKB,0,4,1,7,0,7,0,,,,,,,2.50,0.25,1.25,0.50,0.75,3.50,.308,26,2,10,1,0,5,0,3,1,20,0,0,0,0,5,2,0,2,0,14,0,7.032761195362486,3,99
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Spalding,"Martinez, Paloma",Paloma,Martinez,,23260,"Martinez, Paloma","MARTINEZ, PALOMA",Spalding,SU,926-1518,7,2,12,0,12,0,,,,,,,2.29,0.00,0.00,0.86,0.43,3.29,.333,39,3,16,0,0,4,0,3,4,10,0,0,1,0,0,6,0,4,2,23,0,6.947519606888886,4,98
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Lyon,Keeley Beary,Keeley,Beary,,22989,Keeley Beary,"BEARY,KEELEY",Lyon,LC,783-5185,20,8,21,0,21,0,,,,,,,2.65,0.00,0.30,0.65,0.20,3.25,.324,105,19,53,0,0,9,0,4,2,39,0,0,2,0,6,13,3,10,3,65,0,6.358549728988705,5,98
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Spalding,"Minnis, Kylie",Kylie,Minnis,,23260,"Minnis, Kylie","MINNIS, KYLIE",Spalding,SU,926-1652,7,2,17,0,17,0,,,,,,,3.86,0.00,0.71,0.14,0.00,3.93,.234,64,12,27,0,2,5,0,0,0,0,0,0,19,1,5,1,0,1,0,27.5,0,5.62732910461648,6,98
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"Stith, Keliah",Keliah,Stith,,218,"Stith, Keliah","STITH, KELIAH",Eureka,EUREKA,0,1,0,12,0,12,0,,,,,,,0.00,7.00,2.00,0.00,4.00,4.00,.000,1,0,0,7,0,13,0,4,0,9,0,0,0,0,2,0,0,0,0,4,0,5.558846364495265,7,97
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Greenville,"Company, Alyssa",Alyssa,Company,,1111,"Company, Alyssa","COMPANY, ALYSSA",Greenville,GRNVLU,1227-3003,14,3,9,0,9,0,,,,,,,1.86,0.00,0.71,0.86,0.00,2.39,.206,68,12,26,0,0,11,0,0,0,0,0,0,0,0,10,12,0,9,3,33.5,0,5.450918301115692,8,97
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Blackburn,"Giles, Kharma",Kharma,Giles,,64,"Giles, Kharma","GILES, KHARMA",Blackburn,BLACKB,0,3,0,14,0,14,0,,,,,,,2.33,0.33,2.67,0.33,0.00,2.67,.235,17,3,7,1,0,1,0,0,1,4,0,0,15,3,8,1,0,0,1,8.0,1,5.365464920844118,9,97
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Spalding,"Anderson, Adreonna",Adreonna,Anderson,,23260,"Anderson, Adreonna","ANDERSON, ADREONNA",Spalding,SU,926-1515,6,2,16,0,16,0,,,,,,,2.50,0.17,0.33,0.50,0.00,2.92,.367,30,4,15,1,1,5,0,0,0,0,0,0,0,0,2,3,1,1,2,17.5,0,5.243928117767541,10,96
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Sansone, Mackenzie",Mackenzie,Sansone,,1450,"Sansone, Mackenzie","SANSONE, MACKENZIE",Westminster,WESTMO,1216-1658,21,10,2,0,2,0,,,,,,,2.29,0.00,1.62,0.43,0.05,2.55,.243,136,15,48,0,1,27,0,1,1,34,0,0,7,0,34,9,0,9,0,53.5,0,5.1023982845739795,11,96
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"LaBrayere, Ava",Ava,LaBrayere,,218,"LaBrayere, Ava","LABRAYERE, AVA",Eureka,EUREKA,0,1,0,8,0,8,0,,,,,,,4.00,0.00,0.00,0.00,0.00,4.00,.250,8,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4.7505146940857905,12,96
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Spalding,"Reynolds, Sophi",Sophi,Reynolds,,23260,"Reynolds, Sophi","REYNOLDS, SOPHI",Spalding,SU,926-1520,7,2,23,0,23,0,,,,,,,1.29,5.14,2.29,0.43,0.86,2.43,.079,38,6,9,36,1,93,0,6,7,27,0,0,0,0,16,3,0,2,1,17,0,4.674319628396714,13,95
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Blackburn,"Painter, Gina",Gina,Painter,,64,"Painter, Gina","PAINTER, GINA",Blackburn,BLACKB,0,4,0,17,0,17,0,,,,,,,1.00,0.00,0.00,1.25,0.00,1.88,.059,17,3,4,0,0,2,0,0,0,0,0,0,0,0,0,5,0,3,2,7.5,0,4.666606742912581,14,95
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Hansen, Samantha",Samantha,Hansen,,1450,"Hansen, Samantha","HANSEN, SAMANTHA",Westminster,WESTMO,1216-1724,21,10,7,0,7,0,,,,,,,1.43,0.00,0.57,0.86,0.05,2.00,.189,90,13,30,0,1,4,0,1,4,34,0,0,1,0,12,18,1,14,4,42,0,4.632246545282559,15,94
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Blackburn,"Appel, Ella",Ella,Appel,,64,"Appel, Ella","APPEL, ELLA",Blackburn,BLACKB,0,4,2,12,0,12,0,,,,,,,2.50,0.00,3.75,0.00,0.00,2.50,.103,29,7,10,0,0,5,0,0,1,11,0,0,24,3,15,0,0,0,0,10,0,4.3827880947510724,16,94
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Blackburn,"Black, Rylea",Rylea,Black,,64,"Black, Rylea","BLACK, RYLEA",Blackburn,BLACKB,0,3,1,10,0,10,0,,,,,,,1.67,0.00,1.33,0.67,0.00,2.00,.095,21,3,5,0,0,1,0,0,2,11,0,0,0,0,4,2,0,2,0,6.0,0,4.248700350416602,17,94
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Overturf, Kellie",Kellie,Overturf,,1450,"Overturf, Kellie","OVERTURF, KELLIE",Westminster,WESTMO,1216-1727,21,10,34,0,34,0,,,,,,,1.05,0.05,0.19,0.81,0.00,1.45,.375,48,4,22,1,0,9,0,0,0,0,0,0,0,0,4,17,2,17,0,30.5,0,4.1403198678139335,18,93
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Greenville,"Reckling, Makenna",Makenna,Reckling,,1111,"Reckling, Makenna","RECKLING, MAKENNA",Greenville,GRNVLU,1227-2613,14,3,4,0,4,0,,,,,,,1.86,0.00,0.79,0.43,0.00,2.07,.358,53,7,26,0,0,5,0,0,0,0,0,0,0,0,11,6,0,6,0,29,1,4.13123800301993,19,93
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"Loesch, Alena",Alena,Loesch,,218,"Loesch, Alena","LOESCH, ALENA",Eureka,EUREKA,0,8,4,26,0,26,0,,,,,,,2.38,0.13,1.25,0.13,0.25,2.69,.269,52,5,19,1,0,5,0,2,4,14,0,0,22,1,10,1,0,1,0,21.5,0,4.048169941340785,20,93
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Rowland, Paige",Paige,Rowland,,1450,"Rowland, Paige","ROWLAND, PAIGE",Westminster,WESTMO,1216-1657,21,4,3,0,3,0,,,,,,,1.95,0.14,0.86,0.67,0.00,2.33,.006,181,40,41,3,0,9,0,0,2,8,0,0,49,6,18,14,1,12,2,49,0,4.011326195545162,21,92
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Westminster,"Vogel, Erica",Erica,Vogel,,1450,"Vogel, Erica","VOGEL, ERICA",Westminster,WESTMO,1216-1916,21,10,10,0,10,0,,,,,,,2.57,0.10,0.71,0.33,0.00,2.74,.126,190,30,54,2,0,11,0,0,1,3,0,0,51,7,15,7,1,7,0,57.5,0,3.8667005436286366,22,92
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Blackburn,"Ward, Rean",Rean,Ward,,64,"Ward, Rean","WARD, REAN",Blackburn,BLACKB,0,3,1,18,0,18,0,,,,,,,2.33,0.00,3.00,0.00,0.00,2.33,.167,24,3,7,0,0,4,0,0,0,10,0,0,30,3,9,0,0,0,0,7.0,0,3.7957213803471976,23,92
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Spalding,"Hagan, Presley",Presley,Hagan,,23260,"Hagan, Presley","HAGAN, PRESLEY",Spalding,SU,926-1393,4,0,4,0,4,0,,,,,,,1.00,0.00,1.25,0.25,1.50,2.63,.040,25,3,4,0,1,2,0,6,0,17,0,0,2,0,5,1,0,1,0,10.5,0,3.552897743148881,24,91
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Greenville,"Webber, Keira",Keira,Webber,,1111,"Webber, Keira","WEBBER, KEIRA",Greenville,GRNVLU,1227-3010,5,1,3,0,3,0,,,,,,,1.40,0.00,0.20,0.40,0.00,1.60,.538,13,0,7,0,1,3,0,0,0,10,0,0,0,0,1,2,0,2,0,8.0,0,3.5043135274671604,25,91
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Greenville,"Slusser, Brooklynn",Brooklynn,Slusser,,1111,"Slusser, Brooklynn","SLUSSER, BROOKLYNN",Greenville,GRNVLU,1227-2616,10,3,11,0,11,0,,,,,,,1.50,0.20,0.70,0.70,0.10,2.05,.015,66,14,15,2,0,8,0,1,5,31,0,0,16,5,7,7,0,5,2,20.5,2,3.479591864678015,26,91
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Principia,"Galinis, Dana",Dana,Galinis,,555,"Galinis, Dana","GALINIS, DANA",Principia,Princ,1258-2372,10,4,22,0,22,0,,,,,,,1.40,0.70,2.30,0.40,0.10,1.85,-.034,88,17,14,7,1,35,0,1,5,22,0,0,42,14,23,4,0,1,3,18.5,0,2.9037645904821,27,90
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Greenville,"Ratermann, Emma",Emma,Ratermann,,1111,"Ratermann, Emma","RATERMANN, EMMA",Greenville,GRNVLU,1227-2304,9,2,30,0,30,0,,,,,,,0.78,10.00,1.78,0.44,0.33,1.33,.172,29,2,7,90,2,237,0,3,0,28,0,0,1,0,16,4,0,4,0,12,0,2.900884511268286,28,90
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Greenville,"Downey, Sierrah",Sierrah,Downey,,1111,"Downey, Sierrah","DOWNEY, SIERRAH",Greenville,GRNVLU,1227-2612,14,2,1,0,1,0,,,,,,,2.07,0.14,0.43,0.14,0.00,2.21,.354,65,6,29,2,1,7,0,0,0,0,0,0,0,0,6,2,0,0,2,31,1,2.8543018047897077,29,90
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Howe,Reagan",Reagan,Howe,,759,"Howe,Reagan","HOWE,REAGAN",Webster,WEBSTER,1259-2432,11,5,06,0,06,0,,,,,,,2.00,0.09,0.64,0.18,0.00,2.14,.298,57,5,22,1,1,3,0,0,0,0,0,0,1,0,7,2,0,1,1,23.5,0,2.8480124607442985,30,89
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"Alvarado, Joslyn",Joslyn,Alvarado,,218,"Alvarado, Joslyn","ALVARADO, JOSLYN",Eureka,EUREKA,0,9,4,11,0,11,0,,,,,,,1.33,0.11,0.56,0.22,0.67,2.11,.250,36,3,12,1,0,5,0,6,0,28,0,0,1,0,5,2,0,2,0,19,0,2.835126724517862,31,89
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Tarlos,Eva",Eva,Tarlos,,759,"Tarlos,Eva","TARLOS,EVA",Webster,WEBSTER,1259-2230,12,5,15,0,15,0,,,,,,,1.67,0.00,0.33,0.42,0.08,2.00,.158,57,11,20,0,0,1,0,1,1,21,0,0,1,0,4,5,0,4,1,24,1,2.7404657358754063,32,89
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"Kolff, Kendall",Kendall,Kolff,,218,"Kolff, Kendall","KOLFF, KENDALL",Eureka,EUREKA,0,9,0,23,0,23,0,,,,,,,2.22,0.22,0.89,0.00,0.33,2.56,.175,63,9,20,2,0,5,0,3,5,18,0,0,34,0,8,0,0,0,0,23,0,2.659008651144442,33,88
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"Breen, Emma",Emma,Breen,,218,"Breen, Emma","BREEN, EMMA",Eureka,EUREKA,0,3,0,13,0,13,0,,,,,,,1.67,0.33,0.33,0.33,0.00,1.83,.273,11,2,5,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,5.5,0,2.6494748208573147,34,88
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"McGrath,Leah",Leah,McGrath,,759,"McGrath,Leah","MCGRATH,LEAH",Webster,WEBSTER,1259-2228,9,4,13,0,13,0,,,,,,,1.78,0.11,2.22,0.11,0.22,2.06,.026,78,14,16,1,0,3,0,2,1,16,0,0,51,6,20,1,0,1,0,18.5,0,2.603517165599282,35,88
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Rennier,Catherine",Catherine,Rennier,,759,"Rennier,Catherine","RENNIER,CATHERINE",Webster,WEBSTER,1259-2323,12,5,10,0,10,0,,,,,,,1.08,0.00,0.50,0.58,0.33,1.75,.024,42,12,13,0,0,2,0,4,4,27,0,0,8,0,6,7,1,6,1,21,0,2.5037329130131325,36,87
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"Grieff, Colby",Colby,Grieff,,218,"Grieff, Colby","GRIEFF, COLBY",Eureka,EUREKA,0,3,0,5,0,5,0,,,,,,,1.33,0.33,1.00,0.33,0.00,1.67,.250,8,2,4,1,0,1,0,0,0,1,0,0,5,0,3,1,0,0,1,5,0,2.474222749127188,37,87
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Eureka,"Sharp, Jessica",Jessica,Sharp,,218,"Sharp, Jessica","SHARP, JESSICA",Eureka,EUREKA,0,9,0,16,0,16,0,,,,,,,0.78,3.22,1.33,0.00,0.56,1.33,.545,11,1,7,29,0,84,0,5,9,33,0,0,0,0,12,0,0,0,0,12,0,2.458138797480469,38,87
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Spalding,"Terpening, Tia",Tia,Terpening,,23260,"Terpening, Tia","TERPENING, TIA",Spalding,SU,926-1519,7,0,22,0,22,0,,,,,,,0.14,0.00,3.14,0.00,0.43,0.57,.500,2,0,1,0,0,7,0,3,4,32,0,0,25,5,22,0,0,0,0,4,0,2.2974139640586646,39,86
2026-27,wvball,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Lyon,Morgan Harrelson,Morgan,Harrelson,,22989,Morgan Harrelson,"HARRELSON,MORGAN",Lyon,LC,783-5186,19,8,24,0,24,0,,,,,,,1.79,0.05,0.05,0.42,0.00,2.16,.079,101,26,34,1,0,4,0,0,0,1,0,0,5,1,1,8,0,2,6,41,0,2.2691465459956452,40,86
