rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,L Johnson Jr.,18,33.4,19.8,12.0,3.2,2.6,2.0,4.1,10.334877764553132,2.624609645220974,3.862128460220427,1.8150065655459702,3.2584286269388736,4.711155190808683,3.59140994099884
2,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,R Welch,25,37.6,26.1,8.2,4.2,1.6,0.2,3.5,9.88360599771157,4.060551789804154,2.0718538775253412,2.881927718225078,1.3637372008621789,-0.3080245995366999,2.7912512494809643
3,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,A Coston,27,30.4,14.9,7.9,3.3,0.9,1.1,1.6,6.625659008594356,1.5077657549896115,1.9305164104704664,1.9216986808138805,0.03745320260849253,2.2015652956359917,0.25741539300768923
4,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,D Judd,28,30.0,18.1,9.0,1.4,0.9,0.9,2.8,5.469057689894415,2.2371331935080523,2.448753789671675,-0.10545150927642385,0.03745320260849253,1.6438786522642823,1.8577327760434414
5,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,K Arcuri,23,31.2,13.2,7.1,2.8,1.0,0.4,1.2,4.758988010774602,1.1202893032766896,1.553616498324132,1.3882381044743268,0.22692234521616195,0.2496620438350093,-0.27602373467089514
6,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,M Garza,25,33.9,16.3,5.4,1.8,1.4,0.4,1.9,4.4967775031763555,1.8268640093414295,0.752704185013173,0.32131695179521935,0.9847989156468396,0.2496620438350093,0.6574947387666271
7,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,C LaClair,25,30.8,14.2,7.8,2.3,1.0,0.2,1.5,4.473364654307565,1.3482166278137024,1.8834039214521743,0.8547775281347729,0.22692234521616195,-0.3080245995366999,0.12405561108804306
8,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,M Hancock,25,30.4,13.5,6.6,3.3,1.2,0.4,2.1,4.333551810156694,1.1886675006377936,1.3180540532326734,1.9216986808138805,0.6058606304315007,0.2496620438350093,0.9242143026059195
9,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,L Matthews,26,33.1,16.2,6.3,1.2,1.0,0.2,1.3,4.282239181272073,1.8040712768877278,1.1767165861777984,-0.31883573981224533,0.22692234521616195,-0.3080245995366999,-0.142663952751249
10,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,I Rivera,25,29.9,15.2,7.1,1.8,1.6,1.1,3.5,4.014391568449289,1.576143952350715,1.553616498324132,0.32131695179521935,1.3637372008621789,2.2015652956359917,2.7912512494809643
11,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,J Reese,25,26.4,13.6,5.0,1.8,2.1,0.8,2.4,3.8214444962452383,1.2114602330914948,0.564254228940006,0.32131695179521935,2.3110829139005262,1.3650353305784277,1.3242936483648573
12,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,J McGhee,28,22.9,14.5,3.1,2.1,1.2,0.2,1.1,3.526971643703436,1.4165948251748064,-0.33088306240753684,0.6413932975989517,0.6058606304315007,-0.3080245995366999,-0.409383516590541
13,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,A Foster,28,29.0,10.5,6.6,2.6,1.8,0.3,2.1,2.8721822651019364,0.5048855270267555,1.3180540532326734,1.1748538739385055,1.7426754860775178,-0.029181277850845393,0.9242143026059195
14,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,J Davis,27,28.3,9.7,7.0,2.3,1.1,1.1,2.5,2.440840058505029,0.3225436673971452,1.5065040093058406,0.8547775281347729,0.41639148782383156,2.2015652956359917,1.4576534302845034
15,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,G McLane,28,27.7,8.0,5.6,2.1,2.5,0.6,1.8,2.4308062741139187,-0.06493278431577629,0.8469291630497562,0.6413932975989517,3.068959484331204,0.8073486872067184,0.5241349568469813
16,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,J Works,26,24.4,10.8,3.5,1.7,1.2,0.7,1.1,2.370594792845246,0.5732637243878594,-0.14243310633436995,0.2146248365273085,0.6058606304315007,1.086192008892573,-0.409383516590541
17,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,D Knox,24,28.6,9.0,5.3,2.0,1.0,0.6,1.0,2.145524250290208,0.16299454022123644,0.705591695994881,0.5347011823310408,0.22692234521616195,0.8073486872067184,-0.5427432985101872
18,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,M Sylla,25,28.4,12.1,6.0,2.7,1.7,0.1,3.0,2.144593407619949,0.8695692462859758,1.0353791191229231,1.2815459892064165,1.553206343469848,-0.5868679212225546,2.1244523398827337
19,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,B Streb,24,31.5,10.2,6.5,2.0,0.9,0.8,2.1,2.0988374064218234,0.43650732966565153,1.2709415642143818,0.5347011823310408,0.03745320260849253,1.3650353305784277,0.9242143026059195
20,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,S Bradley,27,28.9,11.4,4.0,2.0,0.8,0.3,1.1,2.0964298073292467,0.710020119110067,0.09312933875708868,0.5347011823310408,-0.1520159399991769,-0.029181277850845393,-0.409383516590541
21,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,A Grainger,26,22.2,10.5,4.2,1.7,1.1,1.2,2.1,2.0001850718663,0.5048855270267555,0.1873543167936722,0.2146248365273085,0.41639148782383156,2.480408617321846,0.9242143026059195
22,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,J Gladney,26,35.8,11.2,3.3,2.9,1.4,0.1,1.8,1.9893173348997844,0.6644346542026642,-0.2366580843709535,1.4949302197422376,0.9847989156468396,-0.5868679212225546,0.5241349568469813
23,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,K Screen,25,28.0,9.8,8.0,1.2,0.5,0.6,1.4,1.9027340078328012,0.34533639985084674,1.977628899488758,-0.31883573981224533,-0.7204233678221853,0.8073486872067184,-0.009304170831603112
24,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,E Sokolowski,20,27.3,8.3,5.5,4.0,1.4,0.1,2.1,1.8943369944225665,0.0034454130453276917,0.7998166740314646,2.668543487689256,0.9847989156468396,-0.5868679212225546,0.9242143026059195
25,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,T Amalfitano,25,27.6,12.0,3.1,1.9,0.9,0.5,1.6,1.838588200581991,0.8467765138322746,-0.33088306240753684,0.42800906706312997,0.03745320260849253,0.5285053655208638,0.25741539300768923
26,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,N Cortez,26,27.3,12.3,3.9,2.2,1.2,0.0,1.8,1.8369477344946794,0.9151547111933785,0.046016849738796904,0.7480854128668626,0.6058606304315007,-0.8657112429084092,0.5241349568469813
27,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,N Cohen,25,22.3,11.0,4.4,1.0,1.2,0.3,1.2,1.5714085697551,0.6188491892952619,0.28157929483025573,-0.5322199703480668,0.6058606304315007,-0.029181277850845393,-0.27602373467089514
28,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,J Moorehead,26,20.3,12.7,2.0,1.5,1.4,0.1,1.5,1.5188564054259936,1.0063256410081833,-0.8491204416087459,0.001240605991487005,0.9847989156468396,-0.5868679212225546,0.12405561108804306
29,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,C Ani,25,25.0,8.2,7.4,0.7,0.6,1.4,1.7,1.4921160934399498,-0.019347319408373906,1.6949539653790076,-0.8522963161517991,-0.530954225214516,3.0380952606935554,0.3907751749273351
30,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,K Haskins,25,24.0,9.1,4.1,3.2,1.1,0.1,1.9,1.1290144129621573,0.18578727267493764,0.14024182777538025,1.8150065655459702,0.41639148782383156,-0.5868679212225546,0.6574947387666271
31,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,B Wingate,24,22.1,10.7,4.2,1.5,1.4,0.2,1.9,1.0453497968596954,0.5504709919341579,0.1873543167936722,0.001240605991487005,0.9847989156468396,-0.3080245995366999,0.6574947387666271
32,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,O DeJesus,24,25.3,8.5,3.0,3.1,1.3,0.0,1.6,0.788161935761251,0.049030877952730076,-0.3779955514258286,1.7083144502780594,0.7953297730391704,-0.8657112429084092,0.25741539300768923
33,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,M Johnson,24,28.7,9.2,6.8,1.3,0.6,0.1,1.6,0.4924114073400367,0.2085800051286388,1.412279031269257,-0.21214362454433447,-0.530954225214516,-0.5868679212225546,0.25741539300768923
34,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,S Williams,25,27.4,10.8,2.3,2.9,0.7,0.0,2.0,0.4612487411009294,0.5732637243878594,-0.7077829745538707,1.4949302197422376,-0.3414850826068465,-0.8657112429084092,0.7908545206862733
35,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,I Austin,26,23.4,10.4,2.7,1.3,1.0,0.0,1.2,0.35357647791917446,0.4820927945730543,-0.5193330184807037,-0.21214362454433447,0.22692234521616195,-0.8657112429084092,-0.27602373467089514
36,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,M Smith,21,22.5,9.4,2.1,1.5,1.2,0.1,1.1,0.28479696532971216,0.2541654700360416,-0.8020079525904541,0.001240605991487005,0.6058606304315007,-0.5868679212225546,-0.409383516590541
37,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,N Raymond,27,20.1,9.3,2.6,2.5,0.7,0.1,1.6,0.1438380346639483,0.23137273758234042,-0.5664455074989955,1.0681617586705947,-0.3414850826068465,-0.5868679212225546,0.25741539300768923
38,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,J Opare,25,21.7,8.6,2.7,2.1,0.9,0.1,1.4,-0.038174606446112425,0.07182361040643126,-0.5193330184807037,0.6413932975989517,0.03745320260849253,-0.5868679212225546,-0.009304170831603112
39,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,T Hardy,25,23.7,10.5,3.6,1.1,0.8,0.3,2.0,-0.0781051020978828,0.5048855270267555,-0.0953206173160782,-0.42552785508015595,-0.1520159399991769,-0.029181277850845393,0.7908545206862733
40,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,F Fowler,27,23.4,7.1,2.6,2.2,1.4,0.1,1.3,-0.09989015962752698,-0.2700673763990878,-0.5664455074989955,0.7480854128668626,0.9847989156468396,-0.5868679212225546,-0.142663952751249
41,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,B Kemokai,25,22.8,7.8,2.2,0.8,1.5,0.3,1.0,-0.26464823455561126,-0.11051824922317888,-0.7548954635721623,-0.7456042008838883,1.1742680582545093,-0.029181277850845393,-0.5427432985101872
42,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,J Singh,25,23.6,8.6,3.2,1.6,1.4,0.2,2.1,-0.38042355970769637,0.07182361040643126,-0.28377057338924505,0.10793272125939786,0.9847989156468396,-0.3080245995366999,0.9242143026059195
43,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,T Keane,26,28.9,4.5,4.2,3.0,1.6,0.1,1.8,-0.5039465097857403,-0.8626784201953208,0.1873543167936722,1.6016223350101484,1.3637372008621789,-0.5868679212225546,0.5241349568469813
44,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,E Strong,25,21.5,6.3,4.0,1.1,0.9,0.4,1.1,-0.6664329969893594,-0.4524092360286979,0.09312933875708868,-0.42552785508015595,0.03745320260849253,0.2496620438350093,-0.409383516590541
45,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,B Brown,25,27.0,6.0,2.6,1.3,1.9,0.2,1.6,-0.9804595590418421,-0.5207874333898017,-0.5664455074989955,-0.21214362454433447,1.932144628685187,-0.3080245995366999,0.25741539300768923
46,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,P Evans,21,19.8,6.1,3.3,2.1,0.5,0.0,1.1,-1.1782352447054667,-0.49799470093610054,-0.2366580843709535,0.6413932975989517,-0.7204233678221853,-0.8657112429084092,-0.409383516590541
47,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,E Baksh,24,24.4,8.8,4.7,1.3,0.8,0.2,2.8,-1.3338471438364659,0.11740907531383406,0.42291676188513083,-0.21214362454433447,-0.1520159399991769,-0.3080245995366999,1.8577327760434414
48,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,C Williams,25,20.2,7.0,2.6,1.4,0.5,0.1,1.1,-1.3821869606983086,-0.292860108852789,-0.5664455074989955,-0.10545150927642385,-0.7204233678221853,-0.5868679212225546,-0.409383516590541
49,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,E Johnson Jr.,24,20.4,6.2,4.7,0.8,0.3,0.5,1.4,-1.4542699513569763,-0.47520196848239915,0.42291676188513083,-0.7456042008838883,-1.0993616530375243,0.5285053655208638,-0.009304170831603112
50,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,C Whyte-Luciano,28,13.7,6.9,1.9,0.6,0.5,0.1,0.4,-1.5092846885456228,-0.3156528413064902,-0.8962329306270377,-0.9589884314197099,-0.7204233678221853,-0.5868679212225546,-1.3429019900280637
