conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,R Welch,R,Welch,25,37.6,26.1,8.2,4.2,1.6,0.2,3.5
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,L Johnson Jr.,L Johnson,Jr.,18,33.4,19.8,12.0,3.2,2.6,2.0,4.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,D Judd,D,Judd,28,30.0,18.1,9.0,1.4,0.9,0.9,2.8
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,M Garza,M,Garza,25,33.9,16.3,5.4,1.8,1.4,0.4,1.9
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,L Matthews,L,Matthews,26,33.1,16.2,6.3,1.2,1.0,0.2,1.3
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,I Rivera,I,Rivera,25,29.9,15.2,7.1,1.8,1.6,1.1,3.5
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,A Coston,A,Coston,27,30.4,14.9,7.9,3.3,0.9,1.1,1.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,J McGhee,J,McGhee,28,22.9,14.5,3.1,2.1,1.2,0.2,1.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,C LaClair,C,LaClair,25,30.8,14.2,7.8,2.3,1.0,0.2,1.5
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,J Reese,J,Reese,25,26.4,13.6,5.0,1.8,2.1,0.8,2.4
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,M Hancock,M,Hancock,25,30.4,13.5,6.6,3.3,1.2,0.4,2.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,K Arcuri,K,Arcuri,23,31.2,13.2,7.1,2.8,1.0,0.4,1.2
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,J Moorehead,J,Moorehead,26,20.3,12.7,2.0,1.5,1.4,0.1,1.5
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,N Cortez,N,Cortez,26,27.3,12.3,3.9,2.2,1.2,0.0,1.8
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,M Sylla,M,Sylla,25,28.4,12.1,6.0,2.7,1.7,0.1,3.0
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,T Amalfitano,T,Amalfitano,25,27.6,12.0,3.1,1.9,0.9,0.5,1.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,S Bradley,S,Bradley,27,28.9,11.4,4.0,2.0,0.8,0.3,1.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,J Gladney,J,Gladney,26,35.8,11.2,3.3,2.9,1.4,0.1,1.8
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,N Cohen,N,Cohen,25,22.3,11.0,4.4,1.0,1.2,0.3,1.2
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,S Williams,S,Williams,25,27.4,10.8,2.3,2.9,0.7,0.0,2.0
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,J Works,J,Works,26,24.4,10.8,3.5,1.7,1.2,0.7,1.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,B Wingate,B,Wingate,24,22.1,10.7,4.2,1.5,1.4,0.2,1.9
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,A Grainger,A,Grainger,26,22.2,10.5,4.2,1.7,1.1,1.2,2.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,T Hardy,T,Hardy,25,23.7,10.5,3.6,1.1,0.8,0.3,2.0
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,A Foster,A,Foster,28,29.0,10.5,6.6,2.6,1.8,0.3,2.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,I Austin,I,Austin,26,23.4,10.4,2.7,1.3,1.0,0.0,1.2
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,B Streb,B,Streb,24,31.5,10.2,6.5,2.0,0.9,0.8,2.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,K Screen,K,Screen,25,28.0,9.8,8.0,1.2,0.5,0.6,1.4
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,J Davis,J,Davis,27,28.3,9.7,7.0,2.3,1.1,1.1,2.5
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,M Smith,M,Smith,21,22.5,9.4,2.1,1.5,1.2,0.1,1.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,N Raymond,N,Raymond,27,20.1,9.3,2.6,2.5,0.7,0.1,1.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,M Johnson,M,Johnson,24,28.7,9.2,6.8,1.3,0.6,0.1,1.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,K Haskins,K,Haskins,25,24.0,9.1,4.1,3.2,1.1,0.1,1.9
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,D Knox,D,Knox,24,28.6,9.0,5.3,2.0,1.0,0.6,1.0
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,E Baksh,E,Baksh,24,24.4,8.8,4.7,1.3,0.8,0.2,2.8
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,J Singh,J,Singh,25,23.6,8.6,3.2,1.6,1.4,0.2,2.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,J Opare,J,Opare,25,21.7,8.6,2.7,2.1,0.9,0.1,1.4
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,O DeJesus,O,DeJesus,24,25.3,8.5,3.0,3.1,1.3,0.0,1.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,E Sokolowski,E,Sokolowski,20,27.3,8.3,5.5,4.0,1.4,0.1,2.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,B Kopp,B,Kopp,16,23.9,8.3,2.0,2.6,0.6,0.0,2.4
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,C Ani,C,Ani,25,25.0,8.2,7.4,0.7,0.6,1.4,1.7
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,G McLane,G,McLane,28,27.7,8.0,5.6,2.1,2.5,0.6,1.8
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,B Kemokai,B,Kemokai,25,22.8,7.8,2.2,0.8,1.5,0.3,1.0
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,E Gbekou,E,Gbekou,25,19.8,7.7,1.4,1.1,0.5,0.0,1.0
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,F Fowler,F,Fowler,27,23.4,7.1,2.6,2.2,1.4,0.1,1.3
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,X Leveille,X,Leveille,27,17.1,7.1,2.3,0.3,0.3,0.5,0.8
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,C Williams,C,Williams,25,20.2,7.0,2.6,1.4,0.5,0.1,1.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,C Whyte-Luciano,C,Whyte-Luciano,28,13.7,6.9,1.9,0.6,0.5,0.1,0.4
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,Z Johnson,Z,Johnson,23,20.9,6.7,2.0,1.1,1.0,0.3,1.5
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,H Shabazz,H,Shabazz,23,19.3,6.6,2.7,1.2,0.9,0.1,1.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,S Booth,S,Booth,26,17.3,6.6,2.8,0.3,0.3,0.0,0.3
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,E Strong,E,Strong,25,21.5,6.3,4.0,1.1,0.9,0.4,1.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,E Johnson Jr.,E Johnson,Jr.,24,20.4,6.2,4.7,0.8,0.3,0.5,1.4
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,D Brooks,D,Brooks,17,18.1,6.2,3.0,0.8,0.4,0.2,1.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,P Evans,P,Evans,21,19.8,6.1,3.3,2.1,0.5,0.0,1.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,B Brown,B,Brown,25,27.0,6.0,2.6,1.3,1.9,0.2,1.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,R Wiggins,R,Wiggins,25,17.5,6.0,1.9,1.2,1.6,0.1,1.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,D McKnight Jr.,D McKnight,Jr.,25,19.0,5.6,2.0,0.6,0.6,0.5,0.9
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,T Borges,T,Borges,26,15.1,5.3,2.9,0.5,0.4,0.4,0.7
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,B Cheng,B,Cheng,16,20.0,5.1,2.8,1.8,0.4,0.1,1.3
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,C Nastasi,C,Nastasi,21,16.3,5.1,2.2,0.7,0.6,0.0,1.3
