season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,University Athletic Association (UAA),uaa,Brandeis,Mano Boutsikakis,Mano,Boutsikakis,,73,Mano Boutsikakis,0,0BRANDEIS,14,9,,,37,7,15,3,2,0,0,4,0,2,5,2,2,1,2,0,0,0,0,0,2,0,0,0.488,17,45,3,.667,.405,.459,1,9,2,0,0,0,0,0,0,12,.833,0,.000,,1,1,9,8,"3,10",0.30,3,10,"7,19",0.37,7,19,"4,11",0.36,4,11,"2,5",0.40,2,5,0,0,0,0,"4,11","2,2","13,22",6,0,0,0,111,0,0,0,5,11,0,,Brandeis,BRANDEIS,1193-1933,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,73.0,batting,,
2026-27,baseball,University Athletic Association (UAA),uaa,Washington St. Louis,Shane Pellegrino,Shane,Pellegrino,,755,Shane Pellegrino,0,0WASHINGT,27,27,,,103,29,44,29,12,4,2,8,0,7,17,4,6,4,0,1,0,0,0,0,0,0,0,0.496,70,119,10,.600,.427,.680,37,75,7,0,0,0,0,8,0,119,.941,0,.000,,1,3,19,24,"11,28",0.39,11,28,"25,52",0.48,25,52,"19,35",0.54,19,35,"7,21",0.33,7,21,0,0,0,0,"10,24","10,14","34,56",47,0,0,0,0,0,0,0,5,21,0,,Washington St. Louis,WASHINGT,1203-2051,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,72.0,batting,,
2026-27,baseball,University Athletic Association (UAA),uaa,Washington St. Louis,Ryan Soong,Ryan,Soong,,755,Ryan Soong,0,0WASHINGT,22,21,,,81,30,37,22,5,1,4,14,0,7,10,0,18,3,0,2,0,0,0,1,2,1,0,0.558,56,104,21,.857,.457,.691,27,1,1,0,0,0,0,0,0,29,.966,0,.000,,1,1,11,24,"11,29",0.38,11,29,"25,54",0.46,25,54,"16,39",0.41,16,39,"10,19",0.53,10,19,0,0,0,0,"8,13","6,8","39,65",2,0,0,0,22,0,0,0,4,20,0,,Washington St. Louis,WASHINGT,1203-2395,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,71.0,batting,,
2026-27,baseball,University Athletic Association (UAA),uaa,Brandeis,Colby Harrington,Colby,Harrington,,73,Colby Harrington,0,0BRANDEIS,10,5,,,25,4,9,4,1,1,0,2,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0.429,12,28,0,.000,.360,.480,1,0,0,0,0,0,0,0,0,1,1.000,0,.000,,0,0,4,5,"2,6",0.33,2,6,"4,15",0.27,4,15,"3,13",0.23,3,13,"1,5",0.20,1,5,0,0,0,0,"3,5","0,4","8,17",4,0,0,0,71,0,0,0,3,4,0,,Brandeis,BRANDEIS,1193-2057,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,70.0,batting,,
2026-27,baseball,University Athletic Association (UAA),uaa,Brandeis,Ben Kuja,Ben,Kuja,,73,Ben Kuja,0,0BRANDEIS,21,20,,,79,23,29,22,5,4,1,17,0,3,10,3,7,1,1,0,0,0,0,0,0,1,0,0.495,45,100,8,.875,.367,.570,15,17,2,0,0,0,0,1,0,34,.941,0,.000,,2,2,24,15,"7,16",0.44,7,16,"19,36",0.53,19,36,"12,26",0.46,12,26,"3,10",0.30,3,10,0,0,0,0,"11,30","6,9","34,46",134,0,0,0,2,0,0,0,6,10,0,,Brandeis,BRANDEIS,1193-2060,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,69.0,batting,,
2026-27,baseball,University Athletic Association (UAA),uaa,Case Western Reserve,"Stillson, Tyler",Tyler,Stillson,,122,"Stillson, Tyler",0,0CWRU,27,27,,,104,20,37,21,10,2,2,14,2,4,8,2,2,1,0,2,0,0,0,3,1,4,0,0.444,57,124,3,.667,.356,.548,25,6,2,0,0,1,4,6,0,33,.939,5,.200,,1,2,24,36,"11,39",0.28,11,39,"22,58",0.38,22,58,"12,40",0.30,12,40,"2,9",0.22,2,9,"2,5",0.40,2,5,"8,15","9,12","35,67",22,0,0,0,0,0,0,0,4,26,0,,Case Western Reserve,CWRU,1195-3306,False,44,1,7,4,2,0,1,0,0,0,44.0,21,17,11,62,10,0,1,3.48,171,186,3,2,0,1,1,0,0,20,.257,34,30,0,"2,5","6,13","2,10",0,"3,8",6,98,68.0,batting,,
2026-27,baseball,University Athletic Association (UAA),uaa,Emory,Jake Lawson,Jake,Lawson,,217,Jake Lawson,0,0EUM,26,26,,,113,39,44,20,10,2,4,17,1,6,13,3,11,1,2,0,0,0,0,1,1,4,0,0.493,70,138,12,.917,.389,.619,76,1,0,0,0,0,0,0,0,77,1.000,0,.000,,6,9,32,19,"9,32",0.28,9,32,"21,54",0.39,21,54,"14,39",0.36,14,39,"4,17",0.24,4,17,0,0,0,0,"27,43","6,12","39,63",69,0,0,0,0,0,0,0,5,23,0,,Emory,EUM,1197-3092,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,67.0,batting,,
2026-27,baseball,University Athletic Association (UAA),uaa,Emory,Ryan Roggin,Ryan,Roggin,,217,Ryan Roggin,0,0EUM,10,4,,,16,5,6,2,1,0,0,4,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0.524,7,21,0,.000,.375,.438,8,6,1,0,0,0,0,2,0,15,.933,0,.000,,0,0,2,2,"0,4",0,0,4,"2,7",0.29,2,7,"1,5",0.20,1,5,"1,2",0.50,1,2,0,0,0,0,"4,7","1,2","4,9",0,0,0,0,4,0,0,0,0,6,0,,Emory,EUM,1197-3554,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,66.0,batting,,
2026-27,baseball,University Athletic Association (UAA),uaa,New York,Harrison Blueweiss,Harrison,Blueweiss,,479,Harrison Blueweiss,0,0NEW YORK,17,17,,,54,15,19,10,2,2,2,12,0,5,6,1,4,2,0,2,0,0,0,0,1,0,0,0.493,31,73,6,.667,.352,.574,26,2,5,0,0,1,0,0,0,33,.848,1,1.000,,1,2,10,15,"2,13",0.15,2,13,"10,22",0.45,10,22,"8,17",0.47,8,17,"1,4",0.25,1,4,0,0,0,0,"12,23","6,8","19,28",4,0,0,0,3,0,0,0,7,10,0,,New York,NEW YORK,1186-5026,False,5,1,1,0,0,0,0,0,0,0,2.1,6,6,3,3,0,0,1,23.14,8,16,0,1,0,1,0,0,0,1,.625,2,1,0,"2,2","4,7","2,2",0,"0,1",9,97,65.0,batting,,
2026-27,baseball,University Athletic Association (UAA),uaa,New York,Domonic Holton,Domonic,Holton,,479,Domonic Holton,0,0NEW YORK,16,16,,,59,14,19,9,4,2,1,5,0,0,11,2,2,1,0,1,0,0,0,0,1,2,0,0.369,30,65,3,.667,.322,.508,21,23,0,0,0,0,0,6,0,44,1.000,0,.000,,0,3,14,14,"2,11",0.18,2,11,"7,27",0.26,7,27,"5,20",0.25,5,20,"1,2",0.50,1,2,0,0,0,0,"4,12","3,6","13,28",28,0,0,0,0,0,0,0,4,13,0,,New York,NEW YORK,1186-5628,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,64.0,batting,,
