season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating
2026-27,softball,University Athletic Association (UAA),uaa,Case Western Reserve,Potts Karen,Potts,Karen,,122,Potts Karen,0,0CASE WES,44,44,,,141,58,60,38,16,2,12,26,0,1,15,6,33,4,0,3,0,0,0,0,0,1,0,0.509,116,171,37,.892,.426,.823,78,113,10,0,0,0,0,4,0,201,.950,0,.000,,6,5,24,39,"13,42",0.31,13,42,"22,57",0.39,22,57,"15,41",0.37,15,41,"8,15",0.53,8,15,0,0,0,0,"34,61","12,17","36,62",6,0,0,0,0,0,0,0,10,27,0,,Case Western Reserve,CASE WES,1195-3308,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.790680860375897,1,99
2026-27,softball,University Athletic Association (UAA),uaa,New York,Kosta Mocklis,Kosta,Mocklis,,479,Kosta Mocklis,0,0NYUW,1,1,,,6,4,5,8,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857,13,7,0,.000,.833,2.167,5,0,0,0,0,0,0,0,0,5,1.000,0,.000,,0,0,1,0,"2,2",1.00,2,2,"4,4",1.00,4,4,"3,3",1.00,3,3,"1,2",0.50,1,2,0,0,0,0,0,"1,1","4,4",11,0,0,0,0,0,0,0,0,0,0,,New York,NYUW,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.381788851674555,2,99
2026-27,softball,University Athletic Association (UAA),uaa,Brandeis,Jordan Wallace,Jordan,Wallace,,73,Jordan Wallace,0,0BRANDEIS,40,40,,,129,33,50,62,8,2,8,9,0,4,17,5,3,0,1,2,0,0,0,1,0,2,0,0.438,86,145,3,1.000,.388,.667,36,56,13,0,0,0,0,2,0,105,.876,0,.000,,5,7,23,36,"21,52",0.40,21,52,"43,100",0.43,43,100,"32,74",0.43,32,74,"7,14",0.50,7,14,0,0,0,0,"7,16","18,23","63,107",230,0,0,0,0,0,0,0,11,32,0,,Brandeis,BRANDEIS,1193-2049,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.451953201185043,3,99
2026-27,softball,University Athletic Association (UAA),uaa,Washington St. Louis,Julia Sullo,Julia,Sullo,,755,Julia Sullo,0,0WashU,38,36,,,125,43,60,25,3,3,2,14,0,2,13,2,51,1,0,1,0,0,0,0,1,0,0,0.535,75,142,52,.981,.480,.600,36,0,1,0,0,0,0,0,0,37,.973,0,.000,,3,7,33,15,"19,36",0.53,19,36,"31,63",0.49,31,63,"24,52",0.46,24,52,"5,7",0.71,5,7,"3,6",0.50,3,6,"32,54","7,11","46,65",147,0,0,0,78,0,0,0,12,21,0,,Washington St. Louis,WashU,1203-2543,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.499923073138584,4,98
2026-27,softball,University Athletic Association (UAA),uaa,New York,Olyvia Rutte,Olyvia,Rutte,,479,Olyvia Rutte,0,0NYUW,20,11,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1,1,0,.000,1.000,1.000,4,17,0,0,0,22,5,0,0,21,1.000,27,.815,,0,0,0,0,"1,1",1.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,,New York,NYUW,1186-5392,True,88,1,10,3,8,1,4,0,0,0,55.1,66,49,27,28,15,1,1,6.20,250,288,2,2,0,4,5,0,0,11,.352,49,81,0,"1,4","6,12","2,2",0,"2,4",,,,9.783300854187173,5,98
2026-27,softball,University Athletic Association (UAA),uaa,Brandeis,Bells Burdenski,Bells,Burdenski,,73,Bells Burdenski,0,0BRANDEIS,40,39,,,119,28,37,37,9,2,8,17,0,1,17,5,5,1,0,4,0,0,0,0,0,1,0,0.390,74,141,6,.833,.311,.622,52,0,2,0,0,0,0,0,0,54,.963,0,.000,,3,2,13,55,"13,43",0.30,13,43,"24,72",0.33,24,72,"20,54",0.37,20,54,"5,12",0.42,5,12,0,0,0,0,"11,29","10,15","37,81",52,0,0,0,0,0,0,0,7,38,0,,Brandeis,BRANDEIS,1193-1786,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.46662897867814,6,98
2026-27,softball,University Athletic Association (UAA),uaa,Chicago,Nathan Bae,Nathan,Bae,,137,Nathan Bae,0,0CHICAGO,1,1,,,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.750,2,4,0,.000,1.000,1.000,1,2,0,0,0,0,0,0,0,3,1.000,0,.000,,0,0,0,1,0,0,0,0,"1,1",1.00,1,1,"1,1",1.00,1,1,0,0,0,0,0,0,0,0,"1,1","2,2","2,2",0,0,0,0,0,0,0,0,2,0,0,,Chicago,CHICAGO,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.635194136242905,7,97
2026-27,softball,University Athletic Association (UAA),uaa,Carnegie Mellon,Reagan Diamond,Reagan,Diamond,,119,Reagan Diamond,0,0CMU,32,30,,,101,21,41,38,10,0,4,7,0,7,3,2,4,0,0,1,0,0,0,0,0,1,0,0.474,63,116,4,1.000,.406,.624,153,14,5,5,0,47,6,0,0,172,.971,53,.887,,2,5,29,25,"12,31",0.39,12,31,"22,61",0.36,22,61,"20,51",0.39,20,51,"4,7",0.57,4,7,0,0,0,0,"8,15","10,18","42,67",61,0,0,0,13,0,0,0,15,19,0,,Carnegie Mellon,CMU,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.968931023988617,8,97
2026-27,softball,University Athletic Association (UAA),uaa,Brandeis,Brooke Boehmer,Brooke,Boehmer,,73,Brooke Boehmer,0,0BRANDEIS,39,39,,,112,45,45,18,8,2,3,27,0,5,24,7,10,4,1,0,0,0,0,0,1,1,0,0.535,66,145,14,.714,.402,.589,219,9,5,0,0,0,0,8,0,233,.979,0,.000,,2,3,15,27,"12,31",0.39,12,31,"20,65",0.31,20,65,"12,41",0.29,12,41,"7,14",0.50,7,14,0,0,0,0,"18,24","7,14","41,75",46,0,0,0,0,0,0,0,12,11,0,,Brandeis,BRANDEIS,1193-1921,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.838194970315379,9,97
2026-27,softball,University Athletic Association (UAA),uaa,Emory,Ellie Zerr,Ellie,Zerr,,217,Ellie Zerr,0,0EMORY,43,41,,,139,30,49,34,7,2,5,14,0,2,9,6,2,0,0,4,0,0,0,1,0,1,0,0.409,75,159,2,1.000,.353,.540,64,8,1,0,0,12,4,0,0,73,.986,16,.750,,1,9,29,50,"17,41",0.41,17,41,"28,77",0.36,28,77,"19,45",0.42,19,45,"2,7",0.29,2,7,"0,0",0,0,0,"8,23","12,27","50,86",248,0,0,0,2,0,0,0,17,25,0,,Emory,EMORY,1197-3164,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5327392748409405,10,96
