conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Silberman, Eliane",0,,29,74,35,.315,372,63,180,9,0,35,0,17,27,217,0,0,1,0,58,52,4,39,13,229.5,0,2.43,0.12,0.78,0.70,0.23,3.10
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Copulos, Ioanna",0,,28,89,23,.091,22,1,3,36,0,133,0,26,24,364,0,0,351,27,244,2,0,1,1,30.5,0,0.03,0.40,2.74,0.02,0.29,0.34
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Rabinowitz, Olivia",0,,4,98,43,.246,167,12,53,823,7,2006,0,18,18,315,0,0,10,0,206,8,1,8,0,75,0,0.54,8.40,2.10,0.08,0.18,0.77
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Niko, Leneia",0,,20,43,14,.204,230,35,82,6,1,21,0,0,0,1,0,0,6,0,24,31,3,28,3,99,0,1.91,0.14,0.56,0.72,0.00,2.30
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"LaRocco, Kate",0,,9,91,37,.238,592,84,225,22,2,145,0,46,20,368,0,0,404,23,249,16,1,12,4,281,0,2.47,0.24,2.74,0.18,0.51,3.09
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Monrose, Kaya",0,,24,91,12,.180,661,132,251,6,7,59,0,1,7,20,0,0,226,21,73,28,2,22,6,269,1,2.76,0.07,0.80,0.31,0.01,2.96
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Coyle, Caroline",0,,8,98,0,.133,30,2,6,75,2,347,0,39,29,402,0,0,407,23,372,0,0,0,0,45,0,0.06,0.77,3.80,0.00,0.40,0.46
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Regan, Maggie",0,,0,81,41,.283,230,39,104,3,1,24,0,1,3,22,0,0,3,0,26,65,5,53,12,143.5,0,1.28,0.04,0.32,0.80,0.01,1.77
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Zerrouki, Sophie",0,,17,23,5,.203,64,9,22,2,0,5,0,0,4,6,0,0,0,0,5,18,0,14,4,33,0,0.96,0.09,0.22,0.78,0.00,1.43
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Luo, Sophia",0,,5,43,19,.282,266,35,110,4,0,15,0,0,0,0,0,0,0,0,15,13,0,13,0,116.5,0,2.56,0.09,0.35,0.30,0.00,2.71
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Massenat, Jillian",0,,22,65,15,.000,15,1,1,8,0,55,0,26,29,255,0,0,224,13,154,0,0,0,0,27,1,0.02,0.12,2.37,0.00,0.40,0.42
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Hong, Bekah",0,,10,34,0,.500,2,0,1,4,0,9,0,2,5,13,0,0,13,3,11,0,0,0,0,3,0,0.03,0.12,0.32,0.00,0.06,0.09
uaa,University Athletic Association (UAA),2025-26,wvball,Emory,"Staniskis, Gabija",0,,19,76,9,.283,459,67,197,2,2,35,0,3,4,16,0,0,7,0,40,30,4,28,2,216,1,2.59,0.03,0.53,0.39,0.04,2.84
