season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
2026-27,baseball,Upper Midwest Athletic Conference (UMAC),umac,Bethany Lutheran,Jayden Knutson,Jayden,Knutson,,30038,Jayden Knutson,0,0BETHANY,19,19,,,62,25,23,10,2,1,0,15,0,5,10,3,14,1,1,0,0,0,0,0,1,2,0,0.524,27,83,15,.933,.371,.435,38,0,1,0,0,0,0,0,0,39,.974,0,.000,,1,0,19,11,"4,16",0.25,4,16,"9,20",0.45,9,20,"7,15",0.47,7,15,"5,11",0.45,5,11,0,0,0,0,"19,40","3,6","18,28",80,0,0,0,0,0,0,0,3,13,0,,Bethany Lutheran,BETHANY,1396-3116,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Upper Midwest Athletic Conference (UMAC),umac,Bethany Lutheran,Gary Swann,Gary,Swann,,30038,Gary Swann,0,0BETHANY,18,18,,,67,15,17,18,4,0,5,2,0,1,12,5,1,1,0,3,0,0,0,1,0,2,0,0.274,36,73,2,.500,.254,.537,56,3,1,1,0,5,2,0,0,60,.983,7,.714,,4,4,21,17,"2,21",0.10,2,21,"11,41",0.27,11,41,"7,25",0.28,7,25,"4,9",0.44,4,9,0,0,0,0,"3,12","5,8","22,46",3,0,0,0,0,0,0,0,9,16,0,,Bethany Lutheran,BETHANY,1396-2966,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Upper Midwest Athletic Conference (UMAC),umac,Bethany Lutheran,Xander Meissner,Xander,Meissner,,30038,Xander Meissner,0,0BETHANY,19,19,,,60,21,20,21,6,0,5,21,3,0,11,4,2,0,0,2,0,0,0,0,0,1,0,0.494,41,83,2,1.000,.333,.683,136,3,3,0,0,0,0,7,0,142,.979,0,.000,,3,1,16,12,"5,22",0.23,5,22,"12,33",0.36,12,33,"8,26",0.31,8,26,"3,10",0.30,3,10,0,0,0,0,"5,7","9,16","25,39",7,0,0,0,0,0,0,0,10,13,0,,Bethany Lutheran,BETHANY,1396-2972,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Upper Midwest Athletic Conference (UMAC),umac,Bethany Lutheran,Xavier Palmer,Xavier,Palmer,,30038,Xavier Palmer,0,0BETHANY,9,0,,,2,5,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0.333,0,4,3,1.000,.000,.000,1,0,0,0,0,0,0,0,0,1,1.000,0,.000,,0,0,2,1,"0,1",0,0,1,"0,2",0,0,2,"0,2",0,0,2,0,0,0,0,0,0,0,0,0,0,"3,4",0,0,0,0,3,0,0,0,2,2,0,,Bethany Lutheran,BETHANY,1396-2622,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Upper Midwest Athletic Conference (UMAC),umac,Bethany Lutheran,Y. Torres,Y.,Torres,,30038,Y. Torres,0,0BETHANY,18,18,,,61,13,19,11,3,1,1,10,0,2,9,5,2,3,1,0,0,0,0,0,0,2,0,0.425,27,74,5,.400,.311,.443,11,30,4,0,0,0,0,1,0,45,.911,0,.000,,4,0,12,18,"6,16",0.38,6,16,"11,36",0.31,11,36,"7,25",0.28,7,25,"1,9",0.11,1,9,0,0,0,0,"8,17","0,1","25,42",60,0,0,0,0,0,0,0,5,12,0,,Bethany Lutheran,BETHANY,1396-3123,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Upper Midwest Athletic Conference (UMAC),umac,Bethany Lutheran,Joshua Miller,Joshua,Miller,,30038,Joshua Miller,0,0BETHANY,19,18,,,68,11,18,17,4,0,1,6,0,2,9,5,5,0,1,2,0,0,0,0,2,0,0,0.333,25,79,5,1.000,.265,.368,20,51,10,0,0,0,0,5,0,81,.877,0,.000,,2,4,21,21,"4,26",0.15,4,26,"9,39",0.23,9,39,"8,32",0.25,8,32,"5,12",0.42,5,12,0,0,0,0,"8,14","6,8","23,46",89,0,0,0,22,0,0,0,11,29,0,,Bethany Lutheran,BETHANY,1396-3103,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Upper Midwest Athletic Conference (UMAC),umac,Bethany Lutheran,Seth Jones,Seth,Jones,,30038,Seth Jones,0,0BETHANY,12,11,,,30,10,9,6,1,0,1,5,0,3,9,2,1,0,0,0,0,0,0,0,2,1,0,0.447,13,38,1,1.000,.300,.433,4,0,1,0,0,0,0,0,0,5,.800,0,.000,,3,1,4,4,"2,8",0.25,2,8,"5,18",0.28,5,18,"5,14",0.36,5,14,"2,6",0.33,2,6,0,0,0,0,"3,5","2,3","12,21",69,0,0,0,13,0,0,0,1,5,0,,Bethany Lutheran,BETHANY,1396-2829,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Upper Midwest Athletic Conference (UMAC),umac,Bethany Lutheran,Jayden Kopp,Jayden,Kopp,,30038,Jayden Kopp,0,0BETHANY,13,12,,,37,5,9,8,1,0,1,6,0,0,5,2,4,0,3,1,0,0,0,0,0,0,0,0.341,13,47,4,1.000,.243,.351,83,10,0,4,0,12,4,0,0,93,1.000,16,.750,,1,0,14,12,"5,20",0.25,5,20,"4,19",0.21,4,19,"3,14",0.21,3,14,"2,4",0.50,2,4,0,0,0,0,"1,5","2,3","15,26",10,0,0,0,0,0,0,0,9,16,0,,Bethany Lutheran,BETHANY,1396-2973,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Upper Midwest Athletic Conference (UMAC),umac,Bethany Lutheran,Anthony Kuznia,Anthony,Kuznia,,30038,Anthony Kuznia,0,0BETHANY,10,5,,,21,4,4,2,1,0,0,2,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0.280,5,25,1,.000,.190,.238,13,0,1,0,0,0,0,0,0,14,.929,0,.000,,2,0,6,7,"0,3",0,0,3,"1,9",0.11,1,9,"0,5",0,0,5,"1,4",0.25,1,4,0,0,0,0,"1,5","1,3","7,12","0,1",0,0,1,5,0,0,0,2,0,0,,Bethany Lutheran,BETHANY,1396-2629,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Upper Midwest Athletic Conference (UMAC),umac,Bethany Lutheran,Connor Brigger,Connor,Brigger,,30038,Connor Brigger,0,0BETHANY,7,1,,,10,1,1,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.250,2,12,0,.000,.100,.200,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,1,3,4,"1,1",1.00,1,1,"1,4",0.25,1,4,"1,3",0.33,1,3,"0,3",0,0,3,0,0,0,0,"0,4","1,1","2,4","0,1",0,0,1,25,0,0,0,0,0,0,,Bethany Lutheran,BETHANY,1396-2846,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
