season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,defense_stats,fumble_stats_number,fumble_stats_number_lost,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,composite_score,global_rank,rating
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Saenz,Arian",Arian,Saenz,,1226,"Saenz,Arian","SAENZ,ARIAN",Minnesota Morris,UMM,1399-2427,1,1,54,54,0,0,LB,0,,,,,,,,0,8,5,13,13,.5,.0,.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,,,,,,8.538468033435143,1,99
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Crown,"Roy,Jakayln",Jakayln,Roy,,30035,"Roy,Jakayln","ROY,JAKAYLN",Crown,CRO,1397-2081,1,1,4,4,0,0,DL,0,,,,,,,,0,3,1,4,4,3.0,.0,.0,3,0,24,1,1,0,13,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.918147404889865,2,99
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Young,Dylan",Dylan,Young,,1226,"Young,Dylan","YOUNG,DYLAN",Minnesota Morris,UMM,1399-2414,1,1,29,29,0,0,DL,0,,,,,,,,0,3,2,5,5,1.5,.0,.0,1,1,9,1,1,0,8,1,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.787636213188806,3,99
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Martin Luther,"Hueske,Trevor",Trevor,Hueske,,8597,"Hueske,Trevor","HUESKE,TREVOR",Martin Luther,MLC,1398-1929,1,1,10,10,0,0,DB,0,,,,,,,,0,2,1,3,3,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,,,,,,5.328956302961579,4,98
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Northwestern,Alex Schultz,Alex,Schultz,,30031,Alex Schultz,"SCHULTZ,ALEX",Northwestern,NW,1400-5802,1,0,8,8,0,0,0,0,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,,,,,,5.06099077351334,5,98
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Martin Luther,"Stuebs,William",William,Stuebs,,8597,"Stuebs,William","STUEBS,WILLIAM",Martin Luther,MLC,1398-2278,1,0,24,24,0,0,DE,0,,,,,,,,6,0,1,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,6.0,,,,,,4.793025244065101,6,98
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Northwestern,Isaiah Voss,Isaiah,Voss,,30031,Isaiah Voss,"VOSS,ISAIAH",Northwestern,NW,1400-5805,1,0,10,10,0,0,0,0,,,,,,,,0,1,2,3,3,1.0,.0,.0,1,0,5,1,1,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4,57,0,33,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.345434234334453,7,97
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Dohmen,Derrick",Derrick,Dohmen,,1226,"Dohmen,Derrick","DOHMEN,DERRICK",Minnesota Morris,UMM,1399-2804,1,1,30,30,0,0,LB,0,,,,,,,,0,4,5,9,9,1.5,.0,.0,0,3,4,0.5,0,1,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9848638321069547,8,97
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Crown,"Tomlinson,Nathan",Nathan,Tomlinson,,30035,"Tomlinson,Nathan","TOMLINSON,NATHAN",Crown,CRO,1397-1690,1,1,32,32,0,0,DB,0,,,,,,,,0,7,4,11,11,.0,.0,.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,78,0,35,19.5,,,,,,,,,,,3.890931395588726,9,97
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Westminster,"Wright,Ethan",Ethan,Wright,,1450,"Wright,Ethan","WRIGHT,ETHAN",Westminster,WES,0,1,0,35,35,0,0,LB,0,,,,,,,,0,3,1,4,4,1.0,.0,.0,1,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7987216609251826,10,96
