season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Northwestern-St.Paul,University of Northwestern - St. Paul,Morgan Eckman,,Fourth Year,4822,139,ACTIVE,78.3,6.3,20,77.7900507355444,12,7,4,16.5956230985009,-25.500483349503,Central - (W) DIII,clippd_scoreboard,138,91,16.7312693335822
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Northwestern-St.Paul,University of Northwestern - St. Paul,Paige Johnson,,Fourth Year,13304,206,ACTIVE,80.3,8.3,20,79.7900507355444,12,6,4,11.0800979987573,-25.500483349503,Central - (W) DIII,clippd_scoreboard,264,87,7.9192080122604
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Northwestern-St.Paul,University of Northwestern - St. Paul,Bri Brandt,,Second Year,38999,229,ACTIVE,80.6,8.6,20,80.0900507355444,12,5,1,9.54135047579737,-25.500483349503,Central - (W) DIII,clippd_scoreboard,282,87,7.52231663699274
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Crown,Crown College,Kendall Clark,,,17422,379,ACTIVE,83.77,11.77,13,83.0730283177362,9,5,2,4.41329762246798,-32.5628279440733,Central - (W) DIII,clippd_scoreboard,502,80,2.4775389996962
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,UW-Superior,University of Wisconsin-Superior,Abby Schintz,,Third Year,38814,411,ACTIVE,84.16,12.16,19,83.5980480429042,11,3,1,3.89884678539832,-27.287532156284,Central - (W) DIII,clippd_scoreboard,526,79,2.18971007196729
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,UW-Superior,University of Wisconsin-Superior,Olivia Weyenberg,,Fourth Year,17668,469,ACTIVE,85.4,13.4,20,84.8827926007056,12,2,0,2.84766379134868,-26.9735654409172,Central - (W) DIII,clippd_scoreboard,605,77,1.60655935346426
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Crown,Crown College,Shelby Cash,,Fourth Year,27416,457,ACTIVE,85.92,13.92,13,85.2268744715824,9,1,0,2.9970048542428,-32.5628279440733,Central - (W) DIII,clippd_scoreboard,643,76,1.32761168756134
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Northwestern-St.Paul,University of Northwestern - St. Paul,Brielle Lenz,,Second Year,39001,572,ACTIVE,87.0,15.0,20,86.4900507355444,12,0,0,1.8554180380485,-25.500483349503,Central - (W) DIII,clippd_scoreboard,716,74,0.856055014338398
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Northwestern-St.Paul,University of Northwestern - St. Paul,Isabelle Lee,,Fourth Year,18329,100000,ACTIVE,87.88,15.88,8,87.5933960055659,7,2,0,1.68076555124822,-30.9154479695957,Central - (W) DIII,clippd_scoreboard,780,72,0.488530185340499
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Northwestern-St.Paul,University of Northwestern - St. Paul,Ellie Rolland,,Third Year,30682,618,ACTIVE,87.92,15.92,12,87.9030153083516,9,2,0,1.51195148071282,-26.3612571916801,Central - (W) DIII,clippd_scoreboard,782,72,0.462479993682237
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Northwestern-St.Paul,University of Northwestern - St. Paul,Sondra Albrecht,,,27371,591,ACTIVE,88.08,16.08,13,87.1112543635501,8,0,0,1.69460018744247,-28.3542669289839,Central - (W) DIII,clippd_scoreboard,791,71,0.433672606127662
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Crown,Crown College,Lexi Thomas,,,13297,571,ACTIVE,88.62,16.62,13,87.9191821638901,9,2,0,1.86788954586595,-32.5628279440733,Central - (W) DIII,clippd_scoreboard,821,70,0.326256288298157
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Bethany Lutheran,Bethany Lutheran College,Lydia Schmid,,Third Year,33700,647,ACTIVE,88.71,16.71,14,88.1907330439018,11,2,1,1.29923994773069,-34.9853984932903,Central - (W) DIII,clippd_scoreboard,828,70,0.295687302037716
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,UW-Superior,University of Wisconsin-Superior,Makayla Ammerman,,Second Year,8956,100000,ACTIVE,89.09,17.09,11,88.1664959789826,6,0,0,1.03839663390262,-27.9591521687624,Central - (W) DIII,clippd_scoreboard,848,70,0.218424843446144
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,UW-Superior,University of Wisconsin-Superior,Sophia Otto,,Second Year,5794,725,ACTIVE,90.36,18.36,14,89.2787596567503,8,0,0,0.809591605017099,-27.2885952083262,Central - (W) DIII,clippd_scoreboard,912,68,0.0667234530586818
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,UW-Superior,University of Wisconsin-Superior,Ashton Parnell,,,27081,735,ACTIVE,91.59,19.59,17,90.6730833919949,11,0,0,0.729854077977543,-27.6132451634459,Central - (W) DIII,clippd_scoreboard,964,66,0.0132709061314384
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Martin Luther,Martin Luther College,Myah Loberger,,,35779,821,ACTIVE,94.5,22.5,12,93.8519020654028,9,2,1,0.326256288298157,-35.2463438635096,Central - (W) DIII,clippd_scoreboard,1075,63,5.31125785818913
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,UW-Superior,University of Wisconsin-Superior,Karin Hill,,,14253,799,ACTIVE,94.69,22.69,13,94.5899275409531,9,0,0,0.400573673419006,-27.8941797407035,Central - (W) DIII,clippd_scoreboard,1082,62,2.61558732950995
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,UW-Superior,University of Wisconsin-Superior,Allie Maschke,,Fourth Year,35380,850,ACTIVE,94.87,22.87,15,94.8935415440553,10,0,0,0.209318649515133,-27.0300337451294,Central - (W) DIII,clippd_scoreboard,1087,62,0.638075263890752
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,North Central (MN),North Central University,Brooklyn Barton,,,4475,856,ACTIVE,97.25,25.25,12,96.2852318441418,9,0,0,0.186178699057736,-30.9296737408003,Central - (W) DIII,clippd_scoreboard,1148,60,4.29971660331459
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Bethany Lutheran,Bethany Lutheran College,Flora Wegner,,Second Year,3840,881,ACTIVE,98.5,26.5,14,97.9764473296161,11,0,0,0.120804063669797,-34.9853984932903,Central - (W) DIII,clippd_scoreboard,1180,59,0.464205855564189
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Martin Luther,Martin Luther College,Chloe Berg,,,14163,880,ACTIVE,98.83,26.83,12,98.1852353987361,9,2,0,0.121016470215496,-35.2463438635096,Central - (W) DIII,clippd_scoreboard,1185,59,0.301390514071092
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Minnesota-Morris,"University of Minnesota, Morris",Bailey Broich,,Second Year,8645,100000,ACTIVE,99.9,27.9,10,99.1834492643244,7,0,0,0.0764136530556494,-35.834676092756,Central - (W) DIII,clippd_scoreboard,1207,59,3.52007060866268
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,North Central (MN),North Central University,Hannah Wolf,,,4482,873,ACTIVE,100.42,28.42,12,99.4518985108084,9,0,0,0.146256161314643,-30.9296737408003,Central - (W) DIII,clippd_scoreboard,1216,58,12.6512682706461
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Crown,Crown College,Ashley Larson,,,28040,100000,ACTIVE,101.82,29.82,11,101.28887443654,8,0,0,0.109989269414253,-34.4604129908869,Central - (W) DIII,clippd_scoreboard,1246,57,8.48064156807651
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Crown,Crown College,Allie Johnson,,,16930,945,ACTIVE,105.23,33.23,13,104.534566779275,9,0,0,0.0293240280758203,-32.5628279440733,Central - (W) DIII,clippd_scoreboard,1306,56,0.0194934646669667
2025-26,wgolf,Women,Upper Midwest Athletic Conference,umac,Martin Luther,Martin Luther College,Erin Pulice,,Third Year,38883,965,ACTIVE,110.0,38.0,13,109.505356791101,10,0,0,0.0130870912124388,-35.1868945756508,Central - (W) DIII,clippd_scoreboard,1371,54,0.000527524472994339
