conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,rank,rating
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,Bethany Lutheran,"Luján Rubio, Elena",0,,21,19,19,0,0,42,59,48,8,20,0,0,3.11,2.21,2.53,1.053,0.421,22,0,4,0,3,15,3,0.158,18,0,1,0,0.95,0.05,0.0,0.0,0,,1524:00,0,0.0,0.0,,,,,,,,,,,,,,,,,5.967252809480167,3.847864337306832,5.851069181450297,3.03016170520732,1.0759212212289766,-0.0778498944161523,13.232290388233736,1,99
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,Northwestern,"Kendall, Marie",0,,30,23,23,0,0,95,190,40,12,14,1,1,8.26,4.13,1.74,0.609,0.522,81,0,2,0,2,11,3,0.13,17,0,2,0,0.74,0.09,0.0,0.0,0,,1900:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.043827632055492,6.0186221282768715,4.794902282854947,7.516004323819805,2.5767861180693976,-0.0778498944161523,12.761117624667778,2,94
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,Northwestern,"Mersberger, Haley",0,,5,23,23,0,0,70,131,45,3,21,2,0,5.7,3.04,1.96,0.913,0.13,49,2,2,0,4,7,3,0.13,18,0,1,0,0.78,0.04,0.0,0.0,0,,1937:00,0,0.0,0.0,,,,,,,,,,,,,,,,,6.287823672384278,1.1344170985942827,5.455006594477041,5.400040824474294,1.0759212212289766,-0.0778498944161523,11.850180197011177,3,93
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,UW-Superior,"Larson, Niamh",0,,11,23,23,0,0,52,86,34,10,12,1,1,3.74,2.26,1.48,0.522,0.435,40,1,0,0,3,6,2,0.087,25,0,3,0,1.09,0.13,0.0,0.0,0,,1363:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.402685906247267,4.933243232791852,4.002777108908433,3.876547104945525,4.077651014909819,-0.0778498944161523,9.85270187195656,4,91
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,UW-Superior,"Hill, Kamryn",0,,3,23,23,0,0,36,71,27,5,11,1,0,3.09,1.57,1.17,0.478,0.217,25,0,2,0,4,1,5,0.217,26,0,3,0,1.13,0.13,0.0,0.0,0,,1370:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.0821150433431543,2.2197959940793024,3.078631072637502,2.5223304653643974,4.077651014909819,-0.0778498944161523,6.7149723886477855,5,90
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,Bethany Lutheran,"Moorad, Reese",0,,7,19,18,0,0,28,48,18,4,7,0,0,2.53,1.47,0.95,0.368,0.211,21,0,1,0,1,2,0,0.0,7,0,0,0,0.37,0.0,0.0,0.0,0,,1279:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.7998315917267043,1.6771065463367927,1.8904433117177322,1.8452221455738333,-0.4249436756114446,-0.0778498944161523,4.761042430587816,6,89
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,Martin Luther,"Boehm, Priscilla",0,,14,18,17,0,0,18,28,15,7,4,1,1,1.56,1.0,0.83,0.222,0.389,14,0,0,0,1,1,1,0.056,7,0,0,0,0.39,0.0,0.0,0.0,0,,1286:00,0,0.0,0.0,,,,,,,,,,,,,,,,,0.8381190030143665,3.3051748895643223,1.4943807247444758,0.9988367458356284,-0.4249436756114446,-0.0778498944161523,4.492456791305829,7,88
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,UW-Superior,"Wright, Emma",0,,12,23,2,0,0,24,34,16,4,6,0,0,1.48,1.04,0.7,0.261,0.174,18,0,0,0,0,2,1,0.043,12,0,1,0,0.52,0.04,0.0,0.0,0,,788:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.4792607288225916,1.6771065463367927,1.6264015870688946,1.5066679856785514,1.0759212212289766,-0.0778498944161523,3.9628017939243976,8,87
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,Bethany Lutheran,"Ping, Riley",0,,15,18,18,0,0,15,32,15,3,6,0,0,1.78,0.83,0.83,0.333,0.167,9,0,0,0,4,3,3,0.167,3,0,0,0,0.17,0.0,0.0,0.0,0,,1300:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.4792607288225916,1.1344170985942827,1.4943807247444758,0.744921125914167,-0.4249436756114446,-0.0778498944161523,3.5632849394507335,9,86
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,Bethany Lutheran,"Johnson, Mia",0,,3,19,19,0,0,22,36,15,3,6,0,0,1.89,1.16,0.79,0.316,0.158,16,0,0,0,1,4,2,0.105,8,0,1,0,0.42,0.05,0.0,0.0,0,,1487:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.4792607288225916,1.1344170985942827,1.4943807247444758,1.3373909057309104,1.0759212212289766,-0.0778498944161523,3.4566491608880194,10,85
