season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats
2026-27,wsoc,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Frear-Boerner, CJ",CJ,Frear-Boerner,,1226,"Frear-Boerner, CJ","FREAR-BOERNER,CJ",Minnesota Morris,MM,1399-2389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,21:00,0,.00,.00,7,0,0,0,0,.500,9.00,2,2,20:40,1,1,2.00,0.500,.000,2.00,
2026-27,wsoc,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Dolata, Mackenzie",Mackenzie,Dolata,,1226,"Dolata, Mackenzie","DOLATA,MACKENZIE",Minnesota Morris,MM,1399-2918,0,0,35,0,35,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Stewart, Abby",Abby,Stewart,,1226,"Stewart, Abby","STEWART,ABBY",Minnesota Morris,MM,1399-2922,1,0,81,0,81,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,69:00,0,.00,.00,22,0,1,0,0,.500,5.22,4,4,69:20,0,1,4.00,0.500,.000,4.00,
2026-27,wsoc,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"LaFrinier, AJ",AJ,LaFrinier,,1226,"LaFrinier, AJ","LAFRINIER,AJ",Minnesota Morris,MM,1399-2391,1,1,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,53:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"McElroy, Katelin",Katelin,McElroy,,1226,"McElroy, Katelin","MCELROY,KATELIN",Minnesota Morris,MM,1399-2536,1,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,11:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Wynne, Jhazlyn",Jhazlyn,Wynne,,1226,"Wynne, Jhazlyn","WYNNE,JHAZLYN",Minnesota Morris,MM,1399-2398,1,0,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,34:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Johnson, Madysen",Madysen,Johnson,,1226,"Johnson, Madysen","JOHNSON,MADYSEN",Minnesota Morris,MM,1399-2393,1,1,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Oxborough, Abigail",Abigail,Oxborough,,1226,"Oxborough, Abigail","OXBOROUGH,ABIGAIL",Minnesota Morris,MM,1399-2703,1,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,24:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Levale, Talalupe",Talalupe,Levale,,1226,"Levale, Talalupe","LEVALE,TALALUPE",Minnesota Morris,MM,1399-2704,1,1,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,39:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Totoris, Malia",Malia,Totoris,,1226,"Totoris, Malia","TOTORIS,MALIA",Minnesota Morris,MM,1399-2395,1,0,8,0,8,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,24:00,0,.00,.00,,,,,,,,,,,,,,,,,
