season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Brandon Autry,,Fifth Year,24135,487,ACTIVE,76.9,4.9,21,75.8159405986049,10,1,1,17.2617822002348,-12.373611166053,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,DJ Waller,,Second Year,39162,806,ACTIVE,79.71,7.71,17,78.7283643740399,8,0,0,10.8728571955989,-12.452342018114,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Dakota Holt,,Fourth Year,26437,999,ACTIVE,80.29,8.29,17,79.3871373197433,8,1,0,7.84923402482249,-12.4135581026107,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,James Eli DeVaughn,,Third Year,36891,1034,ACTIVE,79.93,7.93,15,79.1302999125524,7,0,0,7.46957366260687,-12.6905903633618,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Peter Bincheng Zhong,,,11803,100000,ACTIVE,82.0,10.0,2,81.6071011237524,1,0,0,3.49571142819002,-13.7507601477446,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Connor Hairgrove,,Third Year,14786,100000,ACTIVE,82.5,10.5,10,81.4155288962153,5,0,0,4.58178151614397,-14.0012178237229,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Grant Camfield,,,25205,100000,ACTIVE,85.8,13.8,10,84.0947542938188,5,0,0,2.76096458955175,-13.0675740429606,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Luke Jett,,Third Year,36892,100000,ACTIVE,87.83,15.83,6,87.0537197775813,3,0,0,0.968517923665005,-13.6813884434601,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Brayden Joyner,,Third Year,36893,100000,ACTIVE,85.1,13.1,10,84.5083482824521,5,0,0,2.1086530346818,-14.0563836703791,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Conner Ingle,,,39163,100000,ACTIVE,83.64,11.64,11,82.9319739839525,5,0,0,3.6413122273814,-11.8808524874817,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Lee Earl Jackson,,Second Year,39164,100000,ACTIVE,82.83,10.83,6,81.3416780750936,3,0,0,4.19235856624889,-11.8415259104133,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Bryce Coursen,,,4280,100000,ACTIVE,85.75,13.75,4,83.5449806389038,2,0,0,2.15518799423819,-13.4638621252782,,clippd_scoreboard
2025-26,mgolf,Men,,unknown,Bob Jones,Bob Jones University,Will Goodwin,,,4281,100000,ACTIVE,96.0,24.0,2,95.6071011237524,1,0,0,0.105561338330835,-13.7507601477446,,clippd_scoreboard
