season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Jacob Severson,Jacob,Severson,,263,Jacob Severson,0,0GREENSBO,27,27,,,112,31,47,18,5,0,1,13,0,7,14,3,6,1,1,1,0,0,0,1,1,4,0,0.504,55,134,7,.857,.420,.491,72,0,2,0,0,0,0,0,0,74,.973,0,.000,,3,6,27,21,"11,32",0.34,11,32,"18,48",0.38,18,48,"12,34",0.35,12,34,"6,11",0.55,6,11,"7,14",0.50,7,14,"25,47","5,7","36,59",97,0,0,0,0,0,0,0,10,30,0,,Greensboro,GREENSBO,1177-4725,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Tyler Alverio,Tyler,Alverio,,263,Tyler Alverio,0,0GREENSBO,23,20,,,68,8,20,14,2,0,0,12,0,1,10,2,1,1,1,1,0,0,0,0,0,2,0,0.402,22,83,2,.500,.294,.324,42,39,8,0,0,0,0,11,0,89,.910,0,.000,,1,0,12,27,"5,22",0.23,5,22,"14,41",0.34,14,41,"10,27",0.37,10,27,"3,10",0.30,3,10,"4,10",0.40,4,10,"2,10","6,11","28,51",326,0,0,0,0,0,0,0,15,19,0,,Greensboro,GREENSBO,1177-4711,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Mike Rinaldi,Mike,Rinaldi,,263,Mike Rinaldi,0,0GREENSBO,13,13,,,46,11,12,10,1,0,4,6,0,2,12,2,1,0,0,1,0,0,0,1,0,1,0,0.364,25,55,1,1.000,.261,.543,36,3,0,0,0,0,0,0,0,39,1.000,0,.000,,3,0,11,9,"4,14",0.29,4,14,"6,24",0.25,6,24,"5,19",0.26,5,19,"1,8",0.13,1,8,0,0,0,0,"5,13","1,9","12,28",1,0,0,0,0,0,0,0,4,6,0,,Greensboro,GREENSBO,1177-4458,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Evan Sykes,Evan,Sykes,,263,Evan Sykes,0,0GREENSBO,28,28,,,107,37,42,22,13,0,5,15,1,8,21,9,3,1,0,1,0,0,0,0,2,0,0,0.496,70,131,4,.750,.393,.654,36,71,9,0,0,0,0,11,0,116,.922,0,.000,,3,2,13,29,"10,29",0.34,10,29,"16,54",0.30,16,54,"8,29",0.28,8,29,"5,12",0.42,5,12,"5,15",0.33,5,15,"15,25","6,11","34,67",66,0,0,0,0,0,0,0,10,14,0,,Greensboro,GREENSBO,1177-3814,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Trevor Testerman,Trevor,Testerman,,263,Trevor Testerman,0,0GREENSBO,24,24,,,89,29,42,41,7,0,11,11,1,10,15,3,17,1,2,1,0,0,0,0,1,0,0,0.568,82,113,18,.944,.472,.921,69,3,1,0,0,0,0,0,0,73,.986,0,.000,,1,1,10,24,"8,26",0.31,8,26,"29,58",0.50,29,58,"20,40",0.50,20,40,"2,8",0.25,2,8,"9,13",0.69,9,13,"11,15","9,11","41,69",122,0,0,0,0,0,0,0,15,24,0,,Greensboro,GREENSBO,1177-4727,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Carson Herod,Carson,Herod,,263,Carson Herod,0,0GREENSBO,17,15,,,52,10,14,8,4,0,1,8,0,6,12,1,1,0,1,0,0,0,0,0,0,3,0,0.424,21,67,1,1.000,.269,.404,73,13,3,2,0,25,7,0,0,89,.966,32,.781,,3,0,11,13,"5,20",0.25,5,20,"8,30",0.27,8,30,"4,20",0.20,4,20,"1,6",0.17,1,6,"2,8",0.25,2,8,"6,9","4,9","18,38",66,0,0,0,2,0,0,0,9,16,0,,Greensboro,GREENSBO,1177-4714,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Alex Vazquez,Alex,Vazquez,,263,Alex Vazquez,0,0GREENSBO,28,27,,,100,20,29,31,4,0,4,17,0,2,19,4,1,0,1,4,0,0,0,0,1,3,0,0.390,45,124,1,1.000,.290,.450,161,11,1,0,0,0,0,11,0,173,.994,0,.000,,2,7,30,25,"10,33",0.30,10,33,"23,63",0.37,23,63,"18,52",0.35,18,52,"3,11",0.27,3,11,"5,12",0.42,5,12,"7,22","16,24","43,74",27,0,0,0,1,0,0,0,23,34,0,,Greensboro,GREENSBO,1177-4187,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Destin Matthews,Destin,Matthews,,263,Destin Matthews,0,0GREENSBO,17,7,,,25,5,4,3,0,0,0,2,0,2,8,0,2,1,0,1,0,0,0,0,0,0,0,0.267,4,30,3,.667,.160,.160,16,1,0,0,0,0,0,0,0,17,1.000,0,.000,,0,2,6,8,"3,11",0.27,3,11,"3,18",0.17,3,18,"2,14",0.14,2,14,"1,2",0.50,1,2,"0,1",0,0,1,"0,2","2,4","6,21",0,0,0,0,1,0,0,0,1,9,0,,Greensboro,GREENSBO,1177-4712,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Shane Garrett,Shane,Garrett,,263,Shane Garrett,0,0GREENSBO,17,15,,,50,11,13,12,2,0,2,7,0,0,9,1,0,0,3,0,0,0,0,0,0,2,0,0.351,21,60,0,.000,.260,.420,29,3,1,2,0,18,2,1,0,33,.970,20,.900,,0,6,18,11,"3,18",0.17,3,18,"6,32",0.19,6,32,"5,23",0.22,5,23,"0,5",0,0,5,0,0,0,0,"9,16","4,8","12,35",41,0,0,0,0,0,0,0,5,18,0,,Greensboro,GREENSBO,1177-4212,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,Jaycob Caseres,Jaycob,Caseres,,263,Jaycob Caseres,0,0GREENSBO,16,13,,,47,9,12,11,1,0,1,11,0,0,8,4,0,0,0,1,0,0,0,1,0,1,0,0.390,16,59,0,.000,.255,.340,4,1,0,0,0,0,0,0,0,5,1.000,0,.000,,2,3,15,11,"5,19",0.26,5,19,"9,27",0.33,9,27,"6,19",0.32,6,19,"1,3",0.33,1,3,"3,13",0.23,3,13,"1,4","4,5","22,36",144,0,0,0,66,0,0,0,19,15,0,,Greensboro,GREENSBO,1177-4207,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
