season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Anthony Massa,Anthony,Massa,,800,Anthony Massa,0,0UWP,11,11,,,50.0,17.0,24.0,22.0,8.0,0.0,3.0,1.0,0.0,2.0,7.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,41.0,54.0,3.0,1.0,0.48,0.82,9,18,1,0,0,0,0,1,0,28,0.964,0,0.0,,2.0,3.0,9.0,8.0,"12,20",0.6,12.0,20.0,"18,37",0.49,18.0,37.0,"13,24",0.54,13.0,24.0,"7,13",0.54,7.0,13.0,0,0.0,0.0,0.0,"4,7","5,8","23,38",34,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,9.0,0.0,,UW-Platteville,UWP,1132-2699,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,74.0,batting,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-La Crosse,Brady Burrill,Brady,Burrill,,795,Brady Burrill,0,0WIS.-LA,10,7,,,26.0,10.0,13.0,17.0,4.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.533,22.0,32.0,2.0,1.0,0.5,0.846,10,1,0,0,0,0,0,0,0,11,1.0,0,0.0,,0.0,1.0,6.0,7.0,"1,3",0.33,1.0,3.0,"10,18",0.56,10.0,18.0,"8,12",0.67,8.0,12.0,"2,4",0.5,2.0,4.0,0,0.0,0.0,0.0,"3,6","9,10","13,21","1,1",1.0,1.0,1.0,"1,1",1.0,1.0,1.0,5.0,1.0,0.0,,UW-La Crosse,WIS.-LA,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,73.0,batting,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Brayden Knoll,Brayden,Knoll,,800,Brayden Knoll,0,0UWP,10,10,,,39.0,11.0,18.0,17.0,1.0,0.0,3.0,2.0,0.0,1.0,6.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.488,28.0,44.0,6.0,1.0,0.462,0.718,24,1,2,0,0,0,0,0,0,27,0.926,0,0.0,,3.0,3.0,9.0,5.0,"9,15",0.6,9.0,15.0,"11,25",0.44,11.0,25.0,"8,18",0.44,8.0,18.0,"3,9",0.33,3.0,9.0,0,0.0,0.0,0.0,"4,6","6,7","19,28",33,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,7.0,0.0,,UW-Platteville,UWP,1132-3055,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,72.0,batting,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Trinity Beland,Trinity,Beland,,800,Trinity Beland,0,0UWP,11,11,,,46.0,12.0,19.0,15.0,4.0,1.0,3.0,4.0,0.0,8.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.517,34.0,60.0,3.0,0.667,0.413,0.739,20,0,2,0,0,0,0,0,0,22,0.909,0,0.0,,1.0,1.0,7.0,18.0,"9,16",0.56,9.0,16.0,"9,21",0.43,9.0,21.0,"7,16",0.44,7.0,16.0,"5,13",0.38,5.0,13.0,0,0.0,0.0,0.0,"8,19","4,4","17,26",1,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,9.0,0.0,,UW-Platteville,UWP,1132-2691,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,71.0,batting,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Olson, Evan",Evan,Olson,,805,"Olson, Evan",0,0UWW,8,7,,,22.0,12.0,10.0,12.0,4.0,0.0,1.0,5.0,0.0,8.0,4.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.657,17.0,35.0,8.0,0.875,0.455,0.773,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,1.0,3.0,4.0,2.0,"2,9",0.22,2.0,9.0,"7,13",0.54,7.0,13.0,"6,12",0.5,6.0,12.0,"1,6",0.17,1.0,6.0,"1,1",1.0,1.0,1.0,"4,5","4,7","14,16",1,0.0,0.0,0.0,"1,1",1.0,1.0,1.0,0.0,5.0,0.0,,UW-Whitewater,UWW,1147-7764,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,70.0,batting,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Caleb Parker,Caleb,Parker,,800,Caleb Parker,0,0UWP,6,6,,,25.0,6.0,10.0,9.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,17.0,29.0,2.0,1.0,0.4,0.68,6,10,0,0,0,0,0,1,0,16,1.0,0,0.0,,2.0,2.0,10.0,4.0,"4,6",0.67,4.0,6.0,"5,12",0.42,5.0,12.0,"4,8",0.5,4.0,8.0,"3,9",0.33,3.0,9.0,0,0.0,0.0,0.0,"6,6","1,2","9,13",1,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,1.0,0.0,,UW-Platteville,UWP,1132-201,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,69.0,batting,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Spring, Jackson",Jackson,Spring,,805,"Spring, Jackson",0,0UWW,11,11,,,37.0,13.0,15.0,9.0,4.0,1.0,0.0,8.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511,21.0,45.0,4.0,0.75,0.405,0.568,16,13,7,0,0,0,0,4,0,36,0.806,0,0.0,,1.0,3.0,8.0,6.0,"3,12",0.25,3.0,12.0,"8,22",0.36,8.0,22.0,"6,17",0.35,6.0,17.0,"1,5",0.2,1.0,5.0,"3,15",0.2,3.0,15.0,"5,8","2,8","11,22",3,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,13.0,0.0,,UW-Whitewater,UWW,1147-7766,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,68.0,batting,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,Ryan Kelly,Ryan,Kelly,,803,Ryan Kelly,0,0WIS.-STO,8,8,,,29.0,7.0,12.0,7.0,0.0,0.0,1.0,5.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,15.0,36.0,1.0,1.0,0.414,0.517,73,9,1,1,0,12,6,0,0,83,0.988,18,0.667,,0.0,0.0,3.0,9.0,"0,7",0.0,0.0,7.0,"7,16",0.44,7.0,16.0,"6,11",0.55,6.0,11.0,"6,8",0.75,6.0,8.0,0,0.0,0.0,0.0,"3,4","5,6","8,16",11,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,5.0,0.0,,UW-Stout,WIS.-STO,1436-5818,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,67.0,batting,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-River Falls,John Santelman,John,Santelman,,801,John Santelman,0,0UWRF,8,8,,,28.0,7.0,14.0,5.0,1.0,0.0,1.0,8.0,0.0,0.0,6.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595,18.0,38.0,6.0,0.667,0.5,0.643,9,20,4,0,0,0,0,5,0,33,0.879,0,0.0,,0.0,0.0,7.0,3.0,"4,8",0.5,4.0,8.0,"5,10",0.5,5.0,10.0,"3,7",0.43,3.0,7.0,"1,3",0.33,1.0,3.0,0,0.0,0.0,0.0,"6,11","1,3","9,14","1,1",1.0,1.0,1.0,0,0.0,0.0,0.0,4.0,5.0,0.0,,UW-River Falls,UWRF,1138-3765,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,66.0,batting,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stevens Point,Tommy Drohner,Tommy,Drohner,,802,Tommy Drohner,0,0WIS.-STE,9,6,,,20.0,7.0,10.0,4.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,13.0,27.0,4.0,1.0,0.5,0.65,9,0,0,0,0,0,0,0,0,9,1.0,0,0.0,,0.0,1.0,7.0,3.0,"4,8",0.5,4.0,8.0,"4,9",0.44,4.0,9.0,"2,7",0.29,2.0,7.0,"2,3",0.67,2.0,3.0,0,0.0,0.0,0.0,"3,4","2,2","9,13","0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,4.0,3.0,0.0,,UW-Stevens Point,WIS.-STE,1141-6706,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,65.0,batting,,
