rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-La Crosse,"Grieger,Sam",0,G,28,36.42857142857143,25.79,4.96,3.54,1.18,0.39,1.3928571428571428,10.237852640037028,3.7558042935056624,0.8852429091939666,2.478535928723111,1.1803959234068386,0.25372298598431536,0.4318257352647829
2,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-La Crosse,"Derousseau,Dustin",0,G,28,33.92857142857143,15.64,4.61,2.75,1.86,1.43,2.607142857142857,5.8366634524241086,1.6010944650838512,0.6876104345695271,1.6101983354352423,2.920285868312873,3.0450336921587287,2.445814246228417
3,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-La Crosse,"Paider,JJ",0,F,28,29.892857142857142,14.79,7.86,1.96,1.32,0.5,1.7857142857142858,5.303597441357428,1.420650784871187,2.522769127510753,0.7418607421473737,1.5386085591227872,0.5489577722143014,1.0834102535177237
4,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Whitewater,"Madson,Collin",0,G,27,33.0,18.0,5.37,1.15,1.22,0.11,1.1851851851851851,5.204559657317562,2.1020910360272476,1.1167552366111675,-0.1484600813503143,1.2827423907542526,-0.4977837426011038,0.08738543437013092
5,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stevens Point,"Miron,Seth",0,G,26,33.30769230769231,14.77,4.73,3.62,1.12,0.27,1.8076923076923077,4.741469815892708,1.4164050512191244,0.7553701401550493,2.566468849562389,1.0268762223857184,-0.06835132626657851,1.1198625342591466
6,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stevens Point,"Butler,Josiah",0,G,26,34.96153846153846,18.62,3.62,1.77,0.92,0.08,1.7307692307692308,4.105143742693601,2.233708779241191,0.1285928634889689,0.533020055154089,0.5151438856486494,-0.5783023206638273,0.9922795516641655
7,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stevens Point,"Krohn,Cal",0,F,13,30.076923076923077,15.85,4.15,2.0,0.46,0.31,1.3076923076923077,3.5970584327739195,1.6456746684305092,0.427864896491692,0.7858272025670127,-0.6618404888466091,0.03900677781705273,0.290573147391768
8,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stout,"Vick,Collin",0,G,26,31.03846153846154,6.85,8.04,4.15,1.96,0.0,2.1153846153846154,3.3990034274266536,-0.26490547499769806,2.624408685889036,3.149024450122605,3.1761520366814078,-0.7930185288310899,1.630194464639072
9,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Oshkosh,"Beck,Brandon",0,F,20,19.85,15.85,3.35,0.95,1.05,0.9,1.85,3.2999659556322127,1.6456746684305092,-0.02386647407845603,-0.36829238344850884,0.8477699045277441,1.6225388130506146,1.1900331746863866
10,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Oshkosh,"Metcalf-Grassman,Michael",0,G,20,22.15,14.35,3.95,1.0,1.4,0.8,1.85,3.2523036947797177,1.327244644525808,0.31493205384915496,-0.31333430792396016,1.7433014938176143,1.3541435528415364,1.1900331746863866
