season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating
2025-26,softball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-La Crosse,Madi Lee,Madi,Lee,,795,Madi Lee,0,0UWL,19,13,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,2,1,0,.000,1.000,2.000,2,8,1,0,0,8,3,0,0,11,.909,11,.727,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,1",1.00,1,1,0,0,0,,UW-La Crosse,UWL,0,True,48,1,13,4,5,0,2,1,0,0,55.2,35,29,37,47,7,0,3,3.65,206,260,8,9,0,2,6,0,0,14,.233,50,62,0,"0,1","3,6","0,2",0,"4,7",,,,14.877588622737807,1,99
2025-26,softball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Dietz Melissa,Dietz,Melissa,,800,Dietz Melissa,0,0WIS.-PLA,36,35,,,116,24,61,44,21,2,6,17,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0.590,104,134,0,.000,.526,.897,31,51,10,0,0,0,0,1,0,92,.891,0,.000,,7,5,17,27,"22,42",0.52,22,42,"36,68",0.53,36,68,"23,38",0.61,23,38,"1,7",0.14,1,7,0,0,0,0,"15,19","8,11","50,72","1,1",1.00,1,1,"0,1",0,0,1,4,7,0,,UW-Platteville,WIS.-PLA,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.139216650240002,2,99
2025-26,softball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-River Falls,Kelly Aultman,Kelly,Aultman,,801,Kelly Aultman,0,0UWRF,40,40,,,121,21,52,38,17,2,9,15,0,0,13,4,1,2,2,0,0,0,0,0,0,0,0,0.493,100,138,3,.333,.430,.826,30,81,14,0,0,0,0,1,0,125,.888,0,.000,,6,2,14,38,"15,42",0.36,15,42,"32,75",0.43,32,75,"25,51",0.49,25,51,"1,3",0.33,1,3,0,0,0,0,"21,31","6,10","45,81","0,1",0,0,1,0,0,0,0,7,21,0,,UW-River Falls,UWRF,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.718863602175443,3,99
2025-26,softball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,Kenna Struns,Kenna,Struns,,793,Kenna Struns,0,02025SO~1,45,45,,,155,55,65,30,10,1,3,18,0,0,2,1,33,1,7,0,0,0,0,0,0,1,0,0.480,86,180,34,.971,.419,.555,49,5,3,0,0,0,0,1,0,57,.947,0,.000,,3,7,41,49,"13,41",0.32,13,41,"33,77",0.43,33,77,"18,44",0.41,18,44,"3,7",0.43,3,7,0,0,0,0,"37,64","9,12","53,87",133,0,0,0,0,0,0,0,15,30,0,,UW-Eau Claire,2025SO~1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.487532170530752,4,98
2025-26,softball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Robbins Abigail,Robbins,Abigail,,800,Robbins Abigail,0,0WIS.-PLA,12,0,,,1,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1,1,2,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,1",0,0,0,0,0,0,"1,1",1.00,1,1,0,0,0,,UW-Platteville,WIS.-PLA,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.930079021084019,5,98
2025-26,softball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,Kiarra Kostroski,Kiarra,Kostroski,,805,Kiarra Kostroski,0,0UWW,47,47,,,141,42,46,36,10,2,7,31,0,3,16,7,4,1,3,2,0,0,0,0,0,1,0,0.452,81,180,5,.800,.326,.574,255,17,3,0,0,0,0,8,0,275,.989,0,.000,,6,6,23,54,"12,32",0.38,12,32,"28,82",0.34,28,82,"16,49",0.33,16,49,"3,11",0.27,3,11,0,0,0,0,"8,25","8,16","58,100",7,0,0,0,0,0,0,0,8,21,0,,UW-Whitewater,UWW,1147-7003,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.814019893479967,6,98
2025-26,softball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,Molly Marqua,Molly,Marqua,,793,Molly Marqua,0,02025SO~1,44,44,,,138,23,55,51,24,1,7,19,1,2,11,1,1,0,1,1,0,0,0,1,0,2,0,0.475,102,161,1,1.000,.399,.739,49,89,12,1,0,16,1,3,0,150,.920,17,.941,,1,5,30,43,"17,43",0.40,17,43,"42,90",0.47,42,90,"29,67",0.43,29,67,"0,1",0,0,1,0,0,0,0,"5,22","12,25","55,99",196,0,0,0,45,0,0,0,7,24,0,,UW-Eau Claire,2025SO~1,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,0,0,,,,9.564679563274472,7,97
2025-26,softball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stevens Point,Jesse Klicker,Jesse,Klicker,,802,Jesse Klicker,0,0UWSP,46,46,,,145,30,48,30,7,3,6,16,0,4,14,8,16,3,1,2,0,0,0,1,0,1,0,0.407,79,168,19,.842,.331,.545,60,70,10,0,0,0,0,4,0,140,.929,0,.000,,7,0,22,57,"11,41",0.27,11,41,"31,84",0.37,31,84,"21,50",0.42,21,50,"8,14",0.57,8,14,0,0,0,0,"15,27","9,13","45,91",0,0,0,0,0,0,0,0,9,24,0,,UW-Stevens Point,UWSP,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.998017701482482,8,97
2025-26,softball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Peters Allison,Peters,Allison,,800,Peters Allison,0,0WIS.-PLA,41,41,,,146,32,58,33,12,2,6,14,0,1,17,5,0,0,0,0,0,0,0,2,0,5,0,0.453,92,161,0,.000,.397,.630,57,30,9,0,0,0,0,0,0,96,.906,0,.000,,4,6,30,37,"14,34",0.41,14,34,"32,73",0.44,32,73,"21,41",0.51,21,41,"2,6",0.33,2,6,0,0,0,0,"12,27","8,11","44,75",62,0,0,0,34,0,0,0,8,20,0,,UW-Platteville,WIS.-PLA,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8874223938322,9,97
2025-26,softball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,Paige Lathro,Paige,Lathro,,793,Paige Lathro,0,02025SO~1,45,45,,,156,43,69,27,3,2,0,9,1,3,21,6,26,4,2,0,0,0,0,0,1,0,0,0.482,76,170,30,.867,.442,.487,52,2,0,0,0,0,0,1,0,54,1.000,0,.000,,5,6,35,25,"18,44",0.41,18,44,"44,93",0.47,44,93,"38,71",0.54,38,71,"3,6",0.50,3,6,0,0,0,0,"14,22","10,17","62,97",141,0,0,0,0,0,0,0,16,20,0,,UW-Eau Claire,2025SO~1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15946793857572,10,96
