conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Oshkosh,"Seckar,Paige",0,F,22,27,27,131,265,11,25,124,93,366,35,44,59,820,40,154,194,39,0,43,0,0,0.49,0.44,0.75,13.56,7.19,2.19,1.63,1.3,1.5925925925925926,2.633141052710618,2.74442377468756,1.9729455851965558,0.9529941832498644,1.0976487016454055,2.116997295243103,5.376923674451552,11.74992443799653,1,99
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Stevens Point,"Rice,Maija",0,G,12,26,26,166,370,18,69,120,101,451,3,44,67,741,69,125,194,67,0,91,0,0,0.45,0.26,0.84,17.35,7.46,2.58,1.69,0.12,3.5,3.6408340401616783,2.886934843337727,2.4856085984368854,3.445836511046863,0.838413283319585,2.230974659843879,-0.146347123701326,11.710263734854436,2,94
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Platteville,"Mackiewicz,Ella",0,G,22,26,26,146,335,31,103,99,69,392,25,56,52,765,40,124,164,66,0,77,1,0,0.44,0.3,0.7,15.08,6.31,2.0,2.15,0.96,2.9615384615384617,3.0372817759099875,2.2799432546425726,1.7231866813102414,2.7421065633939388,0.7736044287381297,3.1048011217831606,3.7854727665091965,10.99766358739502,3,92
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-River Falls,"Buchan,Zoey",0,G,10,27,27,118,277,47,124,127,106,389,2,29,67,784,14,65,79,78,0,60,1,0,0.43,0.38,0.83,14.41,2.93,2.48,1.07,0.07,2.2222222222222223,2.8591407992365814,0.4959158026515993,2.3541565437598777,1.7758741749498446,0.7087955741566745,1.053208558969195,-0.3803840219281428,8.469887258469113,4,91
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Stout,"Verhagen,Addy",0,G,4,25,21,103,247,24,62,86,64,294,4,32,102,764,14,76,90,46,1,70,1,0,0.42,0.39,0.74,11.76,3.6,4.08,1.28,0.16,2.8,2.1545533541850483,0.8495543804131237,4.457389418591999,2.530987579098061,0.6439867195752191,1.4521293350719104,0.04088239488012751,7.977371781230981,5,90
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Eau Claire,"Overskei,Kyla",0,G,24,25,25,117,347,54,176,89,76,364,8,21,31,806,32,100,132,41,0,69,0,0,0.34,0.31,0.85,14.56,5.28,1.24,0.84,0.32,2.76,2.899023107447045,1.7362899186808265,0.7241510657649836,2.478710497272415,0.12551588292357788,0.6162953279995539,0.7898004692059414,7.886136476352851,6,88
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Oshkosh,"Beyer,Sammi",0,G,8,27,27,121,302,48,137,32,26,316,6,20,88,779,21,59,80,45,0,39,0,0,0.4,0.35,0.81,11.7,2.96,3.26,0.74,0.22,1.4444444444444444,2.1386004309008624,0.511750365834951,3.379482570240537,0.7593753616733985,0.5143690104123091,0.4263330536649275,0.3217266727523077,7.763623400653861,7,87
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Whitewater,"Gillis,Mia",0,F,20,27,27,142,279,0,2,70,52,336,20,27,31,669,32,105,137,61,0,69,0,0,0.51,0.0,0.74,12.44,5.07,1.15,1.0,0.74,2.5555555555555554,2.3353531514058186,1.6254479763973637,0.6058442165556767,2.2115165234968925,1.227266410808316,0.9202349669349563,2.755710414311203,7.637436125237164,8,87
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-La Crosse,"Janke,Molly",0,F,4,27,26,105,277,32,105,38,25,267,12,26,43,723,39,167,206,63,0,48,0,0,0.38,0.3,0.66,9.89,7.63,1.59,0.96,0.44,1.7777777777777777,1.6573539118279288,2.976664034710054,1.1842332571345102,1.1950177102204467,0.38475130124939855,0.8442500572011057,1.351489024950302,7.046314358897959,9,86
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Eau Claire,"Hutchinson,Reanna",0,G,22,25,25,119,282,30,95,62,40,308,5,37,30,717,22,62,84,64,0,57,3,0,0.42,0.32,0.65,12.32,3.36,1.2,1.48,0.2,2.28,2.3034473048374475,0.7228778749463088,0.6715702438941805,1.851385515364666,0.6439867195752191,1.8320538837411633,0.22811191346158102,6.576983809136156,10,85
