season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Chapman, Naiya",Naiya,Chapman,0,53,"Chapman, Naiya","Chapman,Naiya",ChapmanNaiyaBEL,19,0,2,,Beloit,BEL,1093-1630,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,1,0,1,1.000,100,3,12,-9,6,0,00:00,0,0,0000000,0,0,0,0,0,0,0,.000,0,0,0,0.00,0,1,1,1,0,0.00,0,0,True,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Sinclair, Avery",Avery,Sinclair,0,53,"Sinclair, Avery","Sinclair,Avery",SinclairAveryBEL,23,8,3,,Beloit,BEL,1093-1631,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,1,1,.000,0,2,25,-23,14,,,,,,,,,,,,,,,,,,0,9,2,2,0,0.00,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Fussy, Julia",Julia,Fussy,0,53,"Fussy, Julia","Fussy,Julia",FussyJuliaBEL,25,2,4,,Beloit,BEL,1093-1632,0,,0,0,0,1,0,0,1,0,0,5,10:00,0,0,0,0,0,0,5,2,0,2,1.000,200,4,19,-15,13,,,,,,,,,,,,,,,,,,0,32,5,2,3,0.09,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Chady, Hannah",Hannah,Chady,0,53,"Chady, Hannah","Chady,Hannah",ChadyHannahBEL,25,3,5,,Beloit,BEL,1093-1633,0,,0,0,0,0,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,0,0,0,NaN,0,2,35,-33,29,,,,,,,,,,,,,,,,,,0,8,1,1,0,0.00,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Detsch, Britni",Britni,Detsch,0,53,"Detsch, Britni","Detsch,Britni",DetschBritniBEL,25,8,6,,Beloit,BEL,1093-1634,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,2,22,-20,7,,,,,,,,,,,,,,,,,,0,17,1,1,0,0.00,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Fussy, Rachel",Rachel,Fussy,0,53,"Fussy, Rachel","Fussy,Rachel",FussyRachelBEL,22,2,7,,Beloit,BEL,1093-1635,0,,0,0,0,1,1,0,0,1,0,10,20:00,0,0,0,0,0,0,10,139,159,298,.466,1.14,4,19,-15,17,,,,,,,,,,,,,,,,,,0,25,3,2,1,0.04,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Fairnington, Kiera",Kiera,Fairnington,0,53,"Fairnington, Kiera","Fairnington,Kiera",FairningtonKieraBEL,21,0,8,,Beloit,BEL,1093-1636,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,36,61,97,.371,1.69,2,16,-14,7,,,,,,,,,,,,,,,,,,0,6,0,0,0,0.00,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Daly, Evie",Evie,Daly,0,53,"Daly, Evie","Daly,Evie",DalyEvieBEL,25,1,9,,Beloit,BEL,1093-1637,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,2,1,3,.667,0.50,5,33,-28,4,,,,,,,,,,,,,,,,,,0,15,1,0,1,0.07,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Schryer, Kylie",Kylie,Schryer,0,53,"Schryer, Kylie","Schryer,Kylie",SchryerKylieBEL,25,15,11,,Beloit,BEL,1093-1638,0,,0,0,0,1,1,1,0,0,0,3,06:00,0,0,0,0,0,0,3,193,248,441,.438,1.28,8,25,-17,10,,,,,,,,,,,,,,,,,,0,35,6,2,4,0.11,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Kostiuk, Makenzee",Makenzee,Kostiuk,0,53,"Kostiuk, Makenzee","Kostiuk,Makenzee",KostiukMakenzeeBEL,18,9,12,,Beloit,BEL,1093-1639,0,,0,0,0,0,0,0,1,1,0,1,02:00,0,0,0,0,0,0,1,0,0,0,NaN,0,4,11,-7,10,,,,,,,,,,,,,,,,,,0,33,5,3,2,0.06,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Ludwig, Natasha",Natasha,Ludwig,0,53,"Ludwig, Natasha","Ludwig,Natasha",LudwigNatashaBEL,23,9,13,,Beloit,BEL,1093-1640,0,,0,0,0,0,1,1,1,0,0,1,02:00,0,0,0,0,0,0,1,53,98,151,.351,1.85,5,22,-17,16,,,,,,,,,,,,,,,,,,0,23,4,1,3,0.13,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Gurr, Natalie",Natalie,Gurr,0,53,"Gurr, Natalie","Gurr,Natalie",GurrNatalieBEL,24,6,14,,Beloit,BEL,1093-1641,0,,0,0,0,0,0,0,0,0,0,7,14:00,0,0,0,0,0,0,7,43,60,103,.417,1.40,2,29,-27,33,,,,,,,,,,,,,,,,,,0,22,1,1,0,0.00,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Hoffman, Madi",Madi,Hoffman,0,53,"Hoffman, Madi","Hoffman,Madi",HoffmanMadiBEL,25,12,16,,Beloit,BEL,1093-1642,0,,0,0,0,0,0,0,2,0,0,4,08:00,0,0,0,0,0,0,4,1,4,5,.200,4.00,2,33,-31,8,,,,,,,,,,,,,,,,,,0,40,6,3,3,0.08,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Hutchinson, Tate",Tate,Hutchinson,0,53,"Hutchinson, Tate","Hutchinson,Tate",HutchinsonTateBEL,22,12,17,,Beloit,BEL,1093-1643,0,,0,0,0,0,0,0,0,0,0,8,16:00,0,0,0,0,0,0,8,0,0,0,NaN,0,10,18,-8,26,,,,,,,,,,,,,,,,,,0,11,1,1,0,0.00,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Beloit,"Rutz, Bre",Bre,Rutz,0,53,"Rutz, Bre","Rutz,Bre",RutzBreBEL,1,0,19,,Beloit,BEL,1093-1644,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.00,0,0,False,,
