season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats
2026-27,wlax,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Augsburg,Fabiola Guerra-Guardado,Fabiola,Guerra-Guardado,,38,Fabiola Guerra-Guardado,"GUERRA-GUARDADO,FABIOLA",GUERRA-GUARDADOFABIOLAAUG,11,10,,,Augsburg,AUG,1103-13470,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,3,19,2,600:00,0,0,1.000,,1,1,1,0,0,0,1.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Augsburg,Emma Ryan,Emma,Ryan,,38,Emma Ryan,"RYAN,EMMA",RYANEMMAAUG,12,12,,,Augsburg,AUG,1103-13369,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,22,14,22,13,718:00,24,0,1.000,,3,5,1,3,2,1,.600,0.25,,,,,,,,,,,,,,,,,,
2026-27,wlax,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Augsburg,Shaydi Falcon,Shaydi,Falcon,,38,Shaydi Falcon,"FALCON,SHAYDI",FALCONSHAYDIAUG,6,1,,,Augsburg,AUG,1103-13510,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,6,3,60:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Augsburg,Dulce Sanchez,Dulce,Sanchez,,38,Dulce Sanchez,"SANCHEZ,DULCE",SANCHEZDULCEAUG,12,11,,,Augsburg,AUG,1103-13513,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,2,21,8,660:00,0,0,1.000,,1,1,0,0,0,0,1.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Augsburg,Alexa Martinez Perez,Alexa Martinez,Perez,,38,Alexa Martinez Perez,"PEREZ,ALEXA MARTINEZ",PEREZALEXAMARTINEZAUG,11,6,,,Augsburg,AUG,1103-13512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,378:00,26,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Augsburg,Isabella Kohout,Isabella,Kohout,,38,Isabella Kohout,"KOHOUT,ISABELLA",KOHOUTISABELLAAUG,12,12,,,Augsburg,AUG,1103-12959,0,2,0,0,0,0,6,0,1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,17,7,23,14,720:00,0,0,1.000,,18,24,5,8,1,7,.750,0.67,,,,,,,,,,,,,,,,,,
2026-27,wlax,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Augsburg,Jasmine Henriquez,Jasmine,Henriquez,,38,Jasmine Henriquez,"HENRIQUEZ,JASMINE",HENRIQUEZJASMINEAUG,9,0,,,Augsburg,AUG,1103-13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18:00,42,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Augsburg,Melanie Delestrez,Melanie,Delestrez,,38,Melanie Delestrez,"DELESTREZ,MELANIE",DELESTREZMELANIEAUG,2,0,,,Augsburg,AUG,1103-13094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Augsburg,Sarah Mann,Sarah,Mann,,38,Sarah Mann,"MANN,SARAH",MANNSARAHAUG,10,9,,,Augsburg,AUG,1103-13472,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,8,8,540:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,Augsburg,Astrid Clem,Astrid,Clem,,38,Astrid Clem,"CLEM,ASTRID",CLEMASTRIDAUG,12,10,,,Augsburg,AUG,1103-13318,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,19,0,600:00,0,0,1.000,,4,6,2,3,0,3,.667,0.25,,,,,,,,,,,,,,,,,,
