conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wvball,UW-Oshkosh,"Moe, Hannah",0,,12,47,15,.193,119,18,41,5,1,26,0,0,0,0,0,0,1,0,31,27,1,25,2,55.5,0,0.87,0.11,0.66,0.57,0.00,1.18
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wvball,UW-Oshkosh,"Dutkiewicz, Jaclyn",0,,16,111,0,.079,38,1,4,588,9,1572,0,38,30,446,0,0,2,0,206,1,0,1,0,42.5,0,0.04,5.30,1.86,0.01,0.34,0.38
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wvball,UW-Oshkosh,"Coon, Izzy",0,,22,126,57,.112,98,9,20,820,10,2054,0,33,21,448,0,0,2,0,309,6,0,6,0,56,1,0.16,6.51,2.45,0.05,0.26,0.44
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wvball,UW-Oshkosh,"Grier, Lauren",0,,14,103,48,.318,471,71,221,6,0,42,0,0,0,0,0,0,1,0,23,130,6,88,42,307,0,2.15,0.06,0.22,1.26,0.00,2.98
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wvball,UW-Oshkosh,"Juergens, Grace",0,,7,124,57,.208,1248,142,402,12,4,106,0,50,29,507,0,0,827,40,367,32,4,28,4,470,1,3.24,0.10,2.96,0.26,0.40,3.79
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wvball,UW-Oshkosh,"Winchel, Malia",0,,3,29,0,.000,1,0,0,8,0,26,0,8,11,106,0,0,98,10,76,0,0,0,0,8,0,0.00,0.28,2.62,0.00,0.28,0.28
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wvball,UW-Oshkosh,"Perlberg, Samantha",0,,5,124,56,.252,1478,188,560,26,5,135,0,31,27,488,0,0,623,29,434,60,3,49,11,626.5,1,4.52,0.21,3.50,0.48,0.25,5.05
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wvball,UW-Oshkosh,"Lamb, Emily",0,,13,1,0,.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wvball,UW-Oshkosh,"Stamm, Carly",0,,21,5,0,.462,13,1,7,0,0,0,0,1,1,14,0,0,1,0,3,2,0,1,1,9.5,0,1.40,0.00,0.60,0.40,0.20,1.90
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wvball,UW-Oshkosh,"Wizceb, Emmy",0,,26,46,15,.192,146,25,53,4,1,25,0,2,4,54,0,0,0,0,27,35,2,30,5,75,0,1.15,0.09,0.59,0.76,0.04,1.63
