rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,21,2025-2026,K Robinson,Mary Washington,,Coast-To-Coast Athletic Conference (C2C),c2c,27,36.2,24.6,6.9,4.1,1.5,0.2,2.9,8.530249873949767,95
2,238,2025-2026,J Espy,UC Santa Cruz,,Coast-To-Coast Athletic Conference (C2C),c2c,26,27.3,16.2,8.5,2.0,0.3,1.0,2.2,4.7496225003886,92
3,258,2025-2026,C Wiley,Johnson & Wales - Charlotte,,Coast-To-Coast Athletic Conference (C2C),c2c,24,31.2,13.7,6.9,1.7,1.3,1.2,1.8,4.627767224988131,92
4,300,2025-2026,T Henderson,Chris. Newport,,Coast-To-Coast Athletic Conference (C2C),c2c,26,30.0,11.5,4.4,4.3,1.5,0.6,1.5,4.318891352623144,91
5,370,2025-2026,T Hollenbeck,Chris. Newport,,Coast-To-Coast Athletic Conference (C2C),c2c,26,27.0,19.0,3.1,1.9,0.5,0.3,1.7,3.80045899336979,90
6,397,2025-2026,J Randall,Mary Washington,,Coast-To-Coast Athletic Conference (C2C),c2c,27,28.6,12.8,6.3,1.7,0.9,0.6,1.1,3.644608277490983,90
7,408,2025-2026,C Hines,Chris. Newport,,Coast-To-Coast Athletic Conference (C2C),c2c,26,27.7,8.9,7.4,3.5,1.5,1.1,2.2,3.6024189750134363,90
8,598,2025-2026,T Williams,Warren Wilson,,Coast-To-Coast Athletic Conference (C2C),c2c,22,33.3,18.2,5.5,1.7,0.7,0.1,2.9,2.763508008371752,87
9,726,2025-2026,D Tema,Regent,,Coast-To-Coast Athletic Conference (C2C),c2c,22,23.6,10.4,5.7,1.5,1.5,0.9,2.0,2.2478305028383305,85
10,912,2025-2026,U Young,Mary Washington,,Coast-To-Coast Athletic Conference (C2C),c2c,23,30.7,10.3,2.5,2.2,1.5,0.1,1.0,1.6293261234386596,83
11,1020,2025-2026,J Graves,Salisbury,,Coast-To-Coast Athletic Conference (C2C),c2c,23,28.9,14.0,2.9,1.6,1.3,0.1,2.3,1.2652184038016097,82
12,1115,2025-2026,C Breznikar,UC Santa Cruz,,Coast-To-Coast Athletic Conference (C2C),c2c,18,27.1,9.1,6.4,3.2,1.4,0.4,3.2,0.9862138400376792,80
13,1127,2025-2026,K Bates,Mary Washington,,Coast-To-Coast Athletic Conference (C2C),c2c,27,25.9,8.1,4.7,1.5,1.8,0.1,1.3,0.9678064044304432,80
14,1143,2025-2026,D Smith,Warren Wilson,,Coast-To-Coast Athletic Conference (C2C),c2c,17,22.5,10.1,3.7,2.6,1.4,0.3,2.3,0.9310096981613876,80
15,1180,2025-2026,L Wagner,UC Santa Cruz,,Coast-To-Coast Athletic Conference (C2C),c2c,26,21.3,11.7,4.4,1.5,0.3,0.5,1.8,0.8426677851898585,79
16,1226,2025-2026,E Smith,Johnson & Wales - Charlotte,,Coast-To-Coast Athletic Conference (C2C),c2c,20,26.9,10.3,5.5,1.7,0.5,0.3,1.8,0.7160869417573648,79
17,1246,2025-2026,J Burgess,Mary Washington,,Coast-To-Coast Athletic Conference (C2C),c2c,23,25.1,9.9,4.0,1.1,0.8,0.2,1.0,0.6815226073243147,79
18,1284,2025-2026,I Allen,Warren Wilson,,Coast-To-Coast Athletic Conference (C2C),c2c,21,22.5,8.0,3.4,1.4,2.0,0.1,1.3,0.5940505592049385,78
19,1305,2025-2026,E Ward,Chris. Newport,,Coast-To-Coast Athletic Conference (C2C),c2c,26,24.6,8.7,6.5,0.4,0.5,1.0,1.7,0.538315902601896,78
20,1313,2025-2026,B Lim,UC Santa Cruz,,Coast-To-Coast Athletic Conference (C2C),c2c,24,24.4,9.8,4.6,1.3,0.4,0.5,1.4,0.5253527595193409,78
21,1315,2025-2026,L Elung,Salisbury,,Coast-To-Coast Athletic Conference (C2C),c2c,26,26.6,7.5,6.7,1.7,0.8,0.5,1.8,0.5157001218204003,78
22,1395,2025-2026,Z Baskerville,Chris. Newport,,Coast-To-Coast Athletic Conference (C2C),c2c,22,18.1,8.1,4.5,1.4,0.9,0.5,1.4,0.3356924912306203,77
