rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,19,"Plesser,Jack",Union,Liberty League (LL),ll,25,31.52,22.64,7.6,1.48,1.0,1.48,1.6,8.813130749261461,95
2,81,"Dudzinski,Adam",St. Lawrence,Liberty League (LL),ll,27,35.81481481481482,17.0,8.19,1.3,1.7,0.89,1.6666666666666667,6.36612392269266,94
3,205,"Roy,Aidan",Skidmore,Liberty League (LL),ll,25,33.68,14.16,4.56,3.96,1.32,0.72,1.72,5.0020325022720264,92
4,211,"Nedd,Monty",Hobart,Liberty League (LL),ll,24,28.041666666666668,14.46,6.04,3.58,2.33,0.29,2.5,4.968523255009407,92
5,221,"Deppe,Andrew",RPI,Liberty League (LL),ll,27,30.25925925925926,13.15,5.74,3.3,1.41,0.67,1.4814814814814814,4.843413529351087,92
6,229,"Cabral,Evan",Ithaca,Liberty League (LL),ll,23,28.73913043478261,17.74,4.26,2.52,2.39,0.17,2.608695652173913,4.790388626313601,92
7,247,"Fitzgerald,Shea",Vassar,Liberty League (LL),ll,28,33.357142857142854,16.64,5.07,2.86,1.54,0.0,1.7857142857142858,4.703126517564057,92
8,287,"Burns,Braeden",Clarkson,Liberty League (LL),ll,25,33.56,17.04,5.84,2.4,1.4,0.16,2.2,4.435707527270875,91
9,351,"Anderson,Dan",St. Lawrence,Liberty League (LL),ll,27,31.96296296296296,13.44,3.22,2.74,2.19,0.07,1.2962962962962965,3.899004224849654,90
10,383,"Turner,Josiah",RIT,Liberty League (LL),ll,25,29.0,14.6,7.28,2.4,0.68,1.12,2.84,3.717042717775592,90
11,431,"Gooden,Jacob",Skidmore,Liberty League (LL),ll,18,32.44444444444444,19.06,2.28,2.5,1.28,0.56,3.0555555555555554,3.5219679020041825,89
12,432,"Zenker,Matthew",Ithaca,Liberty League (LL),ll,25,28.4,16.12,5.2,2.0,0.88,0.68,2.36,3.521462185707585,89
13,442,"Moesch,Alex",Hobart,Liberty League (LL),ll,25,30.8,14.92,5.16,2.08,1.2,0.4,1.96,3.46087379135687,89
14,460,"Muhammad,Muhsin",RIT,Liberty League (LL),ll,20,27.0,13.2,4.95,1.5,1.5,0.7,1.65,3.30488698838398,89
15,478,"Neuenhaus,Parker",Vassar,Liberty League (LL),ll,28,27.0,14.39,6.18,1.61,0.21,0.82,1.6071428571428572,3.2376924129876454,89
16,498,"Skoric,Joey",Skidmore,Liberty League (LL),ll,26,24.26923076923077,9.96,7.5,0.35,0.65,1.88,1.3076923076923077,3.1336121576175784,89
17,533,"Abernethy,Nate",Clarkson,Liberty League (LL),ll,25,28.0,14.24,5.64,0.76,0.48,0.92,1.44,2.9962335137343175,88
18,534,"Scalisi,PJ",RPI,Liberty League (LL),ll,27,30.48148148148148,12.63,4.52,2.15,1.63,0.44,1.7777777777777777,2.996219555768205,88
19,596,"Denham,Nathan",Vassar,Liberty League (LL),ll,26,22.96153846153846,9.19,6.96,0.92,1.58,0.92,1.2307692307692308,2.7686818709465753,87
20,614,"Paki,Dorian",Hobart,Liberty League (LL),ll,25,24.88,13.56,6.36,1.04,0.72,0.96,2.08,2.7210777908650363,87
21,621,"Tedesco,Tanner",Union,Liberty League (LL),ll,26,35.30769230769231,14.54,2.38,5.77,0.5,0.04,2.8076923076923075,2.6737716557858784,87
22,742,"Garside,Matthew",Union,Liberty League (LL),ll,26,30.076923076923077,11.54,2.58,2.69,1.69,0.38,1.7692307692307692,2.198178055239916,85
23,768,"DeRegis,Steve",Clarkson,Liberty League (LL),ll,25,28.72,13.0,4.28,2.72,0.88,0.04,1.84,2.1126567323254193,85
24,782,"Dufort,Christian",Union,Liberty League (LL),ll,26,31.0,10.73,7.19,2.12,0.54,0.46,1.7692307692307692,2.067911421076296,85
25,959,"Stewart,Yechiel",RPI,Liberty League (LL),ll,22,26.363636363636363,12.18,3.05,0.95,1.18,0.23,1.1363636363636365,1.4734376715710966,82
26,966,"Downs,Chris",St. Lawrence,Liberty League (LL),ll,15,28.133333333333333,9.47,4.87,1.0,0.8,1.27,1.6,1.4530606297011115,82
27,999,"Mordi,Allen",Hobart,Liberty League (LL),ll,25,24.64,10.68,6.52,1.04,0.6,0.36,1.48,1.3354724963046616,82
28,1032,"Matchett,Dylan",RPI,Liberty League (LL),ll,21,24.285714285714285,7.33,5.14,2.67,1.33,0.33,1.4761904761904765,1.2180078149795557,81
29,1073,"Ditzel,Zac",RIT,Liberty League (LL),ll,25,27.48,10.68,4.0,1.28,0.64,0.44,1.16,1.1049454025196523,81
30,1101,"MCKIERNAN, Thomas",Ithaca,Liberty League (LL),ll,20,19.8,8.05,2.65,2.85,1.3,0.35,1.25,1.0090453529795018,80
31,1155,"O'Neal,Jaylon",Ithaca,Liberty League (LL),ll,26,24.653846153846153,8.96,5.23,2.73,1.54,0.5,2.8076923076923075,0.9059432315641368,80
32,1195,"Driscoll,Kellen",RPI,Liberty League (LL),ll,27,28.555555555555557,7.96,3.81,2.15,0.93,0.3,0.9629629629629628,0.8017195882906705,79
33,1244,"Fantom,Charlie",Skidmore,Liberty League (LL),ll,21,26.285714285714285,7.67,5.0,1.33,1.05,0.14,0.7619047619047619,0.6887606929098943,79
34,1293,"Medina,Sebastian",Vassar,Liberty League (LL),ll,28,25.857142857142858,5.61,4.32,2.61,0.96,0.93,1.4642857142857142,0.57830162681702,78
35,1409,"Rappa,Lorenzo",Clarkson,Liberty League (LL),ll,25,23.68,6.48,3.88,2.24,1.16,0.04,0.84,0.2906879107010023,76
36,1420,"Brown,Brody",RIT,Liberty League (LL),ll,25,28.6,7.6,3.12,2.52,0.68,0.64,1.48,0.2593815481013245,76
37,1500,"Karageuzian,Kreekor",Vassar,Liberty League (LL),ll,28,28.0,4.68,4.54,3.39,1.32,0.21,1.6428571428571428,0.0112186634562032,75
38,1579,"LaGarde,Jack",Skidmore,Liberty League (LL),ll,26,16.884615384615383,4.92,4.81,0.35,0.38,1.15,0.4615384615384615,-0.2255063678652178,74
39,1585,"Bergeron,Gabriel",Hobart,Liberty League (LL),ll,24,25.125,7.71,3.79,0.92,0.63,0.71,1.25,-0.2346184774865263,74
40,1595,"Cuffy-Scott,Azikiwe",Bard,Liberty League (LL),ll,23,15.91304347826087,9.83,3.91,0.57,0.74,0.26,1.4782608695652173,-0.2618053532728606,74
41,1608,"Frei,Max",Bard,Liberty League (LL),ll,17,24.176470588235293,8.94,4.41,2.12,0.88,0.35,2.4705882352941178,-0.280350745792808,74
42,1688,"Feeks,Billy",RPI,Liberty League (LL),ll,27,28.37037037037037,9.56,2.0,2.04,1.0,0.0,1.7777777777777777,-0.4814979775568857,73
43,1735,"Pierman,Nigel",RIT,Liberty League (LL),ll,24,17.291666666666668,7.04,3.58,0.63,0.79,0.71,1.2083333333333333,-0.582661380795657,72
44,1785,"Phelan,Aidan",St. Lawrence,Liberty League (LL),ll,27,21.85185185185185,7.67,2.89,0.74,0.78,0.11,0.7037037037037037,-0.7055486911043386,71
45,1822,"Brown,Jlin",St. Lawrence,Liberty League (LL),ll,25,22.88,5.48,3.96,1.84,1.12,0.28,1.44,-0.7827486622786228,71
46,1843,"McMahon,Tommy",St. Lawrence,Liberty League (LL),ll,27,26.59259259259259,6.26,3.41,1.96,1.15,0.04,1.4074074074074074,-0.8118342470123211,71
47,1858,"Tovar,Lucas",Bard,Liberty League (LL),ll,25,29.48,9.12,3.72,4.08,1.44,0.24,4.36,-0.8478040777368028,70
48,1908,"Penders,Alex",Ithaca,Liberty League (LL),ll,26,17.846153846153847,5.73,3.08,1.27,0.54,0.31,0.6153846153846154,-0.9830537981085796,70
49,1943,"White,Pat",RPI,Liberty League (LL),ll,13,22.923076923076923,5.92,4.77,1.46,0.46,0.15,1.1538461538461535,-1.0686942944748323,69
50,1961,"Gibbs,Samuel",Bard,Liberty League (LL),ll,16,25.9375,7.75,1.75,1.06,1.13,0.13,1.25,-1.1045499626293305,69
