rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,10,"Overway,Jalen",Calvin,Michigan Intercollegiate Athletic Association (MIAA),miaa,27,32.0,23.15,10.7,3.33,0.41,1.07,2.407407407407407,9.348567396896284,96
2,39,"Hovey,Parker",Hope,Michigan Intercollegiate Athletic Association (MIAA),miaa,23,31.08695652173913,16.65,7.7,3.04,1.83,2.04,2.652173913043478,7.727192775667912,95
3,249,Conner Schipper,Olivet,Michigan Intercollegiate Athletic Association (MIAA),miaa,23,29.043478260869566,11.09,6.17,2.87,0.91,2.39,2.260869565217391,4.685014793230279,92
4,290,"Heitzman,Korbin",Alma,Michigan Intercollegiate Athletic Association (MIAA),miaa,25,31.36,17.08,8.72,1.16,0.68,0.72,2.4,4.423664058925975,91
5,329,"Bradshaw,Jayden",Trine,Michigan Intercollegiate Athletic Association (MIAA),miaa,28,27.678571428571427,15.96,5.54,1.89,1.21,0.79,2.2857142857142856,4.057492534992148,91
6,332,"Welch,Darrius",Adrian,Michigan Intercollegiate Athletic Association (MIAA),miaa,25,32.48,15.56,6.36,1.8,1.8,1.0,3.12,4.037752519830443,91
7,348,Porter Kretschman,Olivet,Michigan Intercollegiate Athletic Association (MIAA),miaa,26,30.076923076923077,10.38,9.15,3.0,1.12,0.73,1.9615384615384617,3.926121165479208,91
8,355,"Umeh,Michael",Albion,Michigan Intercollegiate Athletic Association (MIAA),miaa,26,23.615384615384617,14.0,8.08,0.54,0.92,1.23,1.9615384615384617,3.868446201058426,90
9,398,Nathan Richardson,Olivet,Michigan Intercollegiate Athletic Association (MIAA),miaa,26,33.19230769230769,14.62,2.92,3.54,2.0,0.08,2.1923076923076925,3.641982040396513,90
10,446,"Winkle,Trevin",Calvin,Michigan Intercollegiate Athletic Association (MIAA),miaa,27,31.333333333333332,13.07,6.04,3.11,1.11,0.59,2.3333333333333335,3.4198670744789723,89
11,549,"Ressler,Luka",Calvin,Michigan Intercollegiate Athletic Association (MIAA),miaa,27,29.74074074074074,9.22,4.44,4.63,1.52,0.44,1.9259259259259256,2.918433399317675,88
12,620,"Tucker,Nate",Trine,Michigan Intercollegiate Athletic Association (MIAA),miaa,28,26.5,12.21,5.36,2.0,1.25,0.14,1.3928571428571428,2.6822352215160064,87
13,705,"Mayes,Kameron",Albion,Michigan Intercollegiate Athletic Association (MIAA),miaa,26,30.46153846153846,13.31,5.92,3.0,1.27,0.19,2.9615384615384617,2.3335961630967432,86
14,746,"Logan,Seth",Adrian,Michigan Intercollegiate Athletic Association (MIAA),miaa,25,28.44,14.64,3.72,1.12,0.56,0.16,1.12,2.178953542170599,85
15,794,"Brenner,Cade",Trine,Michigan Intercollegiate Athletic Association (MIAA),miaa,28,22.25,10.21,5.46,1.64,1.29,0.25,1.1785714285714286,2.051431981720073,85
16,859,"Hanifan,Lucas",Kalamazoo,Michigan Intercollegiate Athletic Association (MIAA),miaa,22,30.0,12.45,3.68,1.77,1.5,0.05,1.681818181818182,1.8353052351035697,84
17,876,"Cargill,Brendan",Hope,Michigan Intercollegiate Athletic Association (MIAA),miaa,27,27.925925925925927,13.04,3.67,1.11,1.33,0.04,1.4074074074074074,1.763889250537228,83
18,977,"Wourman,Marcus",Hope,Michigan Intercollegiate Athletic Association (MIAA),miaa,27,29.074074074074073,10.81,3.04,1.63,1.56,0.0,1.148148148148148,1.4155916275984484,82
19,1068,"Yant,Orion",Hope,Michigan Intercollegiate Athletic Association (MIAA),miaa,26,17.73076923076923,9.35,5.0,1.0,0.85,0.96,1.5769230769230769,1.1217692582768135,81
20,1134,"Rhodes,Kurtis",Albion,Michigan Intercollegiate Athletic Association (MIAA),miaa,24,25.166666666666668,10.21,3.96,1.42,0.58,0.75,1.5,0.9437739437961415,80
21,1193,"Swartz,Parker",Calvin,Michigan Intercollegiate Athletic Association (MIAA),miaa,27,28.703703703703702,8.96,4.15,1.59,0.56,0.78,1.3333333333333333,0.8035922690480036,79
22,1216,"McKenzie,Logan",Trine,Michigan Intercollegiate Athletic Association (MIAA),miaa,28,25.785714285714285,8.54,5.25,1.75,0.82,0.29,1.3214285714285714,0.7624844584412466,79
23,1301,"Flood,Danny",Trine,Michigan Intercollegiate Athletic Association (MIAA),miaa,28,26.535714285714285,10.32,2.11,3.29,1.07,0.0,2.0,0.5432355564886685,78
24,1319,"Lewis,Elias",Trine,Michigan Intercollegiate Athletic Association (MIAA),miaa,28,24.392857142857142,8.07,3.04,1.29,0.93,0.54,0.7857142857142857,0.505231345500128,78
25,1338,Sean Shenker,Olivet,Michigan Intercollegiate Athletic Association (MIAA),miaa,26,28.73076923076923,10.96,1.5,2.08,1.65,0.04,1.9615384615384617,0.4551308591400533,77
26,1348,"Bandemer,Carter",Kalamazoo,Michigan Intercollegiate Athletic Association (MIAA),miaa,24,28.458333333333332,10.33,3.88,1.08,0.63,0.29,1.2916666666666667,0.4245015787538101,77
27,1490,"Bradley,Joss",Alma,Michigan Intercollegiate Athletic Association (MIAA),miaa,25,20.92,6.6,4.12,2.52,1.04,0.24,1.48,0.0318189780906796,75
28,1503,"Rager,Luke",Adrian,Michigan Intercollegiate Athletic Association (MIAA),miaa,23,28.652173913043477,9.3,2.35,3.65,0.57,0.09,2.0434782608695654,0.0070451762091383,75
29,1555,Mike Okello,Olivet,Michigan Intercollegiate Athletic Association (MIAA),miaa,26,19.153846153846153,6.65,4.77,1.15,0.77,0.54,1.1538461538461535,-0.1515957620153907,74
30,1557,"Hooser,Malachi",Albion,Michigan Intercollegiate Athletic Association (MIAA),miaa,23,25.73913043478261,9.09,2.74,2.3,0.87,0.13,1.7391304347826086,-0.1586175665801999,74
31,1601,"Brodi,Mason",Albion,Michigan Intercollegiate Athletic Association (MIAA),miaa,26,18.76923076923077,7.58,3.35,1.15,0.88,0.15,0.8076923076923077,-0.2684091778967484,74
32,1652,"Dallas,Jeremiah",Adrian,Michigan Intercollegiate Athletic Association (MIAA),miaa,24,21.916666666666668,7.33,3.29,2.83,1.58,0.04,2.2916666666666665,-0.3838581265876239,73
33,1671,"Lutz,Carson",Adrian,Michigan Intercollegiate Athletic Association (MIAA),miaa,23,23.73913043478261,10.74,2.3,1.48,0.96,0.09,2.0,-0.4266746488842984,73
34,1672,"Perez,Patrick",Kalamazoo,Michigan Intercollegiate Athletic Association (MIAA),miaa,25,21.68,9.16,4.12,0.76,0.96,0.2,1.68,-0.4292580738332466,73
35,1693,"Schlink,Brendon",Adrian,Michigan Intercollegiate Athletic Association (MIAA),miaa,10,22.6,8.6,3.2,0.7,0.3,0.1,0.5,-0.4896141611840711,73
36,1767,"Ray,Dwayne",Albion,Michigan Intercollegiate Athletic Association (MIAA),miaa,24,18.958333333333332,8.33,1.67,1.63,0.79,0.0,0.9583333333333334,-0.680517154307223,72
37,1793,"St. Martin,Logan",Alma,Michigan Intercollegiate Athletic Association (MIAA),miaa,25,22.8,5.6,4.08,1.4,0.48,0.52,0.92,-0.7256167035652351,71
38,1809,"Sykes,Elijah",Alma,Michigan Intercollegiate Athletic Association (MIAA),miaa,23,21.60869565217391,10.96,2.52,1.74,0.39,0.04,2.0434782608695654,-0.7632469095495272,71
39,1874,"Scott,Jordan",Calvin,Michigan Intercollegiate Athletic Association (MIAA),miaa,20,22.35,8.7,3.0,1.85,0.4,0.0,1.5,-0.9035532050888516,70
40,1948,"Collins,Donovan",Alma,Michigan Intercollegiate Athletic Association (MIAA),miaa,25,25.84,8.08,2.32,0.76,0.88,0.08,1.08,-1.0863508163358808,69
41,1951,"Ruckard,Zion",Calvin,Michigan Intercollegiate Athletic Association (MIAA),miaa,27,19.296296296296298,6.26,2.48,1.3,0.81,0.04,0.6666666666666666,-1.090863004629806,69
42,1955,"Sompa,Nelson",Kalamazoo,Michigan Intercollegiate Athletic Association (MIAA),miaa,25,27.2,5.6,2.72,3.4,1.04,0.08,2.0,-1.0939719491578903,69
43,1981,"King,Truman",Albion,Michigan Intercollegiate Athletic Association (MIAA),miaa,26,25.384615384615383,5.0,2.81,0.88,1.19,0.04,0.4230769230769231,-1.1359647251956784,69
44,2028,"Mims,Justice",Hope,Michigan Intercollegiate Athletic Association (MIAA),miaa,26,19.846153846153847,6.58,3.31,1.0,0.62,0.08,0.8846153846153846,-1.2463974303688703,68
45,2029,"Panning,Drew",Trine,Michigan Intercollegiate Athletic Association (MIAA),miaa,27,14.074074074074074,5.04,3.93,0.7,0.56,0.52,0.7777777777777778,-1.2487364494337263,68
46,2035,Sam Howard,Olivet,Michigan Intercollegiate Athletic Association (MIAA),miaa,24,16.375,8.67,1.79,1.0,0.71,0.08,1.2916666666666667,-1.272445515433891,68
