rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,20,"Cook,Jacob",Concordia,Minnesota Intercollegiate Athletic Conference (MIAC),miac,26,34.53846153846154,21.46,11.08,3.35,1.04,0.58,2.5384615384615383,8.625166525996503,95
2,24,"Barnette,Myles",Gustavus,Minnesota Intercollegiate Athletic Conference (MIAC),miac,26,29.96153846153846,18.77,3.88,4.0,2.5,0.73,1.5,8.184701455615704,95
3,27,"Shannon,Noah",Macalester,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,33.64,21.44,7.88,3.52,1.12,0.36,1.96,8.03902705543377,95
4,80,"Loge,Jackson",Concordia,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,32.03703703703704,14.63,10.37,2.19,0.96,1.11,1.5925925925925926,6.3691689529452,94
5,85,"Semanko,JJ",Augsburg,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,30.85185185185185,17.81,8.63,2.48,1.26,0.52,2.074074074074074,6.282140022012813,94
6,107,"Kirk,Kobe",St. Olaf,Minnesota Intercollegiate Athletic Conference (MIAC),miac,26,32.69230769230769,18.73,4.08,1.5,1.04,1.23,1.3076923076923077,5.957738111281136,94
7,178,"Schell,Payton",Concordia,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,31.333333333333332,13.7,4.26,1.63,1.07,1.96,1.0740740740740742,5.21824401763353,93
8,195,"Ebel,Brendan",Hamline,Minnesota Intercollegiate Athletic Conference (MIAC),miac,22,29.772727272727273,14.73,5.95,2.23,2.0,0.68,1.818181818181818,5.087623996621089,93
9,292,"Koelling,Sam",Carleton,Minnesota Intercollegiate Athletic Conference (MIAC),miac,26,30.615384615384617,14.5,7.65,1.35,0.77,0.85,1.4615384615384617,4.396759915057805,91
10,297,"Uhl,AJ",St. Olaf,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,29.68,14.64,6.88,2.24,0.56,0.84,1.64,4.357852083108527,91
11,317,"Klug,Reid",Saint Mary's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,23,30.782608695652176,13.65,5.57,2.57,1.22,0.78,1.7391304347826086,4.163065854824235,91
12,352,"Batala,Elias",Augsburg,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,26.925925925925927,14.63,4.33,1.81,1.15,0.78,1.4444444444444444,3.886778894583981,90
