rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,33,"Rodriguez,Cristian",Lake Forest,Midwest Conference (MWC),mwc,26,28.53846153846154,20.58,9.0,2.27,0.96,0.81,1.7692307692307692,7.869793829238458,95
2,45,"Brown,Zay",Monmouth (IL),Midwest Conference (MWC),mwc,26,32.96153846153846,19.81,9.65,2.0,0.81,1.15,2.076923076923077,7.535998753451454,95
3,184,"Forowycz,Alex",Lake Forest,Midwest Conference (MWC),mwc,26,30.153846153846153,20.42,4.08,2.62,0.77,0.54,2.269230769230769,5.1765398183993065,93
4,302,"Rosen,Zach",Grinnell,Midwest Conference (MWC),mwc,25,17.8,11.64,4.04,5.16,2.32,0.0,2.0,4.305035022095595,91
5,305,"Schoenecker,Casey",Lawrence,Midwest Conference (MWC),mwc,25,29.72,13.12,7.32,2.52,0.72,1.4,2.24,4.267386729398476,91
6,377,"Copes,Tyler",Grinnell,Midwest Conference (MWC),mwc,25,16.04,8.68,5.32,0.6,0.88,2.6,0.76,3.7673210642003743,90
7,502,"Lenhardt,Ty",Illinois Col.,Midwest Conference (MWC),mwc,26,35.23076923076923,18.65,3.31,1.65,0.77,0.12,2.1153846153846154,3.123718791331934,88
8,548,"Garcia,Gabe",Grinnell,Midwest Conference (MWC),mwc,25,15.64,15.12,2.56,4.32,1.32,0.04,2.72,2.9235461673469247,88
9,571,"Campbell,CJ",Lawrence,Midwest Conference (MWC),mwc,25,26.12,13.68,5.24,1.56,0.8,0.6,1.64,2.8340868769535175,88
10,575,"Stewart,Josh",Knox,Midwest Conference (MWC),mwc,25,30.32,13.28,7.48,2.96,1.12,0.28,2.96,2.8190233191385534,87
11,591,"Carter,Anthony",Beloit,Midwest Conference (MWC),mwc,25,33.48,14.32,3.56,2.36,1.16,0.08,1.6,2.7764000128561306,87
12,606,"Thomas,Cameron",Monmouth (IL),Midwest Conference (MWC),mwc,27,30.555555555555557,16.07,3.04,1.11,0.89,0.44,1.5555555555555556,2.7372330117316728,87
13,650,"Taylor,Kyle",Monmouth (IL),Midwest Conference (MWC),mwc,27,32.44444444444444,11.22,3.96,4.33,1.3,0.11,2.111111111111111,2.5348562281662885,86
14,657,"Wright,Russell",Knox,Midwest Conference (MWC),mwc,25,28.52,11.8,6.88,1.4,0.64,1.04,2.0,2.517421555508212,86
15,696,"Bunders,Seth",Ripon,Midwest Conference (MWC),mwc,25,31.12,11.52,4.12,2.84,1.72,0.28,2.08,2.388593125823218,86
16,790,"Campbell,Noah",Knox,Midwest Conference (MWC),mwc,25,26.32,13.24,4.24,2.88,1.72,0.0,2.76,2.0547029226026696,85
17,817,"Doss,Seth",Illinois Col.,Midwest Conference (MWC),mwc,26,24.807692307692307,10.69,6.35,1.35,0.65,0.73,1.5384615384615383,1.9531544783516677,84
18,861,"Marchand,Coltrane",Lake Forest,Midwest Conference (MWC),mwc,24,24.166666666666668,8.96,7.13,2.63,1.13,0.46,2.125,1.827057434808891,84
19,883,"Te Huki,Kai",Grinnell,Midwest Conference (MWC),mwc,25,16.68,12.28,1.56,2.72,1.36,0.12,1.56,1.7377075653717682,83
20,1003,"Bonner,Kylen",Cornell College,Midwest Conference (MWC),mwc,25,21.84,10.88,4.12,2.2,2.12,0.28,2.76,1.3147051747977456,82
21,1006,"Gouriotis,Nicholas",Lawrence,Midwest Conference (MWC),mwc,25,28.24,12.24,5.12,1.4,0.56,0.16,1.6,1.3056147462433136,82
22,1062,"Robinson,Marshawn",Ripon,Midwest Conference (MWC),mwc,13,24.692307692307693,10.85,4.08,1.69,0.92,0.62,1.9230769230769231,1.1326534476436572,81
23,1094,"Thomas,Andrew",Illinois Col.,Midwest Conference (MWC),mwc,25,28.6,8.48,5.24,1.44,1.16,0.28,1.16,1.0336855866977477,81
24,1099,"Maring,Max",Monmouth (IL),Midwest Conference (MWC),mwc,27,22.333333333333332,10.3,5.26,0.63,0.37,0.81,1.2962962962962965,1.0105441142511344,80
25,1139,"Nolan,DeShawn",Illinois Col.,Midwest Conference (MWC),mwc,26,31.076923076923077,11.27,3.5,2.5,1.0,0.04,1.9615384615384617,0.9339959492168236,80
26,1211,"Courtney,Nick",Grinnell,Midwest Conference (MWC),mwc,25,15.8,4.92,4.48,1.48,2.12,0.48,0.92,0.7702122190863727,79
27,1231,"Asman,Michael",Ripon,Midwest Conference (MWC),mwc,15,26.2,10.53,4.27,0.93,0.53,0.47,1.2666666666666666,0.7093812713664764,79
28,1262,"Glenn,Tommy",Beloit,Midwest Conference (MWC),mwc,25,22.8,6.4,4.6,0.92,0.84,1.24,1.04,0.6347998308800296,78
29,1276,"Arington,Luke",Lake Forest,Midwest Conference (MWC),mwc,26,23.5,11.81,2.27,1.38,0.54,0.12,1.0769230769230769,0.61318917733138,78
30,1306,"Roy,Semaj",Beloit,Midwest Conference (MWC),mwc,23,22.82608695652174,9.57,6.43,1.17,0.57,0.39,1.826086956521739,0.5373431385362373,78
31,1340,"Huber,Jason",Monmouth (IL),Midwest Conference (MWC),mwc,27,26.85185185185185,6.11,4.7,2.07,1.19,0.33,1.0740740740740742,0.4531745422655417,77
32,1342,"Williams,Kolby",Ripon,Midwest Conference (MWC),mwc,24,26.958333333333332,8.96,5.5,0.75,0.75,0.79,1.75,0.4488733867878711,77
33,1444,"Valentine,Nathan",Lawrence,Midwest Conference (MWC),mwc,21,25.333333333333332,8.57,2.52,3.0,0.81,0.05,1.4285714285714286,0.2027940704900886,76
34,1526,"Murphy,Sean",Grinnell,Midwest Conference (MWC),mwc,25,15.96,10.0,1.56,0.52,0.76,0.04,0.36,-0.0616651849671012,75
35,1536,"Demovsky,Hogan",Lawrence,Midwest Conference (MWC),mwc,25,29.48,8.4,3.24,1.44,0.76,0.16,1.0,-0.0883994211177796,75
36,1640,"Visnjevac,Marko",Lake Forest,Midwest Conference (MWC),mwc,26,23.615384615384617,8.27,2.65,2.23,0.88,0.0,1.3846153846153846,-0.3436202312981261,73
37,1669,"Lundy,Nick",Grinnell,Midwest Conference (MWC),mwc,25,12.32,7.76,3.44,0.84,0.92,0.0,0.72,-0.4250289888352774,73
38,1711,"Davis,Dae'Quan",Beloit,Midwest Conference (MWC),mwc,24,18.333333333333332,8.83,4.63,0.79,0.5,0.13,1.3333333333333333,-0.5255444008352314,72
39,1739,"Leslie,Caleb",Cornell College,Midwest Conference (MWC),mwc,25,25.2,9.08,2.12,1.12,0.84,0.0,1.04,-0.5887508419584195,72
40,1866,"Ayer,Aydan",Knox,Midwest Conference (MWC),mwc,25,21.52,5.88,3.48,1.96,1.2,0.36,1.76,-0.881446546780548,70
41,1905,"Jurica,Wayne",Cornell College,Midwest Conference (MWC),mwc,25,21.88,9.24,2.08,1.44,1.04,0.0,1.8,-0.97931143837934,70
42,1913,"Acevedo,Cristian",Cornell College,Midwest Conference (MWC),mwc,23,14.652173913043478,5.48,3.78,0.48,0.52,0.57,0.5652173913043478,-0.9985411862233972,70
43,1967,"Brown,Connor",Illinois Col.,Midwest Conference (MWC),mwc,13,16.384615384615383,5.85,2.85,1.15,1.15,0.23,1.0769230769230769,-1.1118178348009988,69
44,1977,"Brown,CJ",Ripon,Midwest Conference (MWC),mwc,25,27.4,7.32,2.04,1.64,1.2,0.12,1.6,-1.1309474216402329,69
45,2048,"Leoni,Sam",Ripon,Midwest Conference (MWC),mwc,25,24.08,6.4,1.92,1.92,0.32,0.16,0.8,-1.2972025766666544,68
46,2086,"Erdos,Ryan",Knox,Midwest Conference (MWC),mwc,21,15.476190476190476,6.52,2.67,0.48,0.33,0.24,0.3809523809523809,-1.3633271968917982,67
47,2114,"Field,Jack",Ripon,Midwest Conference (MWC),mwc,25,17.52,6.72,2.64,0.64,0.08,0.6,0.8,-1.4375530190811507,67
48,2135,"Brown,Alex",Lake Forest,Midwest Conference (MWC),mwc,26,20.5,6.42,2.77,1.31,0.96,0.08,1.3461538461538465,-1.4800241630463933,67
49,2154,"Vincent,John",Grinnell,Midwest Conference (MWC),mwc,24,11.458333333333334,4.71,3.42,0.13,0.25,0.96,0.625,-1.5210095341817742,66
50,2178,"Lewis,Lathan",Beloit,Midwest Conference (MWC),mwc,25,20.84,5.12,3.12,1.36,1.04,0.16,1.24,-1.5689775029723472,66
51,2226,"Bristol,Kingzten",Grinnell,Midwest Conference (MWC),mwc,25,14.12,5.04,2.2,0.64,1.2,0.08,0.64,-1.6823189567331154,65
52,2274,"Popovic,Nikolas",Lake Forest,Midwest Conference (MWC),mwc,25,15.88,5.08,2.64,2.0,0.48,0.0,0.96,-1.775594464823521,65
53,2302,"Tuala-Fata,Denim",Knox,Midwest Conference (MWC),mwc,23,14.869565217391305,4.74,3.61,0.74,0.39,0.26,0.6521739130434783,-1.8288197235992285,64
54,2345,"Geiger,Owen",Beloit,Midwest Conference (MWC),mwc,23,19.956521739130434,5.35,2.35,1.13,0.7,0.09,0.8695652173913043,-1.9129721317436843,64
55,2378,"Kloster,Isayah",Illinois Col.,Midwest Conference (MWC),mwc,26,16.23076923076923,5.88,3.42,1.0,0.5,0.04,1.1538461538461535,-1.9809652858417324,63
56,2384,"Koch,Nolan",Lawrence,Midwest Conference (MWC),mwc,19,12.052631578947368,5.74,1.68,0.84,0.53,0.21,0.6842105263157895,-1.986580219580896,63
57,2424,"Pinto,Luka",Grinnell,Midwest Conference (MWC),mwc,24,11.208333333333334,4.54,3.38,0.67,1.04,0.17,1.125,-2.0453858008179444,63
58,2446,"Clark,Brady",Illinois Col.,Midwest Conference (MWC),mwc,22,17.727272727272727,3.36,4.05,1.14,0.64,0.09,0.7727272727272727,-2.0947055633869156,63
59,2502,"Talgo,Keon",Cornell College,Midwest Conference (MWC),mwc,25,16.92,6.52,1.84,0.6,0.8,0.0,1.08,-2.211650313972693,62
60,2573,"Nikolic,Strahinja",Grinnell,Midwest Conference (MWC),mwc,23,10.347826086956522,4.35,2.74,0.57,0.57,0.57,1.0869565217391304,-2.328899039195028,61
61,2588,"Deal,Tanner",Grinnell,Midwest Conference (MWC),mwc,25,11.44,5.24,1.32,0.44,0.4,0.04,0.16,-2.354898595436848,61
62,2596,"Walser,Sean",Grinnell,Midwest Conference (MWC),mwc,25,11.04,2.36,2.24,0.88,0.92,0.08,0.16,-2.3798007657754594,61
63,2644,"Hellige,Luke",Cornell College,Midwest Conference (MWC),mwc,25,20.12,5.48,3.28,0.8,0.12,0.08,0.96,-2.4442808080111114,60
64,2653,"Rogers III,Willie",Knox,Midwest Conference (MWC),mwc,24,19.5,7.54,2.96,1.46,0.75,0.25,2.7916666666666665,-2.4610242457945946,60
65,2674,"Williams,Noah",Cornell College,Midwest Conference (MWC),mwc,13,10.461538461538462,3.0,3.46,0.31,0.23,0.46,0.3846153846153846,-2.5084479949295257,59
66,2681,"Weaver,Jude",Cornell College,Midwest Conference (MWC),mwc,23,20.47826086956522,6.09,3.04,2.04,0.7,0.04,2.391304347826087,-2.5256316908729506,59
67,2776,"Nash,Caleb",Lawrence,Midwest Conference (MWC),mwc,25,17.8,4.08,2.52,1.8,0.36,0.12,1.32,-2.7494780104350145,58
68,2792,"Hempen,Garrett",Cornell College,Midwest Conference (MWC),mwc,11,14.272727272727272,5.0,1.91,1.45,0.18,0.0,1.0,-2.7867570551220373,58
69,2796,"Kilde,Anton",Ripon,Midwest Conference (MWC),mwc,23,13.782608695652174,4.83,2.65,0.3,0.26,0.0,0.5652173913043478,-2.799747937656531,58
70,2822,"Plumer,Turner",Monmouth (IL),Midwest Conference (MWC),mwc,14,11.357142857142858,3.43,2.21,0.43,0.43,0.29,0.5,-2.8423448903237563,57
71,2874,"Dortch,Carl",Knox,Midwest Conference (MWC),mwc,25,12.96,5.16,2.12,0.24,0.28,0.08,0.72,-2.9405559617106856,57
72,2889,"Favia,Anthony",Lake Forest,Midwest Conference (MWC),mwc,26,16.46153846153846,4.62,1.81,1.15,0.35,0.0,0.9615384615384616,-2.9728787945747577,57
73,2890,"Hudson,Joseph",Cornell College,Midwest Conference (MWC),mwc,23,12.0,3.96,2.3,0.48,0.17,0.26,0.6086956521739131,-2.9735172665115517,57
74,2898,"Rahn,Keenan",Ripon,Midwest Conference (MWC),mwc,23,12.173913043478262,3.39,2.17,0.39,0.7,0.04,0.5217391304347826,-2.980159210199021,56
75,2901,"Robinson,Austin",Illinois Col.,Midwest Conference (MWC),mwc,19,10.31578947368421,2.95,2.74,0.68,0.11,0.47,0.6842105263157895,-2.982642117134395,56
76,2926,"Banks,Kamran",Monmouth (IL),Midwest Conference (MWC),mwc,26,12.76923076923077,4.27,2.27,0.85,0.62,0.08,1.1923076923076923,-3.0473575258343977,56
77,2991,"McCoo,Jayden",Illinois Col.,Midwest Conference (MWC),mwc,24,16.083333333333332,4.13,1.38,0.83,0.67,0.0,0.9166666666666666,-3.1796814466220065,55
78,2999,"Whiteman,Jase",Monmouth (IL),Midwest Conference (MWC),mwc,26,13.038461538461538,3.73,1.15,0.77,0.54,0.0,0.5769230769230769,-3.2173809890706746,55
79,3033,"Marinov,Vladimir",Knox,Midwest Conference (MWC),mwc,25,11.32,3.68,1.6,1.08,0.4,0.0,0.84,-3.3064230498679885,55
80,3052,"Honarvar,Chase",Lake Forest,Midwest Conference (MWC),mwc,26,10.192307692307692,1.58,2.88,0.42,0.23,0.58,0.6153846153846154,-3.348936919318228,54
81,3064,"Crims,Payton",Monmouth (IL),Midwest Conference (MWC),mwc,27,10.592592592592592,2.67,1.78,0.48,0.26,0.11,0.2222222222222222,-3.3738952579492176,54
82,3082,"Swinney,Jaylen",Illinois Col.,Midwest Conference (MWC),mwc,16,10.5625,3.06,2.44,0.5,0.38,0.13,0.75,-3.4109544432062,54
83,3126,"Schubert,Will",Beloit,Midwest Conference (MWC),mwc,25,17.64,5.08,2.08,0.36,0.32,0.04,1.28,-3.5536335942470116,53
84,3182,"Walker,Austin",Beloit,Midwest Conference (MWC),mwc,25,18.16,4.4,1.52,1.12,0.72,0.04,1.8,-3.717229980760796,53
85,3186,"Mohammed,Nebil",Cornell College,Midwest Conference (MWC),mwc,15,10.533333333333331,2.8,1.6,0.47,0.6,0.2,0.9333333333333332,-3.7378139582483834,53
86,3222,"Phelan,Braedy",Knox,Midwest Conference (MWC),mwc,21,11.571428571428571,3.1,1.43,0.71,0.71,0.1,1.1904761904761905,-3.820058239888406,52
87,3270,"Manzanera,Nicolas",Lawrence,Midwest Conference (MWC),mwc,24,11.0,2.75,1.04,0.54,0.25,0.04,0.5,-3.978787393746001,52
88,3340,"Young,Zayn",Beloit,Midwest Conference (MWC),mwc,17,10.647058823529411,2.82,1.47,0.82,0.18,0.06,1.0588235294117647,-4.283130128554838,51
89,3365,"Cooley,B.J.",Knox,Midwest Conference (MWC),mwc,22,10.181818181818182,2.14,0.82,0.73,0.32,0.05,1.0,-4.670806751151882,50
